cv_fold,train_rows,test_rows,train_groups,test_groups,threshold,gumbel_scale,balanced_training_objective,optimizer_success,threshold_at_boundary,scale_at_boundary
0,881,112,259,30,-2.189494778411338,11.635169296141779,0.6701176034651083,True,False,False
1,881,112,259,30,-2.045377456399653,11.953100047762607,0.6701544651275021,True,False,False
2,881,112,259,30,-1.9284654917557236,12.406131953832364,0.6716042132501698,True,False,False
3,881,112,259,30,-2.3824747832988824,11.435887081807431,0.6680805860632353,True,False,False
4,881,112,259,30,-2.5278088841574733,11.543439209801921,0.6684052720908265,True,False,False
5,881,112,259,30,-2.2008614076725084,11.761039810608377,0.6699732493983696,True,False,False
6,911,82,260,29,-2.3052612747212398,11.577647118333378,0.6690419769122502,True,False,False
7,913,80,262,27,-2.1133995738719293,11.835051105010578,0.6699819371289205,True,False,False
8,913,80,262,27,-2.3888734722759857,11.244003041565696,0.6679436885532668,True,False,False
9,914,79,263,26,-2.451064409506136,11.533254980656574,0.6692425640011338,True,False,False
