analysis_dataset_id,dataset,N,model,mean_item_log_score,delta_item_log_score_vs_intercept,response_total_log_likelihood,response_count,response_mean_log_score
hu_rx22,Hu: Ronai & Xiang (2022),57,intercept,-0.6723522809868421,0.0,-1532.9632006499999,2280.0,-0.6723522809868421
hu_rx22,Hu: Ronai & Xiang (2022),57,set,-0.6738941278319855,-0.0015418468451434686,-1536.478611456927,2280.0,-0.6738941278319855
hu_rx22,Hu: Ronai & Xiang (2022),57,ordering,-0.6808834714711852,-0.008531190484343143,-1552.4143149543022,2280.0,-0.6808834714711852
hu_rx22,Hu: Ronai & Xiang (2022),57,disjunction,-0.7512347583853611,-0.07888247739851906,-1712.8152491186236,2280.0,-0.7512347583853612
hu_rx22,Hu: Ronai & Xiang (2022),57,conjunction,-0.6629604136768124,0.009391867310029722,-1511.5497431831318,2280.0,-0.6629604136768122
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,intercept,-0.6385076332795867,0.0,,,
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,set,-0.6801978395269783,-0.041690206247391615,,,
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,ordering,-0.6878814575231503,-0.049373824243563624,,,
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,disjunction,-0.7856397884613969,-0.14713215518181022,,,
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,conjunction,-0.6427552806118111,-0.00424764733222438,,,
hu_g18,Hu: Gotzner et al. (2018),67,intercept,-0.6720301870698223,0.0,,,
hu_g18,Hu: Gotzner et al. (2018),67,set,-0.6816646900762153,-0.009634503006393014,,,
hu_g18,Hu: Gotzner et al. (2018),67,ordering,-0.700150926939867,-0.02812073987004471,,,
hu_g18,Hu: Gotzner et al. (2018),67,disjunction,-0.7349119804998784,-0.06288179343005607,,,
hu_g18,Hu: Gotzner et al. (2018),67,conjunction,-0.7025429540060261,-0.03051276693620375,,,
hu_vt16,Hu: van Tiel et al. (2016),39,intercept,-0.6871240421682846,0.0,,,
hu_vt16,Hu: van Tiel et al. (2016),39,set,-0.6840541980674835,0.0030698441008011335,,,
hu_vt16,Hu: van Tiel et al. (2016),39,ordering,-0.6992127061191882,-0.012088663950903578,,,
hu_vt16,Hu: van Tiel et al. (2016),39,disjunction,-0.7574859759579907,-0.07036193378970612,,,
hu_vt16,Hu: van Tiel et al. (2016),39,conjunction,-0.6890252025638669,-0.001901160395582302,,,
rnx_esi,Ronai & Xiang (2024): ESI,60,intercept,-0.6719002065504678,0.0,-1612.5604957211226,2400.0,-0.6719002065504678
rnx_esi,Ronai & Xiang (2024): ESI,60,set,-0.6765944567749874,-0.004694250224519636,-1623.8266962599696,2400.0,-0.6765944567749873
rnx_esi,Ronai & Xiang (2024): ESI,60,ordering,-0.6834783579695786,-0.011578151419110783,-1640.3480591269886,2400.0,-0.6834783579695786
rnx_esi,Ronai & Xiang (2024): ESI,60,disjunction,-0.7532051851435714,-0.0813049785931036,-1807.6924443445712,2400.0,-0.7532051851435714
rnx_esi,Ronai & Xiang (2024): ESI,60,conjunction,-0.6672300215458726,0.004670185004595151,-1601.3520517100944,2400.0,-0.6672300215458726
rnx_eweak,Ronai & Xiang (2024): Eweak,60,intercept,-0.6486255022134267,0.0,-1575.4786174844792,2430.0,-0.6483451100759173
rnx_eweak,Ronai & Xiang (2024): Eweak,60,set,-0.7472508048039951,-0.09862530259056834,-1816.7159637686116,2430.0,-0.7476197381763834
rnx_eweak,Ronai & Xiang (2024): Eweak,60,ordering,-0.6717157280782141,-0.023090225864787373,-1632.0648784534433,2430.0,-0.6716316372236392
rnx_eweak,Ronai & Xiang (2024): Eweak,60,disjunction,-0.8184434203234041,-0.16981791810997737,-1989.953156727147,2430.0,-0.8189107640852457
rnx_eweak,Ronai & Xiang (2024): Eweak,60,conjunction,-0.6561993658833607,-0.007573863669933956,-1594.0918759231695,2430.0,-0.6560048872111809
rnx_estrong,Ronai & Xiang (2024): Estrong,60,intercept,-0.671962959319327,0.0,-1633.8230355566734,2430.0,-0.6723551586652977
rnx_estrong,Ronai & Xiang (2024): Estrong,60,set,-0.6800229155319998,-0.008059956212672748,-1653.8757324526775,2430.0,-0.6806072973056286
rnx_estrong,Ronai & Xiang (2024): Estrong,60,ordering,-0.6755160758061246,-0.0035531164867975695,-1641.9402922708318,2430.0,-0.6756955935270913
rnx_estrong,Ronai & Xiang (2024): Estrong,60,disjunction,-0.7077840591467793,-0.035821099827452296,-1722.227532666387,2430.0,-0.7087356101507766
rnx_estrong,Ronai & Xiang (2024): Estrong,60,conjunction,-0.7139869412901593,-0.042023981970832236,-1734.7665737807504,2430.0,-0.7138957093747944
rnx_eonly,Ronai & Xiang (2024): Eonly,60,intercept,-0.6256491603377319,0.0,-1501.557984810557,2400.0,-0.6256491603377321
