context,query,trigger,empirical_probability,log_likelihoods,excluded_items,alternative_structure
bag,pen,chalk,0.99,-0.01005033585350145,,conjunction
bag,crayons,headphones,,,{'crayons'},conjunction
bag,makeup,cash,0.422154,-0.5484478817962918,{'crayons'},conjunction
bag,makeup,chalk,0.844308,-1.8598755823228552,,conjunction
bag,headphones,chalk,,,{'headphones'},conjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",conjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",conjunction
bag,chalk,pen,0.00992,-4.613202357685355,"{'crayons', 'headphones'}",conjunction
bag,chalk,crayons,,,{'crayons'},conjunction
bag,crayons,pen,,,{'crayons'},conjunction
bag,cash,headphones,,,"{'crayons', 'headphones'}",conjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",conjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",conjunction
bag,makeup,cash,0.422154,-0.5484478817962918,"{'crayons', 'headphones'}",conjunction
bag,makeup,cash,0.422154,-0.8623851026065322,,conjunction
bag,pen,chalk,0.99,-0.01005033585350145,,conjunction
bag,pen,headphones,,,{'headphones'},conjunction
bag,cash,headphones,,,{'headphones'},conjunction
bag,crayons,pen,,,"{'crayons', 'headphones'}",conjunction
bag,crayons,pen,,,"{'crayons', 'headphones'}",conjunction
bag,makeup,cash,0.422154,-0.5484478817962918,"{'crayons', 'headphones'}",conjunction
bag,headphones,crayons,,,{'headphones'},conjunction
bag,chalk,pen,0.00992,-4.613202357685355,{'headphones'},conjunction
bag,makeup,headphones,,,{'headphones'},conjunction
bag,makeup,headphones,,,{'headphones'},conjunction
bag,makeup,pen,0.055888,-0.057510475806490574,{'headphones'},conjunction
bag,cash,crayons,,,{'crayons'},conjunction
bag,cash,crayons,,,{'crayons'},conjunction
bag,makeup,headphones,,,"{'crayons', 'headphones'}",conjunction
bag,pen,cash,0.921,-0.08229524272683016,"{'crayons', 'headphones'}",conjunction
bag,crayons,pen,,,{'crayons'},conjunction
bag,cash,crayons,,,{'crayons'},conjunction
bag,pen,cash,0.921,-0.08229524272683016,{'crayons'},conjunction
bag,chalk,cash,0.127968,-2.0559750463177293,,conjunction
bag,pen,headphones,,,{'headphones'},conjunction
bag,makeup,headphones,,,{'headphones'},conjunction
bag,crayons,pen,,,"{'crayons', 'headphones'}",conjunction
bag,cash,makeup,0.575846,-0.8576586821469036,"{'crayons', 'headphones'}",conjunction
bag,makeup,cash,0.422154,-0.5484478817962918,,conjunction
bag,cash,pen,0.078842,-0.08212370478015303,,conjunction
bag,makeup,cash,0.422154,-0.5484478817962918,,conjunction
bag,makeup,pen,0.055888,-0.057510475806490574,,conjunction
