context,query,trigger,empirical_probability,log_likelihoods,excluded_items,alternative_structure
bag,pen,chalk,1.0,0.0,,disjunction
bag,crayons,headphones,,,{'crayons'},disjunction
bag,makeup,cash,1.0,-23.025850929940457,{'crayons'},disjunction
bag,makeup,chalk,0.9999999999999999,-36.7368005696771,,disjunction
bag,headphones,chalk,,,{'headphones'},disjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",disjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",disjunction
bag,chalk,pen,0.991117,-0.008922689057917326,"{'crayons', 'headphones'}",disjunction
bag,chalk,crayons,,,{'crayons'},disjunction
bag,crayons,pen,,,{'crayons'},disjunction
bag,cash,headphones,,,"{'crayons', 'headphones'}",disjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",disjunction
bag,chalk,crayons,,,"{'crayons', 'headphones'}",disjunction
bag,makeup,cash,1.0,-23.025850929940457,"{'crayons', 'headphones'}",disjunction
bag,makeup,cash,1.0,0.0,,disjunction
bag,pen,chalk,1.0,0.0,,disjunction
bag,pen,headphones,,,{'headphones'},disjunction
bag,cash,headphones,,,{'headphones'},disjunction
bag,crayons,pen,,,"{'crayons', 'headphones'}",disjunction
bag,crayons,pen,,,"{'crayons', 'headphones'}",disjunction
bag,makeup,cash,1.0,-23.025850929940457,"{'crayons', 'headphones'}",disjunction
bag,headphones,crayons,,,{'headphones'},disjunction
bag,chalk,pen,0.991117,-0.008922689057917326,{'headphones'},disjunction
bag,makeup,headphones,,,{'headphones'},disjunction
bag,makeup,headphones,,,{'headphones'},disjunction
bag,makeup,pen,1.0,-23.025850929940457,{'headphones'},disjunction
bag,cash,crayons,,,{'crayons'},disjunction
bag,cash,crayons,,,{'crayons'},disjunction
bag,makeup,headphones,,,"{'crayons', 'headphones'}",disjunction
bag,pen,cash,1.0,0.0,"{'crayons', 'headphones'}",disjunction
bag,crayons,pen,,,{'crayons'},disjunction
bag,cash,crayons,,,{'crayons'},disjunction
bag,pen,cash,1.0,0.0,{'crayons'},disjunction
bag,chalk,cash,0.9920709999999999,-0.007960601677814117,,disjunction
bag,pen,headphones,,,{'headphones'},disjunction
bag,makeup,headphones,,,{'headphones'},disjunction
bag,crayons,pen,,,"{'crayons', 'headphones'}",disjunction
bag,cash,makeup,0.9991480000000001,-7.0679240311351315,"{'crayons', 'headphones'}",disjunction
bag,makeup,cash,1.0,-23.025850929940457,,disjunction
bag,cash,pen,0.998162,-6.299077255048639,,disjunction
bag,makeup,cash,1.0,-23.025850929940457,,disjunction
bag,makeup,pen,1.0,-23.025850929940457,,disjunction
bag,crayons,chalk,,,{'crayons'},disjunction
bag,chalk,makeup,0.99244,-0.007588721648675827,{'crayons'},disjunction
bag,makeup,crayons,,,{'crayons'},disjunction
bag,headphones,pen,,,"{'crayons', 'headphones'}",disjunction
bag,chalk,pen,0.991117,-0.008922689057917326,"{'crayons', 'headphones'}",disjunction
bag,headphones,chalk,,,{'headphones'},disjunction
bag,pen,chalk,1.0,0.0,{'headphones'},disjunction
bag,headphones,cash,,,{'headphones'},disjunction
bag,headphones,chalk,,,{'headphones'},disjunction
bag,cash,makeup,0.9991480000000001,-7.0679240311351315,{'headphones'},disjunction
bag,pen,headphones,,,{'headphones'},disjunction
bag,chalk,pen,0.991117,-0.008922689057917326,{'headphones'},disjunction
bag,chalk,makeup,0.99244,-0.007588721648675827,,disjunction
bag,chalk,crayons,,,{'crayons'},disjunction
bag,pen,crayons,,,{'crayons'},disjunction
bag,chalk,pen,0.991117,-0.008922689057917326,{'crayons'},disjunction
bag,makeup,headphones,,,{'headphones'},disjunction
bag,headphones,makeup,,,{'headphones'},disjunction
bag,pen,cash,1.0,0.0,{'headphones'},disjunction
bag,cash,pen,0.998162,-6.299077255048639,,disjunction
bag,chalk,pen,0.991117,-4.723615941194576,,disjunction
bag,pen,chalk,1.0,0.0,,disjunction
bag,makeup,chalk,0.9999999999999999,-36.7368005696771,,disjunction
bag,chalk,pen,0.991117,-0.008922689057917326,,disjunction
bag,chalk,headphones,,,{'headphones'},disjunction
bag,cash,headphones,,,{'headphones'},disjunction
bag,headphones,pen,,,{'headphones'},disjunction
bag,cash,headphones,,,{'headphones'},disjunction
bag,headphones,makeup,,,{'headphones'},disjunction
bag,makeup,headphones,,,{'headphones'},disjunction
bag,cash,pen,0.998162,-6.299077255048639,{'headphones'},disjunction
bag,makeup,headphones,,,{'headphones'},disjunction
bag,cash,chalk,0.999762,-8.343239884292965,{'headphones'},disjunction
bag,cash,headphones,,,{'headphones'},disjunction
bag,crayons,cash,,,"{'crayons', 'headphones'}",disjunction
bag,pen,makeup,1.0,0.0,"{'crayons', 'headphones'}",disjunction
bag,makeup,chalk,0.9999999999999999,-36.7368005696771,,disjunction
bag,makeup,cash,1.0,-23.025850929940457,,disjunction
