context,query,trigger,empirical_probability,log_likelihoods,excluded_items,alternative_structure
bag,pen,chalk,0.983,-0.017146158834970514,,ordering
bag,crayons,headphones,,,{'crayons'},ordering
bag,makeup,cash,0.455,-0.6069694843188931,{'crayons'},ordering
bag,makeup,chalk,0.839,-1.826350913997674,,ordering
bag,headphones,chalk,,,{'headphones'},ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-4.074541934925921,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,{'crayons'},ordering
bag,crayons,pen,,,{'crayons'},ordering
bag,cash,headphones,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.6069694843188931,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.7874578600311866,,ordering
bag,pen,chalk,0.983,-0.017146158834970514,,ordering
bag,pen,headphones,,,{'headphones'},ordering
bag,cash,headphones,,,{'headphones'},ordering
bag,crayons,pen,,,"{'crayons', 'headphones'}",ordering
bag,crayons,pen,,,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.6069694843188931,"{'crayons', 'headphones'}",ordering
bag,headphones,crayons,,,{'headphones'},ordering
bag,chalk,pen,0.017,-4.074541934925921,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,makeup,pen,0.054,-0.05551270993025883,{'headphones'},ordering
bag,cash,crayons,,,{'crayons'},ordering
bag,cash,crayons,,,{'crayons'},ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,pen,cash,0.924,-0.07904320734045285,"{'crayons', 'headphones'}",ordering
bag,crayons,pen,,,{'crayons'},ordering
bag,cash,crayons,,,{'crayons'},ordering
bag,pen,cash,0.924,-0.07904320734045285,{'crayons'},ordering
bag,chalk,cash,0.151,-1.8904754421672127,,ordering
bag,pen,headphones,,,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,crayons,pen,,,"{'crayons', 'headphones'}",ordering
bag,cash,makeup,0.545,-0.7874578600311867,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.6069694843188931,,ordering
bag,cash,pen,0.076,-0.07904320734045285,,ordering
bag,makeup,cash,0.455,-0.6069694843188931,,ordering
bag,makeup,pen,0.054,-0.05551270993025883,,ordering
bag,crayons,chalk,,,{'crayons'},ordering
bag,chalk,makeup,0.161,-1.8263509139976741,{'crayons'},ordering
bag,makeup,crayons,,,{'crayons'},ordering
bag,headphones,pen,,,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-4.074541934925921,"{'crayons', 'headphones'}",ordering
bag,headphones,chalk,,,{'headphones'},ordering
bag,pen,chalk,0.983,-0.017146158834970514,{'headphones'},ordering
bag,headphones,cash,,,{'headphones'},ordering
bag,headphones,chalk,,,{'headphones'},ordering
bag,cash,makeup,0.545,-0.7874578600311867,{'headphones'},ordering
bag,pen,headphones,,,{'headphones'},ordering
bag,chalk,pen,0.017,-4.074541934925921,{'headphones'},ordering
bag,chalk,makeup,0.161,-1.8263509139976741,,ordering
bag,chalk,crayons,,,{'crayons'},ordering
bag,pen,crayons,,,{'crayons'},ordering
bag,chalk,pen,0.017,-4.074541934925921,{'crayons'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,headphones,makeup,,,{'headphones'},ordering
bag,pen,cash,0.924,-0.07904320734045285,{'headphones'},ordering
bag,cash,pen,0.076,-0.07904320734045285,,ordering
bag,chalk,pen,0.017,-0.017146158834970514,,ordering
bag,pen,chalk,0.983,-0.017146158834970514,,ordering
bag,makeup,chalk,0.839,-1.826350913997674,,ordering
bag,chalk,pen,0.017,-4.074541934925921,,ordering
bag,chalk,headphones,,,{'headphones'},ordering
bag,cash,headphones,,,{'headphones'},ordering
bag,headphones,pen,,,{'headphones'},ordering
bag,cash,headphones,,,{'headphones'},ordering
bag,headphones,makeup,,,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,cash,pen,0.076,-0.07904320734045285,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,cash,chalk,0.849,-1.8904754421672125,{'headphones'},ordering
bag,cash,headphones,,,{'headphones'},ordering
bag,crayons,cash,,,"{'crayons', 'headphones'}",ordering
bag,pen,makeup,0.946,-0.05551270993025883,"{'crayons', 'headphones'}",ordering
bag,makeup,chalk,0.839,-1.826350913997674,,ordering
bag,makeup,cash,0.455,-0.6069694843188931,,ordering
bag,chalk,crayons,,,{'crayons'},ordering
bag,crayons,cash,,,{'crayons'},ordering
bag,cash,headphones,,,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.6069694843188931,"{'crayons', 'headphones'}",ordering
bag,crayons,chalk,,,{'crayons'},ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-4.074541934925921,"{'crayons', 'headphones'}",ordering
bag,headphones,chalk,,,{'headphones'},ordering
bag,crayons,chalk,,,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-4.074541934925921,"{'crayons', 'headphones'}",ordering
bag,crayons,pen,,,{'crayons'},ordering
bag,crayons,pen,,,{'crayons'},ordering
bag,chalk,headphones,,,"{'crayons', 'headphones'}",ordering
bag,pen,crayons,,,"{'crayons', 'headphones'}",ordering
bag,cash,chalk,0.849,-1.8904754421672125,"{'crayons', 'headphones'}",ordering
bag,chalk,cash,0.151,-1.8904754421672127,,ordering
bag,chalk,pen,0.017,-4.074541934925921,,ordering
bag,headphones,makeup,,,{'headphones'},ordering
bag,crayons,pen,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.6069694843188931,"{'crayons', 'headphones'}",ordering
bag,cash,pen,0.076,-0.07904320734045285,,ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,makeup,crayons,,,"{'crayons', 'headphones'}",ordering
bag,pen,crayons,,,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.6069694843188931,"{'crayons', 'headphones'}",ordering
bag,makeup,crayons,,,{'crayons'},ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-4.074541934925921,"{'crayons', 'headphones'}",ordering
bag,makeup,pen,0.054,-0.05551270993025883,,ordering
bag,chalk,pen,0.017,-4.074541934925921,,ordering
bag,pen,headphones,,,{'headphones'},ordering
bag,headphones,chalk,,,{'headphones'},ordering
bag,makeup,cash,0.455,-0.6069694843188931,{'headphones'},ordering
bag,makeup,cash,0.455,-0.6069694843188931,,ordering
bag,cash,headphones,,,{'headphones'},ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,cash,headphones,,,"{'crayons', 'headphones'}",ordering
bag,crayons,makeup,,,"{'crayons', 'headphones'}",ordering
bag,pen,makeup,0.946,-0.05551270993025883,"{'crayons', 'headphones'}",ordering
bag,crayons,chalk,,,{'crayons'},ordering
bag,headphones,pen,,,"{'crayons', 'headphones'}",ordering
bag,crayons,pen,,,"{'crayons', 'headphones'}",ordering
bag,cash,chalk,0.849,-1.8904754421672125,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-0.017146158834970514,,ordering
bag,pen,cash,0.924,-0.07904320734045285,,ordering
bag,crayons,chalk,,,{'crayons'},ordering
bag,chalk,pen,0.017,-4.074541934925921,{'crayons'},ordering
bag,crayons,pen,,,{'crayons'},ordering
bag,cash,headphones,,,"{'crayons', 'headphones'}",ordering
bag,cash,headphones,,,"{'crayons', 'headphones'}",ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,crayons,pen,,,"{'crayons', 'headphones'}",ordering
bag,cash,makeup,0.545,-0.6069694843188929,"{'crayons', 'headphones'}",ordering
bag,pen,headphones,,,{'headphones'},ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,makeup,pen,0.054,-2.9187712324178627,"{'crayons', 'headphones'}",ordering
bag,headphones,cash,,,{'headphones'},ordering
bag,cash,headphones,,,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,crayons,chalk,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,chalk,crayons,,,"{'crayons', 'headphones'}",ordering
bag,headphones,cash,,,"{'crayons', 'headphones'}",ordering
bag,makeup,cash,0.455,-0.7874578600311866,"{'crayons', 'headphones'}",ordering
bag,chalk,headphones,,,{'headphones'},ordering
bag,makeup,headphones,,,{'headphones'},ordering
bag,chalk,cash,0.151,-1.8904754421672127,{'headphones'},ordering
bag,headphones,crayons,,,{'headphones'},ordering
bag,makeup,crayons,,,"{'crayons', 'headphones'}",ordering
bag,cash,crayons,,,"{'crayons', 'headphones'}",ordering
bag,chalk,pen,0.017,-0.017146158834970514,"{'crayons', 'headphones'}",ordering
bag,pen,crayons,,,{'crayons'},ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
bag,makeup,headphones,,,"{'crayons', 'headphones'}",ordering
