context,query,trigger,empirical_probability,log_likelihoods,excluded_items,alternative_structure
bag,pen,chalk,1.0,0.0,,set
bag,crayons,headphones,,,{'crayons'},set
bag,makeup,cash,0.998,-6.2146080984221905,{'crayons'},set
bag,makeup,chalk,0.998,-6.2146080984221905,,set
bag,headphones,chalk,,,{'headphones'},set
bag,chalk,crayons,0.994,-5.115995809754081,{'headphones'},set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,crayons,pen,,,{'crayons'},set
bag,cash,headphones,0.999,-6.907755278982136,{'crayons'},set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,makeup,cash,0.998,-0.0020020026706730793,,set
bag,pen,chalk,1.0,0.0,,set
bag,pen,headphones,1.0,0.0,,set
bag,cash,headphones,0.999,-0.0010005003335835344,,set
bag,crayons,pen,,,{'crayons'},set
bag,crayons,pen,,,{'crayons'},set
bag,makeup,cash,0.998,-6.2146080984221905,{'crayons'},set
bag,headphones,crayons,,,{'headphones'},set
bag,chalk,pen,0.994,-0.006018072325563021,{'headphones'},set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,makeup,pen,0.998,-6.2146080984221905,,set
bag,cash,crayons,0.999,-6.907755278982136,,set
bag,cash,crayons,0.999,-6.907755278982136,,set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,pen,cash,1.0,0.0,,set
bag,crayons,pen,,,{'crayons'},set
bag,cash,crayons,0.999,-6.907755278982136,{'crayons'},set
bag,pen,cash,1.0,0.0,,set
bag,chalk,cash,0.994,-0.006018072325563021,,set
bag,pen,headphones,1.0,0.0,,set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,crayons,pen,,,{'crayons'},set
bag,cash,makeup,0.999,-6.907755278982136,{'crayons'},set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,cash,pen,0.999,-6.907755278982136,,set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,makeup,pen,0.998,-6.2146080984221905,,set
bag,crayons,chalk,,,{'crayons'},set
bag,chalk,makeup,0.994,-0.006018072325563021,{'crayons'},set
bag,makeup,crayons,0.998,-6.2146080984221905,,set
bag,headphones,pen,,,{'headphones'},set
bag,chalk,pen,0.994,-0.006018072325563021,{'headphones'},set
bag,headphones,chalk,,,{'headphones'},set
bag,pen,chalk,1.0,0.0,{'headphones'},set
bag,headphones,cash,,,{'headphones'},set
bag,headphones,chalk,,,{'headphones'},set
bag,cash,makeup,0.999,-6.907755278982136,{'headphones'},set
bag,pen,headphones,1.0,0.0,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,chalk,makeup,0.994,-0.006018072325563021,,set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,pen,crayons,1.0,0.0,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,headphones,makeup,,,{'headphones'},set
bag,pen,cash,1.0,0.0,{'headphones'},set
bag,cash,pen,0.999,-6.907755278982136,,set
bag,chalk,pen,0.994,-5.115995809754081,,set
bag,pen,chalk,1.0,0.0,,set
bag,makeup,chalk,0.998,-6.2146080984221905,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,chalk,headphones,0.994,-5.115995809754081,,set
bag,cash,headphones,0.999,-6.907755278982136,,set
bag,headphones,pen,,,{'headphones'},set
bag,cash,headphones,0.999,-6.907755278982136,{'headphones'},set
bag,headphones,makeup,,,{'headphones'},set
bag,makeup,headphones,0.998,-6.2146080984221905,{'headphones'},set
bag,cash,pen,0.999,-6.907755278982136,,set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,cash,chalk,0.999,-6.907755278982136,,set
bag,cash,headphones,0.999,-6.907755278982136,,set
bag,crayons,cash,,,{'crayons'},set
bag,pen,makeup,1.0,0.0,{'crayons'},set
bag,makeup,chalk,0.998,-6.2146080984221905,,set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,crayons,cash,,,{'crayons'},set
bag,cash,headphones,0.999,-6.907755278982136,{'crayons'},set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,crayons,chalk,,,{'crayons'},set
bag,makeup,headphones,0.998,-0.0020020026706730793,{'crayons'},set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,headphones,chalk,,,{'headphones'},set
bag,crayons,chalk,,,"{'crayons', 'headphones'}",set
bag,chalk,pen,0.994,-0.006018072325563021,"{'crayons', 'headphones'}",set
bag,crayons,pen,,,{'crayons'},set
bag,crayons,pen,,,{'crayons'},set
bag,chalk,headphones,0.994,-0.006018072325563021,{'crayons'},set
bag,pen,crayons,1.0,0.0,,set
bag,cash,chalk,0.999,-6.907755278982136,,set
bag,chalk,cash,0.994,-0.006018072325563021,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,headphones,makeup,,,{'headphones'},set
bag,crayons,pen,,,"{'crayons', 'headphones'}",set
bag,chalk,crayons,0.994,-0.006018072325563021,"{'crayons', 'headphones'}",set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,cash,pen,0.999,-6.907755278982136,,set
bag,makeup,headphones,0.998,-0.0020020026706730793,,set
bag,makeup,crayons,0.998,-6.2146080984221905,,set
bag,pen,crayons,1.0,0.0,,set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,makeup,crayons,0.998,-6.2146080984221905,,set
bag,makeup,headphones,0.998,-6.2146080984221905,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,makeup,pen,0.998,-6.2146080984221905,,set
bag,chalk,pen,0.994,-0.006018072325563021,,set
bag,pen,headphones,1.0,0.0,,set
bag,headphones,chalk,,,{'headphones'},set
bag,makeup,cash,0.998,-6.2146080984221905,{'headphones'},set
bag,makeup,cash,0.998,-6.2146080984221905,,set
bag,cash,headphones,0.999,-0.0010005003335835344,,set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,chalk,crayons,0.994,-0.006018072325563021,,set
bag,cash,headphones,0.999,-6.907755278982136,,set
bag,crayons,makeup,,,{'crayons'},set
bag,pen,makeup,1.0,0.0,{'crayons'},set
bag,crayons,chalk,,,{'crayons'},set
bag,headphones,pen,,,"{'crayons', 'headphones'}",set
bag,crayons,pen,,,"{'crayons', 'headphones'}",set
bag,cash,chalk,0.999,-6.907755278982136,"{'crayons', 'headphones'}",set
bag,chalk,pen,0.994,-5.115995809754081,,set
bag,pen,cash,1.0,0.0,,set
bag,crayons,chalk,,,{'crayons'},set
bag,chalk,pen,0.994,-0.006018072325563021,{'crayons'},set
bag,crayons,pen,,,{'crayons'},set
