set_boundary,num_reps,context,trigger,query,log_likelihood
3,500,bag,chalk,pen,-2.385966701933097
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,chalk,makeup,-0.17912666589743548
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,cash,makeup,-0.6311117896404926
3,500,bag,chalk,pen,-2.385966701933097
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,pen,makeup,-2.6310891599660824
3,500,bag,cash,pen,-2.05572501506252
3,500,bag,cash,pen,-2.05572501506252
3,500,bag,cash,chalk,-0.15315117949417478
3,500,bag,makeup,cash,-0.6462635946610948
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,pen,cash,-3.0791138824930413
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,pen,makeup,-2.6310891599660824
3,500,bag,makeup,chalk,-0.16960278438617998
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,chalk,pen,-2.385966701933097
3,500,bag,makeup,cash,-0.6462635946610948
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,makeup,chalk,-0.16960278438617998
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,cash,pen,-2.05572501506252
3,500,bag,pen,cash,-3.0791138824930413
3,500,bag,pen,chalk,-4.605170185988091
3,500,bag,chalk,pen,-2.385966701933097
3,500,bag,chalk,makeup,-0.17912666589743548
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,pen,cash,-3.0791138824930413
3,500,bag,chalk,cash,-0.16251892949777494
3,500,bag,makeup,pen,-1.8838747581358606
3,500,bag,chalk,makeup,-0.17912666589743548
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,chalk,cash,-0.16251892949777494
3,500,bag,cash,chalk,-0.15315117949417478
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,pen,cash,-3.0791138824930413
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,pen,makeup,-2.6310891599660824
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,cash,makeup,-0.7592869830644904
3,500,bag,makeup,pen,-1.8838747581358606
3,500,bag,chalk,cash,-0.16251892949777494
3,500,bag,pen,chalk,-4.605170185988091
3,500,bag,cash,pen,-2.05572501506252
3,500,bag,pen,chalk,-0.01005033585350145
3,500,bag,makeup,cash,-0.7423374247507171
3,500,bag,pen,makeup,-0.07472354619593642
3,500,bag,cash,makeup,-0.6311117896404926
3,500,bag,cash,chalk,-0.15315117949417478
3,500,bag,pen,chalk,-4.605170185988091
3,500,bag,cash,makeup,-0.7592869830644904
