set_boundary,num_reps,context,trigger,query,neg,log_likelihood
3,500,bag,chalk,pen,1,-0.7592869830644903
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,chalk,makeup,0,-5.521460917862245
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,cash,makeup,1,-0.13926206733350766
3,500,bag,chalk,pen,1,-0.7592869830644903
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,a pen,makeup,0,-23.025850929940457
3,500,bag,cash,pen,1,-1.3470736479666092
3,500,bag,cash,pen,1,-1.3470736479666092
3,500,bag,cash,chalk,1,-0.2613647641344075
3,500,bag,makeup,cash,0,-2.748872195622466
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,cash,0,-4.268697949366878
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,makeup,0,-23.025850929940457
3,500,bag,makeup,chalk,1,-0.06827884075329438
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,chalk,pen,1,-0.7592869830644903
3,500,bag,makeup,cash,0,-2.748872195622466
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,makeup,chalk,1,-0.06827884075329438
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,cash,pen,1,-1.3470736479666092
3,500,bag,a pen,cash,0,-4.268697949366878
3,500,bag,a pen,chalk,0,-0.7635696448564913
3,500,bag,chalk,pen,1,-0.7592869830644903
3,500,bag,chalk,makeup,0,-5.521460917862245
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,a pen,cash,0,-4.268697949366878
3,500,bag,chalk,cash,0,-23.025850929940457
3,500,bag,makeup,pen,1,-1.1332037334377287
3,500,bag,chalk,makeup,0,-5.521460917862245
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,chalk,cash,0,-23.025850929940457
3,500,bag,cash,chalk,1,-0.2613647641344075
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,cash,0,-4.268697949366878
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,a pen,makeup,0,-23.025850929940457
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,makeup,pen,1,-1.1332037334377287
3,500,bag,chalk,cash,0,-23.025850929940457
3,500,bag,a pen,chalk,0,-0.7635696448564913
3,500,bag,cash,pen,1,-1.3470736479666092
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,makeup,cash,1,-0.06613980250454495
3,500,bag,a pen,makeup,1,0.0
3,500,bag,cash,makeup,1,-0.13926206733350766
3,500,bag,cash,chalk,1,-0.2613647641344075
3,500,bag,a pen,chalk,0,-0.7635696448564913
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,chalk,cash,0,-23.025850929940457
3,500,bag,a pen,makeup,0,-23.025850929940457
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,cash,chalk,1,-0.2613647641344075
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,chalk,cash,0,-23.025850929940457
3,500,bag,chalk,pen,1,-0.7592869830644903
3,500,bag,cash,chalk,1,-0.2613647641344075
3,500,bag,chalk,makeup,0,-5.521460917862245
3,500,bag,a pen,makeup,0,-23.025850929940457
3,500,bag,makeup,cash,0,-2.748872195622466
3,500,bag,a pen,cash,0,-4.268697949366878
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,chalk,cash,0,-23.025850929940457
3,500,bag,cash,pen,1,-1.3470736479666092
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,a pen,chalk,1,-0.6273594400219421
3,500,bag,chalk,makeup,1,-0.004008021397538822
3,500,bag,makeup,cash,0,-2.748872195622466
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,cash,makeup,0,-2.0402208285265546
3,500,bag,makeup,pen,1,-1.1332037334377287
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,sandwiches,water,0,-2.688247573806031
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,cakes,sandwiches,0,-1.3862943611198906
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,cakes,water,0,-23.025850929940457
3,500,bakery,cakes,water,0,-23.025850929940457
3,500,bakery,cakes,sandwiches,1,-0.2876820724517809
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,water,cakes,1,-3.2188758248682006
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,cakes,sandwiches,0,-1.3862943611198906
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,sandwiches,cakes,1,-1.04412410338404
3,500,bakery,sandwiches,cakes,1,-1.04412410338404
3,500,bakery,sandwiches,water,0,-2.688247573806031
3,500,bakery,cakes,water,0,-23.025850929940457
3,500,bakery,water,cakes,1,-3.2188758248682006
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,sandwiches,water,0,-2.688247573806031
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,sandwiches,water,0,-2.688247573806031
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,cakes,water,0,-23.025850929940457
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,water,cakes,0,-0.040821994520255166
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,cakes,sandwiches,1,-0.2876820724517809
3,500,bakery,sandwiches,water,0,-2.688247573806031
3,500,bakery,cakes,water,0,-23.025850929940457
3,500,bakery,cakes,sandwiches,0,-1.3862943611198906
3,500,bakery,sandwiches,cakes,1,-1.04412410338404
3,500,bakery,water,sandwiches,1,-1.4354846053106625
3,500,bakery,water,sandwiches,0,-0.2718087232954908
3,500,beach,a bikini,shorts,0,-3.123565645063875
3,500,beach,jeans,sunglasses,1,-0.08121005542554317
3,500,beach,a coat,jeans,1,-1.1086626245216111
3,500,beach,a coat,jeans,0,-0.4004775665971254
3,500,beach,shorts,jacket,0,-2.688247573806031
3,500,beach,shorts,coat,1,-0.0020020026706730793
3,500,beach,sunglasses,jacket,1,-0.5108256237659907
3,500,beach,a bikini,shorts,0,-3.123565645063875
3,500,beach,a bikini,sunglasses,0,-0.5242486440981312
3,500,beach,a jacket,jeans,1,-0.3065251602532608
3,500,beach,shorts,sunglasses,0,-3.6496587409606542
3,500,beach,shorts,sunglasses,0,-3.6496587409606542
3,500,beach,shorts,sunglasses,0,-3.6496587409606542
3,500,beach,a coat,jacket,0,-0.11878353598996698
3,500,beach,a bikini,jacket,0,-0.05975000440577405
3,500,beach,a coat,jeans,0,-0.4004775665971254
3,500,beach,shorts,sunglasses,1,-0.026343975339601977
3,500,beach,sunglasses,shorts,0,-0.24079848655293046
3,500,beach,a jacket,jeans,0,-1.3318061758358208
