set_boundary,num_reps,context,trigger,query,log_likelihood
3,500,bag,chalk,pen,-0.014098924379501648
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,chalk,makeup,-1.83258146374831
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,cash,makeup,-0.7507762933965817
3,500,bag,chalk,pen,-0.014098924379501648
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,pen,makeup,-0.07688104433595762
3,500,bag,cash,pen,-0.05129329438755058
3,500,bag,cash,pen,-0.05129329438755058
3,500,bag,cash,chalk,-1.9241486572738007
3,500,bag,makeup,cash,-0.7507762933965817
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,cash,-0.05129329438755058
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,makeup,-0.07688104433595762
3,500,bag,makeup,chalk,-1.8325814637483102
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,chalk,pen,-0.014098924379501648
3,500,bag,makeup,cash,-0.7507762933965817
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,makeup,chalk,-1.8325814637483102
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,cash,pen,-0.05129329438755058
3,500,bag,pen,cash,-0.05129329438755058
3,500,bag,pen,chalk,-0.014098924379501648
3,500,bag,chalk,pen,-0.014098924379501648
3,500,bag,chalk,makeup,-1.83258146374831
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,pen,cash,-0.05129329438755058
3,500,bag,chalk,cash,-1.9241486572738005
3,500,bag,makeup,pen,-0.07688104433595762
3,500,bag,chalk,makeup,-1.83258146374831
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,chalk,cash,-1.9241486572738005
3,500,bag,cash,chalk,-1.9241486572738007
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,cash,-0.05129329438755058
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,pen,makeup,-0.07688104433595762
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,makeup,pen,-0.07688104433595762
3,500,bag,chalk,cash,-1.9241486572738005
3,500,bag,pen,chalk,-0.014098924379501648
3,500,bag,cash,pen,-0.05129329438755058
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,makeup,cash,-0.6386589952758756
3,500,bag,pen,makeup,-2.6036901857779675
3,500,bag,cash,makeup,-0.7507762933965817
3,500,bag,cash,chalk,-1.9241486572738007
3,500,bag,pen,chalk,-0.014098924379501648
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,chalk,cash,-1.9241486572738005
3,500,bag,pen,makeup,-0.07688104433595762
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,cash,chalk,-1.9241486572738007
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,chalk,cash,-1.9241486572738005
3,500,bag,chalk,pen,-0.014098924379501648
3,500,bag,cash,chalk,-1.9241486572738007
3,500,bag,chalk,makeup,-1.83258146374831
3,500,bag,pen,makeup,-0.07688104433595762
3,500,bag,makeup,cash,-0.7507762933965817
3,500,bag,pen,cash,-0.05129329438755058
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,chalk,cash,-1.9241486572738005
3,500,bag,cash,pen,-0.05129329438755058
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,pen,chalk,-4.268697949366879
3,500,bag,chalk,makeup,-0.1743533871447778
3,500,bag,makeup,cash,-0.7507762933965817
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,cash,makeup,-0.6386589952758756
3,500,bag,makeup,pen,-0.07688104433595762
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,sandwiches,water,-0.3797973613595867
3,500,bakery,water,sandwiches,-0.3797973613595865
3,500,bakery,cakes,sandwiches,-0.10092591858996053
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,cakes,water,-0.044997365930735805
3,500,bakery,cakes,water,-0.044997365930735805
3,500,bakery,cakes,sandwiches,-2.3434070875143007
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,water,cakes,-0.044997365930735805
3,500,bakery,water,sandwiches,-0.3797973613595865
3,500,bakery,water,sandwiches,-0.3797973613595865
3,500,bakery,cakes,sandwiches,-0.10092591858996053
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,sandwiches,cakes,-0.10092591858996053
3,500,bakery,sandwiches,cakes,-0.10092591858996053
3,500,bakery,sandwiches,water,-0.3797973613595867
3,500,bakery,cakes,water,-0.044997365930735805
3,500,bakery,water,cakes,-0.044997365930735805
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,sandwiches,water,-0.3797973613595867
3,500,bakery,water,sandwiches,-1.1520130653952252
3,500,bakery,sandwiches,water,-0.3797973613595867
3,500,bakery,water,sandwiches,-0.3797973613595865
3,500,bakery,cakes,water,-0.044997365930735805
3,500,bakery,water,sandwiches,-0.3797973613595865
