set_boundary,num_reps,context,trigger,query,neg,log_likelihood
3,500,bag,chalk,pen,1,-0.020202707317519466
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,chalk,makeup,0,-0.004008021397538822
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,cash,makeup,1,-2.0249533563957662
3,500,bag,chalk,pen,1,-0.020202707317519466
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,a pen,makeup,0,0.0
3,500,bag,cash,pen,1,-0.022245608947319737
3,500,bag,cash,pen,1,-0.022245608947319737
3,500,bag,cash,chalk,1,-1.4696759700589417
3,500,bag,makeup,cash,0,-0.06613980250454507
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,cash,0,-0.014098924379501648
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,makeup,0,0.0
3,500,bag,makeup,chalk,1,-2.659260036932778
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,chalk,pen,1,-0.020202707317519466
3,500,bag,makeup,cash,0,-0.06613980250454507
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,makeup,chalk,1,-2.659260036932778
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,cash,pen,1,-0.022245608947319737
3,500,bag,a pen,cash,0,-0.014098924379501648
3,500,bag,a pen,chalk,0,-0.657780036722654
3,500,bag,chalk,pen,1,-0.020202707317519466
3,500,bag,chalk,makeup,0,-0.004008021397538822
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,a pen,cash,0,-0.014098924379501648
3,500,bag,chalk,cash,0,0.0
3,500,bag,makeup,pen,1,-0.3285040669720361
3,500,bag,chalk,makeup,0,-0.004008021397538822
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,chalk,cash,0,0.0
3,500,bag,cash,chalk,1,-1.4696759700589417
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,cash,0,-0.014098924379501648
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,a pen,makeup,0,0.0
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,makeup,pen,1,-0.3285040669720361
3,500,bag,chalk,cash,0,0.0
3,500,bag,a pen,chalk,0,-0.657780036722654
3,500,bag,cash,pen,1,-0.022245608947319737
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,makeup,cash,1,-2.7488721956224653
3,500,bag,a pen,makeup,1,-23.025850929940457
3,500,bag,cash,makeup,1,-2.0249533563957662
3,500,bag,cash,chalk,1,-1.4696759700589417
3,500,bag,a pen,chalk,0,-0.657780036722654
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,chalk,cash,0,0.0
3,500,bag,a pen,makeup,0,0.0
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,cash,chalk,1,-1.4696759700589417
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,chalk,cash,0,0.0
3,500,bag,chalk,pen,1,-0.020202707317519466
3,500,bag,cash,chalk,1,-1.4696759700589417
3,500,bag,chalk,makeup,0,-0.004008021397538822
3,500,bag,a pen,makeup,0,0.0
3,500,bag,makeup,cash,0,-0.06613980250454507
3,500,bag,a pen,cash,0,-0.014098924379501648
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,chalk,cash,0,0.0
3,500,bag,cash,pen,1,-0.022245608947319737
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,a pen,chalk,1,-0.7298111649315367
3,500,bag,chalk,makeup,1,-5.521460917862246
3,500,bag,makeup,cash,0,-0.06613980250454507
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,cash,makeup,0,-0.14156356432178688
3,500,bag,makeup,pen,1,-0.3285040669720361
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,sandwiches,water,0,-0.07042246429654593
3,500,bakery,water,sandwiches,1,-0.2718087232954908
3,500,bakery,cakes,sandwiches,0,-0.3092462503676215
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,cakes,water,0,0.0
3,500,bakery,cakes,water,0,0.0
3,500,bakery,cakes,sandwiches,1,-1.324258970200438
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,water,cakes,1,-0.022245608947319737
3,500,bakery,water,sandwiches,1,-0.2718087232954908
3,500,bakery,water,sandwiches,1,-0.2718087232954908
3,500,bakery,cakes,sandwiches,0,-0.3092462503676215
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,sandwiches,cakes,1,-0.0020020026706730793
3,500,bakery,sandwiches,cakes,1,-0.0020020026706730793
3,500,bakery,sandwiches,water,0,-0.07042246429654593
3,500,bakery,cakes,water,0,0.0
3,500,bakery,water,cakes,1,-0.022245608947319737
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,sandwiches,water,0,-0.07042246429654593
3,500,bakery,water,sandwiches,0,-1.4354846053106625
3,500,bakery,sandwiches,water,0,-0.07042246429654593
