set_boundary,num_reps,context,trigger,query,log_likelihood
3,500,bag,chalk,pen,-2.551046452292545
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,chalk,makeup,-0.004008021397538822
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,cash,makeup,-5.521460917862246
3,500,bag,chalk,pen,-2.551046452292545
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,pen,makeup,-0.004008021397538822
3,500,bag,cash,pen,-2.551046452292545
3,500,bag,cash,pen,-2.551046452292545
3,500,bag,cash,chalk,-5.521460917862246
3,500,bag,makeup,cash,-0.004008021397538822
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,pen,cash,-0.004008021397538822
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,pen,makeup,-0.004008021397538822
3,500,bag,makeup,chalk,-5.521460917862246
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,chalk,pen,-2.551046452292545
3,500,bag,makeup,cash,-0.004008021397538822
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,makeup,chalk,-5.521460917862246
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,cash,pen,-2.551046452292545
3,500,bag,pen,cash,-0.004008021397538822
3,500,bag,pen,chalk,-0.004008021397538822
3,500,bag,chalk,pen,-2.551046452292545
3,500,bag,chalk,makeup,-0.004008021397538822
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,pen,cash,-0.004008021397538822
3,500,bag,chalk,cash,-0.004008021397538822
3,500,bag,makeup,pen,-2.551046452292545
3,500,bag,chalk,makeup,-0.004008021397538822
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,cash,makeup,-0.004008021397538822
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,pen,chalk,-5.521460917862246
3,500,bag,chalk,cash,-0.004008021397538822
3,500,bag,cash,chalk,-5.521460917862246
3,500,bag,pen,chalk,-5.521460917862246
