set_boundary,num_reps,context,trigger,query,neg,log_likelihood
3,500,bag,chalk,pen,1,-0.7985076962177716
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,chalk,makeup,0,0.0
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,cash,makeup,1,-6.214608098422191
3,500,bag,chalk,pen,1,-0.7985076962177716
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,a pen,makeup,0,0.0
3,500,bag,cash,pen,1,-1.4354846053106625
3,500,bag,cash,pen,1,-1.4354846053106625
3,500,bag,cash,chalk,1,-23.025850929940457
3,500,bag,makeup,cash,0,0.0
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,cash,0,0.0
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,makeup,0,0.0
3,500,bag,makeup,chalk,1,-5.521460917862246
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,chalk,pen,1,-0.7985076962177716
3,500,bag,makeup,cash,0,0.0
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,makeup,chalk,1,-5.521460917862246
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,cash,pen,1,-1.4354846053106625
3,500,bag,a pen,cash,0,0.0
3,500,bag,a pen,chalk,0,-0.016129381929883644
3,500,bag,chalk,pen,1,-0.7985076962177716
3,500,bag,chalk,makeup,0,0.0
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,a pen,cash,0,0.0
3,500,bag,chalk,cash,0,0.0
3,500,bag,makeup,pen,1,-3.170085660698769
3,500,bag,chalk,makeup,0,0.0
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,chalk,cash,0,0.0
3,500,bag,cash,chalk,1,-23.025850929940457
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,cash,0,0.0
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,a pen,makeup,0,0.0
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,makeup,pen,1,-3.170085660698769
3,500,bag,chalk,cash,0,0.0
3,500,bag,a pen,chalk,0,-0.016129381929883644
3,500,bag,cash,pen,1,-1.4354846053106625
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,makeup,cash,1,-23.025850929940457
3,500,bag,a pen,makeup,1,-23.025850929940457
3,500,bag,cash,makeup,1,-6.214608098422191
3,500,bag,cash,chalk,1,-23.025850929940457
3,500,bag,a pen,chalk,0,-0.016129381929883644
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,chalk,cash,0,0.0
3,500,bag,a pen,makeup,0,0.0
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,cash,chalk,1,-23.025850929940457
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,chalk,cash,0,0.0
3,500,bag,chalk,pen,1,-0.7985076962177716
3,500,bag,cash,chalk,1,-23.025850929940457
3,500,bag,chalk,makeup,0,0.0
3,500,bag,a pen,makeup,0,0.0
3,500,bag,makeup,cash,0,0.0
3,500,bag,a pen,cash,0,0.0
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,chalk,cash,0,0.0
3,500,bag,cash,pen,1,-1.4354846053106625
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,a pen,chalk,1,-4.135166556742356
3,500,bag,chalk,makeup,1,-23.025850929940457
3,500,bag,makeup,cash,0,0.0
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,cash,makeup,0,-0.0020020026706730793
3,500,bag,makeup,pen,1,-3.170085660698769
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,sandwiches,water,0,0.0
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,cakes,sandwiches,0,-0.016129381929883644
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,cakes,water,0,0.0
3,500,bakery,cakes,water,0,0.0
3,500,bakery,cakes,sandwiches,1,-4.135166556742356
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,water,cakes,1,-4.017383521085972
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,cakes,sandwiches,0,-0.016129381929883644
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,sandwiches,cakes,1,-1.0498221244986778
3,500,bakery,sandwiches,cakes,1,-1.0498221244986778
3,500,bakery,sandwiches,water,0,0.0
3,500,bakery,cakes,water,0,0.0
3,500,bakery,water,cakes,1,-4.017383521085972
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,sandwiches,water,0,0.0
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,sandwiches,water,0,0.0
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,cakes,water,0,0.0
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,water,cakes,0,-0.01816397062767118
3,500,bakery,water,sandwiches,0,0.0
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,cakes,sandwiches,1,-4.135166556742356
3,500,bakery,sandwiches,water,0,0.0
3,500,bakery,cakes,water,0,0.0
3,500,bakery,cakes,sandwiches,0,-0.016129381929883644
3,500,bakery,sandwiches,cakes,1,-1.0498221244986778
3,500,bakery,water,sandwiches,1,-23.025850929940457
3,500,bakery,water,sandwiches,0,0.0
3,500,beach,a bikini,shorts,0,-3.123565645063875
3,500,beach,jeans,sunglasses,1,-23.025850929940457
3,500,beach,a coat,jeans,1,-1.1147416705979933
3,500,beach,a coat,jeans,0,-0.3974969384589876
3,500,beach,shorts,jacket,0,-0.0020020026706730793
3,500,beach,shorts,coat,1,-23.025850929940457
3,500,beach,sunglasses,jacket,1,-5.521460917862246
3,500,beach,a bikini,shorts,0,-3.123565645063875
3,500,beach,a bikini,sunglasses,0,0.0
3,500,beach,a jacket,jeans,1,-0.3092462503676215
3,500,beach,shorts,sunglasses,0,0.0
3,500,beach,shorts,sunglasses,0,0.0
3,500,beach,shorts,sunglasses,0,0.0
3,500,beach,a coat,jacket,0,-0.016129381929883644
3,500,beach,a bikini,jacket,0,0.0
3,500,beach,a coat,jeans,0,-0.3974969384589876
3,500,beach,shorts,sunglasses,1,-23.025850929940457
3,500,beach,sunglasses,shorts,0,-0.2206466711156225
3,500,beach,a jacket,jeans,0,-1.324258970200438
3,500,beach,sunglasses,bikini,1,-23.025850929940457
3,500,beach,a jacket,shorts,1,-0.657780036722654
3,500,beach,jeans,jacket,0,-0.0020020026706730793
3,500,beach,shorts,jeans,0,-0.01005033585350145
3,500,beach,a jacket,jeans,1,-0.3092462503676215
3,500,beach,a jacket,jeans,0,-1.324258970200438
3,500,beach,sunglasses,jeans,0,-0.057629112836636416
