set_boundary,num_samples,context,trigger,query,neg,log_likelihood,empirical_probability,probability_query_observed
2,100,bag,chalk,pen,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,pen,makeup,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,chalk,crayons,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,headphones,makeup,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,headphones,pen,1,0.0,1,1
2,100,bag,headphones,chalk,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,crayons,headphones,1,0.0,1,1
2,100,bag,crayons,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,0,-23.025850929940457,1,0
2,100,bag,crayons,pen,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,headphones,makeup,1,0.0,1,1
2,100,bag,pen,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,headphones,pen,1,0.0,1,1
2,100,bag,chalk,headphones,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,makeup,crayons,1,0.0,1,1
2,100,bag,makeup,pen,1,0.0,1,1
2,100,bag,chalk,crayons,1,0.0,1,1
2,100,bag,pen,headphones,0,-23.025850929940457,1,0
2,100,bag,pen,crayons,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,0,-23.025850929940457,1,0
2,100,bag,chalk,crayons,1,0.0,1,1
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,pen,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,headphones,0,-23.025850929940457,1,0
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,crayons,chalk,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,crayons,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,chalk,makeup,1,0.0,1,1
2,100,bag,headphones,chalk,0,-23.025850929940457,1,0
2,100,bag,pen,headphones,0,-23.025850929940457,1,0
2,100,bag,headphones,crayons,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,makeup,pen,1,0.0,1,1
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,crayons,headphones,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,makeup,crayons,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,headphones,chalk,0,-23.025850929940457,1,0
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,chalk,pen,1,0.0,1,1
2,100,bag,chalk,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,headphones,crayons,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,pen,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,crayons,headphones,0,-23.025850929940457,1,0
2,100,bag,makeup,headphones,0,-23.025850929940457,1,0
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,headphones,pen,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,pen,makeup,0,-23.025850929940457,1,0
2,100,bag,chalk,crayons,1,0.0,1,1
2,100,bag,makeup,chalk,1,0.0,1,1
2,100,bag,crayons,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,headphones,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,chalk,headphones,0,-23.025850929940457,1,0
2,100,bag,chalk,pen,1,0.0,1,1
2,100,bag,chalk,headphones,0,-23.025850929940457,1,0
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,crayons,makeup,0,-23.025850929940457,1,0
2,100,bag,chalk,makeup,0,-23.025850929940457,1,0
2,100,bag,chalk,headphones,0,-23.025850929940457,1,0
2,100,bag,crayons,chalk,0,-23.025850929940457,1,0
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,crayons,chalk,1,0.0,1,1
2,100,bag,chalk,pen,1,0.0,1,1
2,100,bag,headphones,pen,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,pen,crayons,1,0.0,1,1
2,100,bag,crayons,headphones,0,-23.025850929940457,1,0
2,100,bag,pen,chalk,1,0.0,1,1
2,100,bag,headphones,makeup,0,-23.025850929940457,1,0
2,100,bag,pen,makeup,0,-23.025850929940457,1,0
2,100,bag,headphones,pen,1,0.0,1,1
2,100,bag,headphones,crayons,1,0.0,1,1
2,100,bag,crayons,pen,1,0.0,1,1
