set_boundary,num_reps,context,trigger,query,neg,log_likelihood,empirical_probability
3,500,bag,chalk,pen,1,-23.025850929940457,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,chalk,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,cash,makeup,1,-23.025850929940457,0
3,500,bag,chalk,pen,1,-23.025850929940457,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,pen,makeup,0,0.0,0
3,500,bag,cash,pen,1,-23.025850929940457,0
3,500,bag,cash,pen,1,-23.025850929940457,0
3,500,bag,cash,chalk,1,-23.025850929940457,0
3,500,bag,makeup,cash,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,cash,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,makeup,0,0.0,0
3,500,bag,makeup,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,chalk,pen,1,-23.025850929940457,0
3,500,bag,makeup,cash,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,makeup,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,cash,pen,1,-23.025850929940457,0
3,500,bag,pen,cash,0,0.0,0
3,500,bag,pen,chalk,0,0.0,0
3,500,bag,chalk,pen,1,-23.025850929940457,0
3,500,bag,chalk,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,pen,cash,0,0.0,0
3,500,bag,chalk,cash,0,0.0,0
3,500,bag,makeup,pen,1,-23.025850929940457,0
3,500,bag,chalk,makeup,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,chalk,cash,0,0.0,0
3,500,bag,cash,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,cash,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,pen,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,makeup,pen,1,-23.025850929940457,0
3,500,bag,chalk,cash,0,0.0,0
3,500,bag,pen,chalk,0,0.0,0
3,500,bag,cash,pen,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,makeup,cash,1,-23.025850929940457,0
3,500,bag,pen,makeup,1,-23.025850929940457,0
3,500,bag,cash,makeup,1,-23.025850929940457,0
3,500,bag,cash,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,chalk,cash,0,0.0,0
3,500,bag,pen,makeup,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,cash,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,chalk,cash,0,0.0,0
3,500,bag,chalk,pen,1,-23.025850929940457,0
3,500,bag,cash,chalk,1,-23.025850929940457,0
3,500,bag,chalk,makeup,0,0.0,0
3,500,bag,pen,makeup,0,0.0,0
3,500,bag,makeup,cash,0,0.0,0
3,500,bag,pen,cash,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,chalk,cash,0,0.0,0
3,500,bag,cash,pen,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,pen,chalk,1,-23.025850929940457,0
3,500,bag,chalk,makeup,1,-23.025850929940457,0
3,500,bag,makeup,cash,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,cash,makeup,0,0.0,0
3,500,bag,makeup,pen,1,-23.025850929940457,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,sandwiches,water,0,0.0,0
3,500,bakery,water,sandwiches,1,-23.025850929940457,0
3,500,bakery,cakes,sandwiches,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,cakes,water,0,0.0,0
3,500,bakery,cakes,water,0,0.0,0
3,500,bakery,cakes,sandwiches,1,-23.025850929940457,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,water,cakes,1,-23.025850929940457,0
3,500,bakery,water,sandwiches,1,-23.025850929940457,0
3,500,bakery,water,sandwiches,1,-23.025850929940457,0
3,500,bakery,cakes,sandwiches,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,sandwiches,cakes,1,-23.025850929940457,0
3,500,bakery,sandwiches,cakes,1,-23.025850929940457,0
3,500,bakery,sandwiches,water,0,0.0,0
3,500,bakery,cakes,water,0,0.0,0
3,500,bakery,water,cakes,1,-23.025850929940457,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,sandwiches,water,0,0.0,0
3,500,bakery,water,sandwiches,0,0.0,0
3,500,bakery,sandwiches,water,0,0.0,0
3,500,bakery,water,sandwiches,1,-23.025850929940457,0
