set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.09431067947124129,0.91,0.91
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,chalk,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,pen,chalk,0,-0.09431067947124129,0.09,0.91
3,500,bag,crayons,pen,1,-0.03252319170556006,0.968,0.968
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,chalk,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,crayons,0,-0.03252319170556006,0.032,0.968
3,500,bag,pen,chalk,0,-0.09431067947124129,0.09,0.91
3,500,bag,chalk,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,0,-1.671313316152188,0.812,0.18799999999999994
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,chalk,pen,1,-0.09431067947124129,0.91,0.91
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,chalk,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,chalk,pen,1,-0.09431067947124129,0.91,0.91
3,500,bag,crayons,chalk,0,-1.671313316152188,0.812,0.18799999999999994
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,chalk,pen,1,-0.09431067947124129,0.91,0.91
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,crayons,pen,1,-0.03252319170556006,0.968,0.968
3,500,bag,chalk,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,chalk,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,pen,1,-0.03252319170556006,0.968,0.968
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,crayons,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,pen,crayons,0,-0.03252319170556006,0.032,0.968
3,500,bag,crayons,chalk,1,-0.20825493882045903,0.812,0.812
3,500,bag,crayons,pen,1,-0.03252319170556006,0.968,0.968
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bag,pen,chalk,0,-0.09431067947124129,0.09,0.91
3,500,bag,chalk,pen,1,-0.09431067947124129,0.91,0.91
3,500,bag,pen,chalk,1,-2.407945608651872,0.09,0.09
3,500,bakery,cakes,muffins,1,-0.36816932336446756,0.692,0.692
3,500,bakery,ice cream,muffins,0,-0.816445396904439,0.558,0.44199999999999995
3,500,bakery,ice cream,muffins,0,-0.816445396904439,0.558,0.44199999999999995
3,500,bakery,cakes,ice cream,1,-0.4812668215244463,0.618,0.618
3,500,bakery,cakes,ice cream,1,-0.4812668215244463,0.618,0.618
3,500,bakery,pretzels,muffins,1,-0.15082288973458366,0.86,0.86
3,500,bakery,cakes,ice cream,1,-0.4812668215244463,0.618,0.618
3,500,bakery,cakes,ice cream,1,-0.4812668215244463,0.618,0.618
3,500,bakery,muffins,pretzels,1,-1.9661128563728325,0.14,0.14
3,500,bakery,pretzels,ice cream,1,-0.20579491297959684,0.814,0.814
3,500,bakery,muffins,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,cakes,muffins,1,-0.36816932336446756,0.692,0.692
3,500,bakery,muffins,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,muffins,pretzels,1,-1.9661128563728325,0.14,0.14
3,500,bakery,ice cream,muffins,0,-0.816445396904439,0.558,0.44199999999999995
3,500,bakery,pretzels,cakes,1,-0.36528331847533263,0.694,0.694
3,500,bakery,cakes,pretzels,1,-1.1841701770297564,0.306,0.306
3,500,bakery,cakes,muffins,0,-1.1776554960085623,0.692,0.30800000000000005
3,500,bakery,cakes,pretzels,0,-0.36528331847533263,0.306,0.694
