NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,observed_rows,observed_boundaries,observed_contexts,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood,log_floor_rows,log_floor_rate,ci_lower,ci_upper,ci_level,bootstrap_samples,zero_probability_rows,zero_probability_rate,boundary_rows_min,boundary_rows_max,boundary_rows_range,boundary_rows_imbalanced,missing_rows,missing_boundaries,missing_contexts,missing_query_rows,missing_trigger_rows,total_candidate_rows,coverage
bert,BERT,set,110340,60,15,-4.053735772474053,-0.1531511794941747,7.97870799087035,-23.025850929940457,0.0,16198,0.14680079753489214,-5.635731221106621,-2.6204930438988563,0.95,1000,16198,0.14680079753489214,1839,1839,0,False,94140,60,13,60540,33600,204480,0.539612676056338
bert,BERT,ordering,110340,60,15,-2.013193580598091,-0.4845083154486173,4.344758369711871,-23.025850929940457,0.0,3935,0.03566249773427588,-2.7276458623476936,-1.4093616672890865,0.95,1000,3935,0.03566249773427588,1839,1839,0,False,94140,60,13,60540,33600,204480,0.539612676056338
bert,BERT,conjunction,110340,60,15,-1.9379922560849836,-0.4431669752921758,4.357852700451825,-23.025850929940457,0.0,3951,0.03580750407830342,-2.5802317074292302,-1.4408489996945932,0.95,1000,3951,0.03580750407830342,1839,1839,0,False,94140,60,13,60540,33600,204480,0.539612676056338
bert,BERT,disjunction,110340,60,15,-4.28099127479284,-0.2057949129795966,8.108648814232899,-23.025850929940457,0.0,16974,0.15383360522022838,-5.936470723534208,-2.734046277887831,0.95,1000,16974,0.15383360522022838,1839,1839,0,False,94140,60,13,60540,33600,204480,0.539612676056338
bert_static,BERT Static,set,114018,60,15,-5.879162626630782,-3.649658740960655,8.334944314968752,-23.025850929940457,0.0,20333,0.17833149151888297,-7.0918510163210895,-4.587018992617796,0.95,1000,20333,0.17833149151888297,1839,3678,1839,True,97278,60,13,62558,34720,211296,0.539612676056338
bert_static,BERT Static,ordering,114018,60,15,-0.9781225564910065,-0.7298111649315367,0.921834767506549,-23.025850929940457,0.0,28,0.0002455752600466593,-1.130072383136552,-0.8554853122367839,0.95,1000,28,0.0002455752600466593,1839,3678,1839,True,97278,60,13,62558,34720,211296,0.539612676056338
bert_static,BERT Static,conjunction,114018,60,15,-5.886089978132462,-3.649658740960655,8.340507673454368,-23.025850929940457,0.0,20370,0.17865600168394463,-7.017750502302738,-4.652452484202891,0.95,1000,20370,0.17865600168394463,1839,3678,1839,True,97278,60,13,62558,34720,211296,0.539612676056338
bert_static,BERT Static,disjunction,114018,60,15,-0.9780672695875513,-0.7298111649315367,0.9217553567521939,-23.025850929940457,0.0,28,0.0002455752600466593,-1.1245163167479535,-0.8538803478100225,0.95,1000,28,0.0002455752600466593,1839,3678,1839,True,97278,60,13,62558,34720,211296,0.539612676056338
cloze,Cloze,set,19176,24,9,-1.3137905812092117,-0.342490308946776,3.678940338264476,-23.025850929940457,0.0,496,0.025865665415102213,-2.035204366699512,-0.8099255814462849,0.95,1000,496,0.025865665415102213,799,799,0,False,31944,24,10,21528,10416,51120,0.3751173708920188
cloze,Cloze,ordering,19176,24,9,-0.8823414008938947,-0.6348782724359695,0.8411171000255667,-4.605170185988091,-0.0100503358535014,0,0.0,-1.106620834117748,-0.7251373036623481,0.95,1000,0,0.0,799,799,0,False,31944,24,10,21528,10416,51120,0.3751173708920188
cloze,Cloze,conjunction,19176,24,9,-0.9935718992511196,-0.7256703722655053,0.9108471285692894,-5.521460917862246,-0.002002002670673,0,0.0,-1.223083128376022,-0.8334171174329319,0.95,1000,0,0.0,799,799,0,False,31944,24,10,21528,10416,51120,0.3751173708920188
cloze,Cloze,disjunction,19176,24,9,-1.2418050352240546,-0.2587707289573608,3.7285881672692325,-23.025850929940457,0.0,510,0.026595744680851064,-1.9213591293205272,-0.6834240785497038,0.95,1000,510,0.026595744680851064,799,799,0,False,31944,24,10,21528,10416,51120,0.3751173708920188
