context,trigger,word,cosine_similarity
bag,chalk,chalk,0.99999994
bag,chalk,limestone,0.54475665
bag,chalk,charcoal,0.53186345
bag,chalk,proctor,0.53068006
bag,chalk,middlesbrough,0.52473545
bag,chalk,saline,0.524049
bag,chalk,acidic,0.5229126
bag,chalk,outlines,0.5220652
bag,chalk,ballast,0.52136767
bag,chalk,worcestershire,0.51969945
bag,chalk,bleak,0.5185672
bag,chalk,fabio,0.5170024
bag,chalk,pisa,0.51573974
bag,chalk,zhejiang,0.5149455
bag,chalk,leicestershire,0.5142437
bag,chalk,rutland,0.5141042
bag,chalk,benoit,0.514053
bag,chalk,pencil,0.51358837
bag,chalk,beech,0.5129124
bag,chalk,filippo,0.5124648
bag,chalk,opaque,0.51230264
bag,chalk,disdain,0.5121635
bag,chalk,shale,0.5120906
bag,chalk,jogging,0.51090467
bag,chalk,holloway,0.51007915
bag,chalk,overseeing,0.51004213
bag,chalk,barnsley,0.5098481
bag,chalk,durban,0.5094023
bag,chalk,consolidate,0.5074093
bag,chalk,shrugs,0.50715613
bag,chalk,northwards,0.5071174
bag,chalk,vinegar,0.506755
bag,chalk,signage,0.5066196
bag,chalk,banished,0.50631547
bag,chalk,confidently,0.5063025
bag,chalk,dwyer,0.5056206
bag,chalk,caucasian,0.5054642
bag,chalk,wessex,0.50545216
bag,chalk,highlighting,0.5053897
bag,chalk,penultimate,0.5047942
bag,chalk,shimmering,0.5047347
bag,chalk,overseen,0.50452113
bag,chalk,colourful,0.5044422
bag,chalk,fife,0.5043714
bag,chalk,pulsing,0.50436187
bag,chalk,marlborough,0.5041955
bag,chalk,chants,0.50400984
bag,chalk,outlined,0.5038721
bag,chalk,hurrying,0.5037433
bag,chalk,grassland,0.50370747
bag,chalk,brushes,0.50364697
bag,chalk,horst,0.5035908
bag,chalk,grasslands,0.50349337
bag,chalk,wiltshire,0.5030959
bag,chalk,hampstead,0.5029383
bag,chalk,tormented,0.50284433
bag,chalk,magnesium,0.50270176
bag,chalk,initiating,0.50268495
bag,chalk,cambridgeshire,0.5026239
bag,chalk,swirl,0.5025897
bag,chalk,derbyshire,0.5024518
bag,chalk,henan,0.5024458
bag,chalk,astonishing,0.5021843
bag,chalk,pebbles,0.50211847
bag,chalk,adjustments,0.5020734
bag,chalk,beige,0.5020433
bag,chalk,dorset,0.50191844
bag,chalk,aristocracy,0.50188863
bag,chalk,southend,0.50158787
bag,chalk,beak,0.5013616
bag,chalk,townspeople,0.50135356
bag,chalk,alexandre,0.50126886
bag,chalk,glided,0.5010475
bag,chalk,disused,0.5010051
bag,chalk,charred,0.50078034
bag,chalk,classed,0.5007111
bag,chalk,burnley,0.50065696
bag,chalk,resigning,0.50052947
bag,chalk,demoted,0.5004606
bag,chalk,bournemouth,0.50042355
bag,chalk,mentoring,0.50038177
bag,chalk,southampton,0.49991512
bag,chalk,funnel,0.49931324
bag,chalk,contentious,0.4990864
bag,chalk,inspecting,0.49899814
bag,chalk,freiburg,0.49890807
bag,chalk,turquoise,0.49881423
bag,chalk,flawless,0.4987613
bag,chalk,satirical,0.4985852
bag,chalk,pascal,0.4985611
bag,chalk,rodents,0.49849108
bag,chalk,admiring,0.4984736
bag,chalk,diagrams,0.49845505
bag,chalk,northamptonshire,0.49840462
bag,chalk,fourteenth,0.49812314
bag,chalk,grading,0.49806303
bag,chalk,sandstone,0.4979864
bag,chalk,supervise,0.4979432
bag,chalk,alton,0.49788183
bag,chalk,picturesque,0.4977969
bag,cash,cash,1.0
bag,cash,money,0.52693737
bag,cash,lucrative,0.46392918
bag,cash,monetary,0.45994586
bag,cash,businessmen,0.452581
bag,cash,foreigner,0.44222736
bag,cash,commodity,0.44212294
bag,cash,florian,0.43386397
bag,cash,diversified,0.43316272
bag,cash,sizable,0.4312169
bag,cash,calculating,0.4302895
bag,cash,weaponry,0.42831016
bag,cash,sums,0.4278247
bag,cash,coveted,0.42661172
bag,cash,riches,0.42649624
bag,cash,financial,0.4260645
bag,cash,indices,0.42510033
bag,cash,wealth,0.42492807
bag,cash,commodities,0.42471406
bag,cash,richer,0.42294565
bag,cash,euros,0.42248404
bag,cash,receipts,0.42169172
bag,cash,fifties,0.42116213
bag,cash,financing,0.4210324
bag,cash,profitable,0.42076465
bag,cash,albrecht,0.42050597
bag,cash,tangible,0.41977417
bag,cash,kia,0.41966373
bag,cash,aggressively,0.41935378
bag,cash,giacomo,0.4185962
bag,cash,standalone,0.41792557
bag,cash,wiltshire,0.41749015
bag,cash,nash,0.41737163
bag,cash,funds,0.41716325
bag,cash,sweets,0.41712588
bag,cash,declines,0.41711962
bag,cash,decreasing,0.4167958
bag,cash,upgrading,0.4167663
bag,cash,managerial,0.4166786
bag,cash,relocating,0.41650695
bag,cash,salman,0.41642272
