context,ordering_context_likelihood,set_context_likelihood
bag,-1077.391659931209,-1100.289496227531
bakery,-1159.4142409563017,-2280.219859119963
beach,-911.770650123042,-651.1949407040502
cold,-717.5356549083316,-463.35763893251976
cut,-1592.6087316929406,-1264.395334190775
fridge,-1504.012757861977,-1067.5412768299166
gym,-224.60513585262132,-1031.7190384636087
hot,-987.5549472644075,-313.5981600512763
mall,-3177.567428331786,-3177.567428331786
mask,-1210.1148319558,-1068.9450984044531
meat,-671.288918661203,-1064.9960908392575
restaurant,-565.5230842726851,-1017.7200519655701
salad,-666.1756779014419,-960.9584226604836
science,-234.05766279272106,-891.9066984829091
throw,-1334.1956845547968,-1692.8759000338493
transport,-1663.553846140683,-1175.9654515960156
