query,empirical_probability,bert_probability
a pen,0.0,0.0
crayons,0.0,0.0
makeup,0.0,3.560857294360176e-05
headphones,0.0,0.0
chalk,0.0,0.00089351023780182
cash,0.0,0.003590137930586934
muffins,0.0,0.0
sandwiches,0.0,0.0019010740797966719
pretzels,0.0,0.0
ice cream,0.0,0.0
cakes,0.0,0.01041488628834486
water,0.0,0.0017914000200107694
shorts,0.0,0.002008003881201148
sunglasses,0.0,0.0002784263633657247
jeans,0.0,0.003936947323381901
a jacket,0.0,0.0
a coat,0.0,0.0
a bikini,0.0,0.0
a sink,0.0,0.0
a heater,0.0,0.0
a microwave,0.0,0.0
tea,0.0,0.001093618804588914
blankets,0.0002,0.05790587142109871
a fridge,0.0,0.0
nail clippers,0.0,0.0
keys,0.0,0.00022063855431042612
a stapler,0.0,0.0
thumb tacks,0.0,0.0
scissors,0.0,0.002390607027336955
batteries,0.0,0.00022165541304275393
meat,0.0,0.00012850800703745335
milk,0.0002,0.07919976860284805
juice,0.0,0.008787021972239017
ketchup,0.0,0.0
yogurt,0.0,0.0
water,0.0002,0.5811249613761902
swimming,0.0,4.905592868453823e-05
softball,0.0,6.970843969611451e-05
lacrosse,0.0,2.03464715013979e-05
weightlifting,0.0,1.171411440736847e-06
basketball,0.0,0.00021994212875142694
meditation,0.0,4.150192864926794e-07
a shower,0.0,0.0
a pool,0.0,0.0
a couch,0.0,0.0
blankets,0.0,0.00651066517457366
a fan,0.0,0.0
a gift shop,0.0,0.0
an electronics store,0.0,0.0
a coffee shop,0.0,0.0
a pretzel stand,0.0,0.0
a grocery store,0.0,0.0
a burger joint,0.0,0.0
a wallet,0.0,0.0
a handkerchief,0.0,0.0
napkins,0.0,0.0
gloves,0.0,0.005399082321673632
a bandana,0.0,0.0
candy,0.0,0.00014010269660502672
tofu,0.0,0.0
mushrooms,0.0,0.0008136086980812252
chicken,0.0,0.06345008313655853
turkey,0.0,0.002998494543135166
crab,0.0,0.00011307268141536042
rice,0.0,0.0007366190548054874
soda,0.0,0.001183042535558343
soup,0.0,9.978667367249727e-05
vodka,0.0,0.002218151232227683
cake,0.0,7.217071106424555e-05
salad,0.0,0.0006528346566483378
cocktails,0.0,0.0
meat,0.0,0.0020905029959976673
lettuce,0.0,0.0
chips,0.0,0.0029876281041651964
tuna,0.0,0.000848239753395319
dressing,0.0,0.0003012657689396292
cigarettes,0.0,0.0003377517277840525
zoology,0.0,0.0019523391965776682
philosophy,0.0,0.0038652170915156603
math,0.0,0.0018157071899622679
art,0.0,0.0015372608322650194
physics,0.0002,0.08106205612421036
geology,0.0,0.0008866130374372005
a football,0.0,0.0
a shovel,0.0,0.0
a lawnmower,0.0,0.0
a boomerang,0.0,0.0
tires,0.0,0.0005496358498930931
a beach ball,0.0,0.0
roller blades,0.0,0.0
a hammer,0.0,0.0
a motorcycle,0.0,0.0
chairs,0.0,2.168362698284909e-05
a car,0.0,0.0
