query,empirical_probability,bert_probability
pen,0.0002,0.031262535601854324
crayons,0.0,0.0
makeup,0.0,0.0017565255984663963
headphones,0.0,0.0
chalk,0.0,0.00035769492387771606
cash,0.0,0.0023724031634628773
muffins,0.0,0.0
sandwiches,0.0,0.0036759248469024897
pretzels,0.0,0.0
ice cream,0.0,0.0
cakes,0.0002,0.03698396310210228
water,0.0,0.0018987712683156133
shorts,0.0002,0.46025168895721436
sunglasses,0.0,0.00011733293649740517
jeans,0.0002,0.2516119182109833
jacket,0.0,3.913330874638632e-05
coat,0.0,6.10266897638212e-06
bikini,0.0,0.008704131469130516
sink,0.0,1.064315028997953e-06
heater,0.0,0.0
microwave,0.0,8.03013699623989e-06
tea,0.0,0.0008463005069643259
blankets,0.0,0.0009467997588217258
fridge,0.0,8.878753305907594e-07
nail clippers,0.0,0.0
keys,0.0,0.0003356017987243831
stapler,0.0,0.0
thumb tacks,0.0,0.0
scissors,0.0,0.0003740031097549945
batteries,0.0,0.00048683956265449524
meat,0.0,2.326572484889766e-06
milk,0.0,0.002278032014146447
juice,0.0002,0.003727230243384838
ketchup,0.0,0.0
yogurt,0.0,0.0
water,0.0002,0.9598788619041443
swimming,0.0,0.015233345329761505
softball,0.0,0.004906059708446264
lacrosse,0.0,0.0040495130233466625
weightlifting,0.0,0.001268902444280684
basketball,0.0002,0.06419982761144638
meditation,0.0,0.00020626041805371642
shower,0.0,1.2670589057961479e-06
pool,0.0,0.001214959193021059
couch,0.0,3.5483580518302915e-07
blankets,0.0,0.000478102796478197
fan,0.0,3.3579337923583807e-06
gift shop,0.0,0.0
electronics store,0.0,0.0
coffee shop,0.0,0.0
pretzel stand,0.0,0.0
grocery store,0.0,0.0
burger joint,0.0,0.0
wallet,0.0,0.0002182204189011827
handkerchief,0.0,1.0897412039412302e-06
napkins,0.0,0.0
gloves,0.0,0.005560495890676975
bandana,0.0,0.0
candy,0.0,0.0009987195953726768
tofu,0.0,0.0
mushrooms,0.0,0.02188347838819027
chicken,0.0,0.18102887272834778
turkey,0.0,0.04017191380262375
crab,0.0,0.00010050188575405627
rice,0.0002,0.03922255337238312
soda,0.0,0.017389396205544472
soup,0.0,0.0012566348304972053
vodka,0.0,0.022121034562587738
cake,0.0,2.4086659323074855e-05
salad,0.0,0.0007705368334427476
cocktails,0.0,0.0
meat,0.0,0.006444374565035105
lettuce,0.0,0.0
chips,0.0,0.0027786409482359886
tuna,0.0,0.0053473967127501965
dressing,0.0,0.0025436212308704853
cigarettes,0.0,4.512020677793771e-05
zoology,0.0,0.0028718309476971626
philosophy,0.0,0.002417945768684149
math,0.0002,0.06726711988449097
art,0.0,0.004761025309562683
physics,0.0002,0.07289962470531464
geology,0.0,0.005769654177129269
football,0.0002,0.011562773957848549
shovel,0.0,3.542893682606518e-05
lawnmower,0.0,0.0
boomerang,0.0,0.0
tires,0.0,0.0001929525169543922
beach ball,0.0,0.0
roller blades,0.0,0.0
hammer,0.0,1.1276449185970705e-05
motorcycle,0.0,0.00021454050147440284
chairs,0.0,0.00029148263274692
car,0.0001,0.006554111372679472
