sentence_number,sentence,word,cloze_prob
1,He hated bees and feared encountering a,hive,0.43
1,He hated bees and feared encountering a,swarm,0.19
1,He hated bees and feared encountering a,bee,0.09
1,He hated bees and feared encountering a,nest,0.08
1,He hated bees and feared encountering a,wasp,0.06
1,He hated bees and feared encountering a,beehive,0.04
1,He hated bees and feared encountering a,sting,0.04
1,He hated bees and feared encountering a,stinger,0.03
1,He hated bees and feared encountering a,hornet,0.02
1,He hated bees and feared encountering a,disease,0.01
1,He hated bees and feared encountering a,yellowjacket,0.01
2,Grace laughed when he referred to her as a,girl,0.11
2,Grace laughed when he referred to her as a,lady,0.04
2,Grace laughed when he referred to her as a,diva,0.03
2,Grace laughed when he referred to her as a,clown,0.03
2,Grace laughed when he referred to her as a,prude,0.03
2,Grace laughed when he referred to her as a,doll,0.03
2,Grace laughed when he referred to her as a,princess,0.03
2,Grace laughed when he referred to her as a,boy,0.02
2,Grace laughed when he referred to her as a,child,0.02
2,Grace laughed when he referred to her as a,friend,0.02
2,Grace laughed when he referred to her as a,bimbo,0.02
2,Grace laughed when he referred to her as a,star,0.02
2,Grace laughed when he referred to her as a,hooker,0.02
2,Grace laughed when he referred to her as a,slut,0.02
2,Grace laughed when he referred to her as a,feminist,0.02
2,Grace laughed when he referred to her as a,woman,0.02
2,Grace laughed when he referred to her as a,sissy,0.02
2,Grace laughed when he referred to her as a,kid,0.02
2,Grace laughed when he referred to her as a,actress,0.02
2,Grace laughed when he referred to her as a,wizard,0.01
2,Grace laughed when he referred to her as a,dork,0.01
2,Grace laughed when he referred to her as a,stinky,0.01
2,Grace laughed when he referred to her as a,male,0.01
2,Grace laughed when he referred to her as a,relative,0.01
2,Grace laughed when he referred to her as a,twit,0.01
2,Grace laughed when he referred to her as a,harpy,0.01
2,Grace laughed when he referred to her as a,baby,0.01
2,Grace laughed when he referred to her as a,lush,0.01
2,Grace laughed when he referred to her as a,teacher,0.01
2,Grace laughed when he referred to her as a,minx,0.01
2,Grace laughed when he referred to her as a,beautiful,0.01
2,Grace laughed when he referred to her as a,nuthead,0.01
2,Grace laughed when he referred to her as a,monkey,0.01
2,Grace laughed when he referred to her as a,bully,0.01
2,Grace laughed when he referred to her as a,witch,0.01
2,Grace laughed when he referred to her as a,jerk,0.01
2,Grace laughed when he referred to her as a,donkey,0.01
2,Grace laughed when he referred to her as a,spinster,0.01
2,Grace laughed when he referred to her as a,loser,0.01
2,Grace laughed when he referred to her as a,girly girl,0.01
2,Grace laughed when he referred to her as a,wench,0.01
2,Grace laughed when he referred to her as a,ass,0.01
2,Grace laughed when he referred to her as a,cheat,0.01
2,Grace laughed when he referred to her as a,chicken,0.01
2,Grace laughed when he referred to her as a,cow,0.01
2,Grace laughed when he referred to her as a,snob,0.01
2,Grace laughed when he referred to her as a,goddess,0.01
2,Grace laughed when he referred to her as a,puppet,0.01
2,Grace laughed when he referred to her as a,pookie,0.01
2,Grace laughed when he referred to her as a,crazy,0.01
2,Grace laughed when he referred to her as a,idiot,0.01
2,Grace laughed when he referred to her as a,liar,0.01
2,Grace laughed when he referred to her as a,queen,0.01
2,Grace laughed when he referred to her as a,chick,0.01
2,Grace laughed when he referred to her as a,cancer,0.01
2,Grace laughed when he referred to her as a,girlfriend,0.01
2,Grace laughed when he referred to her as a,goof,0.01
2,Grace laughed when he referred to her as a,bird,0.01
2,Grace laughed when he referred to her as a,mom,0.01
2,Grace laughed when he referred to her as a,buffalo,0.01
2,Grace laughed when he referred to her as a,grouch,0.01
2,Grace laughed when he referred to her as a,scamp,0.01
2,Grace laughed when he referred to her as a,hag,0.01
2,Grace laughed when he referred to her as a,simpleton,0.01
3,The baby's face puckered when she ate something,sour,0.94
