context,excluded_items,ordering_context_likelihood,set_context_likelihood
bag,"{'headphones', 'crayons'}",-137.96571862900265,-387.7973104268402
bakery,"{'ice cream', 'pretzels', 'muffins'}",-27.423170622211607,-207.94901433345362
beach,,-994.4560784501188,-653.4163310129322
cold,{'heater'},-210.39934516724176,-341.4468909274137
cut,"{'nail clippers', 'thumb tacks', 'stapler'}",-30.101260312702962,-197.6598071577024
fridge,"{'ketchup', 'yogurt'}",-250.5909535885585,-586.7581725541453
gym,,-224.1832542358409,-1031.7190384636087
hot,{'heater'},-229.72971645523762,-274.1290961609236
mall,"{'pretzel stand', 'gift shop', 'electronics store', 'coffee shop', 'burger joint', 'grocery store'}",0.0,0.0
mask,"{'napkins', 'bandana'}",-302.5575629119182,-622.262995379453
meat,{'tofu'},-523.1953539995856,-604.7691813242217
restaurant,{'cocktails'},-142.3136594969864,-580.2288842967012
salad,{'lettuce'},-158.14748850444636,-431.36385127185116
science,,-244.53458211092735,-882.3346033451434
throw,"{'beach ball', 'lawnmower', 'boomerang'}",-34.26506986552854,-196.19558958772194
transport,"{'roller blades', 'lawnmower'}",-144.99219499191528,-286.0927653778458
