fridge_pos,fridge_neg,handbag_pos,handbag_neg,mall_pos,mall_neg,bakery_pos,bakery_neg,play_pos,play_neg,corner_pos,corner_neg,restaurant_pos,restaurant_neg,fitness_pos,fitness_neg,library_pos,library_neg,garage_pos,garage_neg,closet_pos,closet_neg
"('water', 48)","('meat', 33)","('pen', 47)","('wallet', 32)","('pizza', 29)","('clothing', 37)","('cake', 40)","('bread', 39)","('video games', 19)","('table', 16)","('lettuce', 39)","('chips', 19)","('beer', 42)","('fries', 17)","('soccer', 35)","('yoga', 33)","('chemistry', 33)","('history', 28)","('football', 42)","('car', 38)","('swimsuit', 40)","('shoes', 20)"
"('juice', 42)","('condiments', 24)","('pencil', 47)","('phone', 21)","('chinese', 27)","('electronics', 23)","('cookies', 35)","('coffee', 14)","('legos', 15)","('couch', 16)","('tomatoes', 24)","('bread', 19)","('wine', 39)","('salad', 15)","('football', 33)","('weights', 23)","('physics', 31)","('english', 25)","('frisbee', 39)","('tools', 19)","('shorts', 36)","('pants', 18)"
"('soda', 41)","('cheese', 23)","('marker', 32)","('keys', 20)","('burgers', 20)","('jewls', 20)","('donuts', 24)","('notsure', 14)","('board games', 11)","('books', 15)","('onions', 16)","('milk', 18)","('cocktails', 32)","('burgers', 14)","('baseball', 33)","('swimming', 18)","('biology', 30)","('math', 21)","('baseball', 38)","('lawn mower', 14)","('sandals', 15)","('jeans', 15)"
"('milk', 29)","('eggs', 22)","('crayon', 29)","('money', 19)","('burger', 16)","('shoes', 18)","('pie', 23)","('bagels', 14)","('blocks', 9)","('tv', 15)","('carrots', 15)","('soda', 16)","('vodka', 16)","('chicken', 13)","('basketball', 32)","('spin', 14)","('astronomy', 17)","('art', 18)","('basketball', 20)","('gardening tools', 13)","('hat', 12)","('coat', 14)"
"('beer', 25)","('vegetables', 21)","('highlighter', 13)","('lipstick', 18)","('mexican', 12)","('department', 11)","('cupcakes', 20)","('biscuits', 8)","('action figures', 8)","('chair', 7)","('dressing', 13)","('cigarettes', 14)","('whiskey', 15)","('steak', 12)","('volleyball', 19)","('notsure', 10)","('geology', 14)","('music', 11)","('soccer ball', 16)","('lawnmower', 11)","('tank top', 9)","('boots', 13)"
"('tea', 20)","('salad', 13)","('lipstick', 10)","('tissues', 11)","('subway', 12)","('toys', 10)","('brownies', 14)","('sandwiches', 8)","('ball', 8)","('refrigerator', 6)","('croutons', 12)","('candy', 13)","('soda', 14)","('pizza', 10)","('tennis', 17)","('aerobics', 10)","('notsure', 9)","('social studies', 7)","('tennis ball', 15)","('hand tools', 10)","('dress', 8)","('suit', 12)"
"('lemonade', 13)","('butter', 12)","('phone', 7)","('makeup', 10)","('hot dogs', 9)","('video games', 10)","('muffins', 11)","('water', 7)","('puzzles', 7)","('stove', 6)","('cucumbers', 10)","('beer', 12)","('tequila', 11)","('soda', 9)","('hockey', 11)","('running', 9)","('psychology', 7)","('philosophy', 7)","('softball', 12)","('bike', 10)","('notsure', 8)","('jacket', 9)"
"('wine', 11)","('fruits', 11)","('eyeliner', 7)","('mirror', 9)","('sandwiches', 8)","('sports', 8)","('ice cream', 9)","('croissants', 7)","('balls', 6)","('furniture', 6)","('tomato', 10)","('water', 6)","('water', 9)","('pasta', 9)","('lacrosse', 10)","('meditation', 9)","('earth science', 7)","('psychology', 6)","('notsure', 11)","('bicycle', 9)","('pants', 7)","('coats', 8)"
"('coffee', 8)","('leftovers', 10)","('sharpie', 6)","('chapstick', 7)","('chicken', 6)","('perfume', 6)","('cheesecake', 8)","('pizza', 7)","('toys', 5)","('oven', 5)","('cheese', 8)","('chicken', 6)","('rum', 8)","('water', 8)","('rugby', 8)","('zumba', 9)","('anatomy', 7)","('algebra', 6)","('hacky sack', 9)","('gas', 8)","('coverup', 7)","('sweater', 8)"
"('sports drink', 6)","('bread', 10)","('notepad', 6)","('gum', 5)","('italian', 6)","('theater', 6)","('tarts', 7)","('rolls', 7)","('coloring books', 5)","('food', 5)","('olives', 8)","('eggs', 5)","('gin', 6)","('wings', 7)","('softball', 7)","('pilates', 7)","('zoology', 7)","('economics', 6)","('volleyball', 6)","('boxes', 7)","('t-shirt', 6)","('hangers', 8)"
"('seltzer', 6)","('fruit', 9)","('voice recorder', 6)","('mints', 5)","('mexicans', 5)","('salon', 5)","('pastries', 6)","('tea', 6)","('soccer ball', 5)","('bed', 5)","('salad dressing', 6)","('liquor', 5)","('juice', 4)","('salads', 7)","('track', 7)","('dance', 6)","('botany', 6)","('mathematics', 5)","('ball', 6)","('workout gear', 7)","('tshirt', 5)","('scarf', 6)"
"('ice cream', 2)","('yogurt', 9)","('chalk', 5)","('glasses', 5)","('cafe', 5)","('music', 5)","('scones', 5)","('muffins', 6)","('puzzle', 5)","('chairs', 5)","('celery', 6)","('steak', 4)","('coke', 4)","('sandwiches', 7)","('swimming', 6)","('tennis', 6)","('medicine', 3)","('spanish', 5)","('boomerang', 5)","('motorcycle', 7)","('shirt', 5)","('ties', 6)"
"('kool-aid', 1)","('pickles', 6)","('notsure', 5)","('water', 4)","('sushi', 5)","('shoe', 4)","('eclairs', 5)","('pretzels', 6)","('notsure', 5)","('television', 5)","('spinach', 6)","('meat', 4)","('whisky', 3)","('fish', 6)","('racquetball', 6)","('karate', 6)","('space', 3)","('health', 5)","('horseshoes', 5)","('paint', 6)","('sunglasses', 5)","('gloves', 6)"
"('whiskey', 1)","('pizza', 4)","('pens', 3)","('comb', 4)","('pretzels', 4)","('stuffed animals', 4)","('cakes', 5)","('sandwich', 4)","('cards', 5)","('mop', 4)","('onion', 6)","('beef jerky', 3)","('tea', 3)","('dessert', 5)","('weights', 5)","('personal training', 5)","('engineering', 3)","('sociology', 5)","('beach ball', 5)","('tires', 6)","('speedo', 4)","('sweatpants', 5)"
"('sod', 1)","('pasta', 4)","('ink', 3)","('id', 4)","('french fries', 3)","('books', 4)","('pudding', 4)","('crackers', 4)","('dolls', 5)","('knives', 4)","('cucumber', 5)","('crackers', 3)","('coffee', 3)","('tea', 5)","('dodgeball', 5)","('golf', 4)","('astrology', 3)","('cooking', 5)","('soccerball', 3)","('sports gear', 5)","('sarong', 4)","('shirt', 5)"
"('juice ', 1)","('salad dressing', 4)","('paper', 3)","('chap stick', 3)","('sandwich', 3)","('appliances', 4)","('pies', 4)","('soda', 4)","('books', 5)","('clothes', 3)","('carrot', 4)","('alcohol', 3)","('shots', 2)","('hamburgers', 5)","('notsure', 5)","('treadmill', 4)","('physical science', 2)","('geometry', 4)","('kickball', 3)","('hose', 5)","('bikini', 4)","('hats', 5)"
"('mint water', 1)","('left overs', 3)","('pencils', 2)","('make up', 3)","('indian', 3)","('furniture', 4)","('fruit', 3)","('flatbread', 4)","('xbox', 4)","('lamp', 3)","('kale', 4)","('ice cream', 3)","('brandy', 2)","('juice', 5)","('polo', 4)","('exercise classes', 4)","('science magazines', 2)","('literature', 4)","('golf ball', 3)","('skateboard', 4)","('underwear', 3)","('shirts', 4)"
"('smoothie', 1)","('milk', 3)","('markers', 2)","('medicine', 3)","('pasta', 3)","('bathroom', 4)","('cinnamon rolls', 3)","('fruit', 3)","('crayons', 4)","('art', 3)","('cabbage', 4)","('pretzels', 3)","('hard seltzer', 2)","('ice cream', 5)","('flag football', 3)","('boxing', 4)","('encyclopedia', 2)","('architecture', 3)","('baseballs', 2)","('auto gear', 4)","('wet suit', 3)","('socks', 4)"
"('limeade', 1)","('jelly', 3)","('quill', 2)","('hand sanitizer', 3)","('subs', 2)","('makeup', 4)","('fudge', 2)","('vegetables', 3)","('football', 4)","('shelves', 3)","('chicken salad', 3)","('hot dogs', 3)","('wine coolers', 2)","('tacos', 4)","('wrestling', 3)","('cardio', 3)","('nature', 2)","('accounting', 3)","('footballs', 2)","('gardening supplies', 3)","('robe', 3)","('toys', 3)"
"('sports drinks', 1)","('pie', 2)","('nail polish', 2)","('books', 3)","('ice cream', 2)","('book', 3)","('chocolate', 2)","('scones', 3)","('trucks', 4)","('paintings', 3)","('broccoli', 3)","('donuts', 3)","('lemonade', 2)","('appetizers', 4)","('running', 3)","('stretching', 3)","('ecology', 2)","('computer programming', 3)","('medicine ball', 2)","('toolbox', 3)","('jeans', 3)","('storage', 3)"
"('coke', 1)","('steak', 2)","('charcoal', 2)","('lip stick', 3)","('asian', 2)","('glasses', 3)","('truffles', 2)","('bagel', 3)","('toy cars', 4)","('microwave', 3)","('crutons', 3)","('coffee', 3)","('iced tea', 2)","('bread', 4)","('yoga', 3)","('fencing', 3)","('books', 2)","('crafts', 3)","('basket ball', 2)","('broom', 3)","('swimsuits', 3)","('belt', 3)"
"('iced tea', 1)","('juice', 2)","('lip stick', 2)","('perfume', 3)","('chick fil a', 2)","('arcade', 2)","('candy', 2)","('biscuit', 3)","('cars', 4)","('dishwasher', 3)","('peppers', 3)","('jerky', 3)","('scotch', 2)","('soup', 4)","('golf', 3)","('weight lifting', 3)","('encyclopedias', 2)","('creative writing', 3)","('stick', 2)","('freezer', 3)","('towel', 3)","('dress', 3)"
