context,query,position,probability
bag,this,0.0,0.21334080398082733
bag,paper,1.0,0.15858981013298035
bag,pictures,2.0,0.1124831885099411
bag,lipstick,3.0,0.08309183269739151
bag,ink,4.0,0.034417178481817245
bag,pens,5.0,0.033602919429540634
bag,pen,6.0,0.0312626026570797
bag,gum,7.0,0.025502387434244156
bag,pencil,8.0,0.021056925877928734
bag,water,9.0,0.020419428125023842
bag,cash,33.0,0.0023723971098661423
bag,makeup,44.0,0.0017565243178978562
bag,chalk,131.0,0.0003576950402930379
bag,headphones,,
bag,crayons,,
bakery,coffee,0.0,0.32806262373924255
bakery,chocolate,1.0,0.12945112586021423
bakery,pie,2.0,0.11475462466478348
bakery,cakes,3.0,0.036984242498874664
bakery,fruit,4.0,0.03274891525506973
bakery,dessert,5.0,0.027885667979717255
bakery,vanilla,6.0,0.02606251835823059
bakery,cherry,7.0,0.021335037425160408
bakery,bread,8.0,0.019861100241541862
bakery,cookies,9.0,0.018995454534888268
bakery,sandwiches,24.0,0.0036759492941200733
bakery,water,35.0,0.001898769405670464
bakery,pretzels,,
bakery,ice cream,,
bakery,muffins,,
beach,bikini,0.0,0.7436550259590149
beach,clothes,1.0,0.0588734969496727
beach,shorts,2.0,0.05129193887114525
beach,underwear,3.0,0.03608081489801407
beach,shirt,4.0,0.019058512523770332
beach,trunks,5.0,0.009556015953421593
beach,towel,6.0,0.006554050836712122
beach,jeans,7.0,0.00638448353856802
beach,panties,8.0,0.006081766914576292
beach,passport,9.0,0.005584403406828642
beach,jacket,21.0,0.0015847815666347742
beach,coat,29.0,0.0009031948866322637
beach,sunglasses,44.0,0.00025391639792360365
cold,room,0.0,0.3331005275249481
cold,bedroom,1.0,0.25902414321899414
cold,cabin,2.0,0.09758614003658295
cold,bathroom,3.0,0.04246557503938675
cold,closet,4.0,0.022437984123826027
cold,bed,5.0,0.02144233137369156
cold,generator,6.0,0.013404250144958496
cold,stove,7.0,0.012005847878754139
cold,kitchen,8.0,0.01157405599951744
cold,tv,9.0,0.010051860474050045
cold,microwave,37.0,0.0014225264312699437
cold,fridge,114.0,0.000313605647534132
cold,sink,286.0,5.914341818424873e-05
cold,tea,1122.0,3.4559282084956067e-06
cold,blankets,2027.0,8.226487011597783e-07
cold,heater,,
cut,wallet,0.0,0.13557715713977814
cut,underwear,1.0,0.08628351241350174
cut,passport,2.0,0.04637565091252327
cut,lipstick,3.0,0.03583003953099251
cut,purse,4.0,0.03563593327999115
cut,bag,5.0,0.02810010313987732
cut,phone,6.0,0.026017334312200546
cut,shirt,7.0,0.017568588256835938
cut,clothes,8.0,0.017479078844189644
cut,jeans,9.0,0.01681305654346943
cut,keys,41.0,0.003802808467298746
cut,scissors,126.0,0.0008745808154344559
cut,batteries,351.0,0.00018473366799298674
cut,thumb tacks,,
cut,stapler,,
cut,nail clippers,,
fridge,water,0.0,0.9598785638809204
