"id","story","trigger","trigger_relevance","query","query_relevance","response","neg","set","scale","region","set_model","ordering_model","conjunction_model","disjunction_model"
"A12FTSX85NQ8N9","fridge","water",0,"yogurt",3,0,0,"outside","below","C",0,0,0,0
"A12FTSX85NQ8N9","bag","a pen",0,"headphones",5,0,0,"outside","below","C",0,0,0,0
"A12FTSX85NQ8N9","mall","an electronics store",5,"a gift shop",4,0,0,"outside","above","D",0,-1,0,-1
"A12FTSX85NQ8N9","bakery","sandwiches",4,"pretzels",3,0,0,"outside","above","D",0,-1,0,-1
"A12FTSX85NQ8N9","salad","cigarettes",5,"meat",3,0,0,"outside","above","D",0,-1,0,-1
"A12FTSX85NQ8N9","restaurant","salad",5,"cake",4,0,0,"outside","above","D",0,-1,0,-1
"A12FTSX85NQ8N9","gym","basketball",0,"softball",1,-1,1,"inside","below","A",-1,0,0,-1
"A12FTSX85NQ8N9","science","physics",0,"zoology",2,-1,1,"inside","below","A",-1,0,0,-1
"A12FTSX85NQ8N9","throw","a beach ball",1,"a boomerang",2,0,0,"inside","below","A",-1,0,0,-1
"A12FTSX85NQ8N9","beach","a bikini",0,"shorts",1,0,0,"inside","below","A",-1,0,0,-1
"A12FTSX85NQ8N9","hot","a heater",5,"a shower",2,0,0,"inside","above","B",-1,-1,-1,-1
"A12FTSX85NQ8N9","cold","a microwave",3,"a heater",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A12FTSX85NQ8N9","transport","chairs",4,"a motorcycle",1,0,0,"inside","above","B",-1,-1,-1,-1
"A12FTSX85NQ8N9","cut","a stapler",4,"keys",2,0,0,"inside","above","B",-1,-1,-1,-1
"A12FTSX85NQ8N9","mask","a handkerchief",1,"gloves",3,0,0,"outside","below","C",0,0,0,0
"A12FTSX85NQ8N9","meat","tofu",3,"mushrooms",4,0,0,"outside","below","C",0,0,0,0
"A16335MOISDG1F","fridge","yogurt",3,"juice",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A16335MOISDG1F","bag","chalk",2,"a pen",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A16335MOISDG1F","mall","a coffee shop",2,"a pretzel stand",1,-1,1,"inside","above","B",-1,-1,-1,-1
