context,trigger,word,cosine_similarity
bag,chalk,chalk,0.99999994
bag,chalk,1628,0.5638586
bag,chalk,1809,0.55894566
bag,chalk,1757,0.55888796
bag,chalk,1747,0.55640733
bag,chalk,1823,0.55621624
bag,chalk,1755,0.5556628
bag,chalk,1609,0.55558467
bag,chalk,1626,0.5553075
bag,chalk,1728,0.5550006
bag,chalk,1826,0.5549109
bag,chalk,1805,0.5545862
bag,chalk,1756,0.55446297
bag,chalk,1767,0.55316746
bag,chalk,1829,0.55270517
bag,chalk,1726,0.5521769
bag,chalk,1827,0.5519404
bag,chalk,1709,0.5519351
bag,chalk,1828,0.5518862
bag,chalk,1794,0.5515886
bag,chalk,ᄎ,0.5511707
bag,chalk,1808,0.5508511
bag,chalk,1825,0.5508481
bag,chalk,1621,0.5498359
bag,chalk,1759,0.5488117
bag,chalk,1737,0.54872537
bag,chalk,1623,0.54866225
bag,chalk,1666,0.5486316
bag,chalk,1821,0.54841894
bag,chalk,1670,0.54830253
bag,chalk,1779,0.54816705
bag,chalk,1705,0.5481265
bag,chalk,1778,0.5480027
bag,chalk,1724,0.5478598
bag,chalk,1708,0.54739213
bag,chalk,1769,0.54728615
bag,chalk,1762,0.54683214
bag,chalk,1723,0.5464858
bag,chalk,226,0.5460481
bag,chalk,1618,0.5458859
bag,chalk,1819,0.5456835
bag,chalk,227,0.54526865
bag,chalk,1736,0.5449627
bag,chalk,1718,0.544833
bag,chalk,1761,0.5447681
bag,chalk,limestone,0.54475665
bag,chalk,1624,0.5447565
bag,chalk,1721,0.54474497
bag,chalk,1658,0.5446431
bag,chalk,##ख,0.5446385
bag,chalk,1699,0.54413986
bag,chalk,1797,0.5440132
bag,chalk,229,0.5437436
bag,chalk,1697,0.5436767
bag,chalk,1740,0.54357463
bag,chalk,1753,0.5434209
bag,chalk,1749,0.5432797
bag,chalk,1727,0.5432654
bag,chalk,1630,0.54316425
bag,chalk,1712,0.542836
bag,chalk,1742,0.542732
bag,chalk,1754,0.5427222
bag,chalk,1722,0.5425043
bag,chalk,1822,0.5422869
bag,chalk,1704,0.5421856
bag,chalk,1833,0.54206693
bag,chalk,1796,0.5413659
bag,chalk,1813,0.5407145
bag,chalk,1635,0.5405516
bag,chalk,1729,0.54037774
bag,chalk,1806,0.54016626
bag,chalk,1610,0.5398861
bag,chalk,1622,0.5398202
bag,chalk,1733,0.53966457
bag,chalk,1768,0.5395876
bag,chalk,1634,0.539559
bag,chalk,1777,0.5391948
bag,chalk,1612,0.539028
bag,chalk,1645,0.5387295
bag,chalk,1811,0.5386828
bag,chalk,1717,0.5384912
bag,chalk,1720,0.5382801
bag,chalk,253,0.5382346
bag,chalk,##ᄏ,0.5379522
bag,chalk,1620,0.5379198
bag,chalk,1672,0.5376507
bag,chalk,ק,0.53749835
bag,chalk,1665,0.5374571
bag,chalk,37th,0.5372925
bag,chalk,1752,0.537032
bag,chalk,321,0.5369765
bag,chalk,1731,0.536713
