context,trigger,query,human_rate,human_total,Conjunction Top-K,Conjunction Top-p,Disjunction Top-K,Disjunction Top-p,No linking,Ordering,Set Top-K,Set Top-p,X but not Y,human_yes,No linking absolute_error,X but not Y absolute_error,Ordering absolute_error,Set Top-K absolute_error,Conjunction Top-K absolute_error,Disjunction Top-K absolute_error,Set Top-p absolute_error,Conjunction Top-p absolute_error,Disjunction Top-p absolute_error
fridge,juice,ketchup,0.3333333333333333,6,0.002,0.0,0.008,0.004,3.904618229534004e-06,0.004,0.006,0.0,3.3176115593337835e-05,2,0.3333294287151038,0.33330015721774,0.3293333333333333,0.3273333333333333,0.3313333333333333,0.3253333333333333,0.3333333333333333,0.3333333333333333,0.3293333333333333
fridge,juice,meat,0.0,3,0.004,0.0,0.016,0.01,1.1334065415000177e-06,0.01,0.01,0.0,7.627600971517954e-06,0,1.1334065415000177e-06,7.627600971517954e-06,0.01,0.01,0.004,0.016,0.0,0.0,0.01
fridge,juice,milk,1.0,15,0.616,0.188,0.94,0.654,0.0022157654826684865,0.64,0.916,0.202,0.05286638113431486,15,0.9977842345173316,0.9471336188656851,0.36,0.08399999999999996,0.384,0.06000000000000005,0.798,0.812,0.346
fridge,juice,water,1.0,6,0.974,0.974,1.0,1.0,0.05714534497480362,0.974,1.0,1.0,0.44264481618956975,6,0.9428546550251964,0.5573551838104303,0.026000000000000023,0.0,0.026000000000000023,0.0,0.0,0.026000000000000023,0.0
fridge,juice,yogurt,0.0,5,0.018,0.002,0.05,0.03,1.8008659693827032e-05,0.03,0.038,0.002,7.46658910453202e-05,0,1.8008659693827032e-05,7.46658910453202e-05,0.03,0.038,0.018,0.05,0.002,0.002,0.03
fridge,ketchup,juice,1.0,5,0.726,0.114,0.996,0.996,0.01057082591162501,0.996,0.726,0.114,0.05289114183016655,5,0.9894291740883749,0.9471088581698335,0.0040000000000000036,0.274,0.274,0.0040000000000000036,0.886,0.886,0.0040000000000000036
fridge,ketchup,meat,0.0,4,0.01,0.0,0.746,0.746,1.1334065415000177e-06,0.746,0.01,0.0,1.7197098466177704e-05,0,1.1334065415000177e-06,1.7197098466177704e-05,0.746,0.01,0.01,0.746,0.0,0.0,0.746
fridge,ketchup,milk,1.0,5,0.914,0.202,0.998,0.996,0.0022157654826684865,0.996,0.916,0.202,0.04384829667101746,5,0.9977842345173316,0.9561517033289826,0.0040000000000000036,0.08399999999999996,0.08599999999999997,0.0020000000000000018,0.798,0.798,0.0040000000000000036
fridge,ketchup,water,1.0,2,1.0,1.0,1.0,1.0,0.05714534497480362,1.0,1.0,1.0,0.39081559082517303,2,0.9428546550251964,0.609184409174827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fridge,ketchup,yogurt,0.2222222222222222,18,0.038,0.002,0.852,0.852,1.8008659693827032e-05,0.852,0.038,0.002,0.00019075515138729227,4,0.2222042135625284,0.22203146707083493,0.6297777777777778,0.1842222222222222,0.1842222222222222,0.6297777777777778,0.2202222222222222,0.2202222222222222,0.6297777777777778
