context,predictor,mean_absolute_error,trigger_residual_pearson_descriptive,trigger_residual_sd
fridge,No linking,0.5330662823920961,,2.6301809465768247e-18
fridge,X but not Y,0.45085749274203324,-0.2583610749076542,0.08205951545539635
fridge,Ordering,0.19739629629629626,0.18792691507827347,0.3050385165052507
fridge,Set Top-K,0.14272222222222225,,0.0
fridge,Conjunction Top-K,0.2153888888888889,-0.10811171977715779,0.18383455830606554
fridge,Disjunction Top-K,0.12472962962962963,0.37780317536522257,0.20433819161312974
fridge,Set Top-p,0.3364333333333334,,5.260361893153649e-18
fridge,Conjunction Top-p,0.34569999999999995,-0.07826530066364737,0.03173945657140771
fridge,Disjunction Top-p,0.18812962962962962,0.20953539200894064,0.28543648366474905
beach,No linking,0.5428167376428202,,2.0548288645131443e-20
beach,X but not Y,0.5522810662456841,0.22154390948693398,0.011571601587540678
beach,Ordering,0.3229070707070708,0.18586771529571894,0.24131936201382312
beach,Set Top-K,0.2920707070707071,,2.1041447572614597e-17
beach,Conjunction Top-K,0.3176707070707071,0.10601606834034276,0.12735289011518214
beach,Disjunction Top-K,0.30330707070707075,0.22514950044164994,0.13924981272815984
beach,Set Top-p,0.3058707070707071,,4.128630143778553e-17
beach,Conjunction Top-p,0.3169373737373738,0.1020705738036205,0.15788883037954488
beach,Disjunction Top-p,0.31264040404040405,0.2512301434760429,0.11438784599049337
cold,No linking,0.3173432316586751,,3.210670100801788e-22
cold,X but not Y,0.34763777365614656,0.40028377354731803,0.00022678928771862226
cold,Ordering,0.37703951016303955,-0.11828749127409822,0.29232811041350615
cold,Set Top-K,0.22389382317029374,,4.2082895145229195e-17
cold,Conjunction Top-K,0.22789382317029372,0.09305830621729408,0.021503488089144984
cold,Disjunction Top-K,0.3731728434963728,-0.13054369244179573,0.280211447254415
cold,Set Top-p,0.22309382317029372,,1.3150904732884123e-18
cold,Conjunction Top-p,0.2277604898369604,0.09833347756776886,0.027012130097676352
cold,Disjunction Top-p,0.3725061768297062,-0.1345470894194067,0.276742928140652
