vocab_index_zero_based,candidate,vocabulary_source,vocabulary_path,source_line_one_based,saved_log_score,unnormalized_continuation_probability,normalized_sampling_probability,rank_one_based,descending_cumulative_probability,prefix_count,prefix_inclusion_frequency,theoretical_inclusion_p06
5908,mask,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5909,-4.400766372680664,0.012267934489661783,0.6522432897840695,1,0.6522432897840695,500,1.0,1.0
11044,masks,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,11045,-7.275766372680664,0.0006921095035919608,0.03679704842686075,2,0.6890403382109302,21,0.042,0.05340332979982424
380,face,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,381,-7.525766372680664,0.0005390154233685803,0.02865757012955555,3,0.7176979083404857,12,0.024,0.04208772791561884
1125,blue,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1126,-8.838266372680664,0.0001450740331083686,0.007713080363820402,6,0.7493034938308761,10,0.02,0.011687257995694433
1370,double,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1371,-8.838266372680664,0.0001450740331083686,0.007713080363820402,7,0.7570165741946966,10,0.02,0.011687257995694433
4514,surgical,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4515,-8.400766372680664,0.00022469505802329268,0.01194625256328502,4,0.7296441609037707,9,0.018,0.01798620996209156
16529,disposable,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,16530,-8.400766372680664,0.00022469505802329268,0.01194625256328502,5,0.7415904134670557,8,0.016,0.01798620996209156
2,and,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,3,-9.275766372680664,9.366683569936941e-05,0.004979938971120553,9,0.7672976306063242,4,0.008,0.007577241267860811
2411,cotton,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2412,-9.400766372680664,8.26606923795937e-05,0.004394780717074204,11,0.7763706310448829,3,0.006,0.0066928509242848554
70,two,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,71,-9.525766372680664,7.294780499048951e-05,0.0038783803703564923,12,0.7802490114152394,3,0.006,0.005911068856243797
35954,reusable,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,35955,-9.525766372680664,7.294780499048951e-05,0.0038783803703564923,14,0.7880057721559524,3,0.006,0.005911068856243797
587,n,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,588,-10.057016372680664,4.288380227475175e-05,0.002279982200565596,22,0.8100132479576304,3,0.006,0.003483424193080668
174,public,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,175,-12.150766372680664,5.284321269693017e-06,0.0002809489317150345,142,0.889634796960729,3,0.006,0.00043055708132461493
2952,cloth,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2953,-9.213266372680664,9.970782758634829e-05,0.005301117440506933,8,0.7623176916352036,2,0.004,0.00806199152827164
2317,clean,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2318,-10.025766372680664,4.424508028547015e-05,0.002352356604648851,21,0.8077332657570648,2,0.004,0.00359360258142009
8,for,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,9,-10.432016372680664,2.9473577537228786e-05,0.0015670073222829822,28,0.8209959852921646,2,0.004,0.0023967308701289603
66,new,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,67,-10.525766372680664,2.6835997734584635e-05,0.001426776403297038,31,0.8254618361658216,2,0.004,0.002182716445345181
123,good,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,124,-10.557016372680664,2.6010340884691307e-05,0.0013828791082421128,32,0.8268447152740637,2,0.004,0.0021157034005931143
4171,favorite,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4172,-10.557016372680664,2.6010340884691307e-05,0.0013828791082421128,33,0.8282275943823058,2,0.004,0.0021157034005931143
2810,cup,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2811,-10.588266372680664,2.521008682550165e-05,0.0013403323909712652,34,0.8295679267732771,2,0.004,0.0020507435399173776
19189,masking,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,19190,-10.900766372680664,1.844409352863884e-05,0.0009806081252179985,44,0.8403818818753734,2,0.004,0.0015011822567369915
2394,carbon,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2395,-11.057016372680664,1.57760692161423e-05,0.000838758577824907,51,0.8464979420951472,2,0.004,0.0012843081201339697
126,three,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,127,-11.213266372680664,1.349398708730579e-05,0.0007174282302815533,60,0.8534037475617853,2,0.004,0.001098731072924643
27770,kn,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,27771,-11.369516372680664,1.1542018801873704e-05,0.0006136488844497601,77,0.8643917668014001,2,0.004,0.0009399438806628558
2897,random,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2898,-11.838266372680664,7.222810804768105e-06,0.00038401165940035525,106,0.8777481442735348,2,0.004,0.0005884088185569387
12158,umbrella,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,12159,-13.400766372680664,1.5139833919173797e-06,8.049321660910339e-05,414,0.928912207881409,2,0.004,0.00012339457598623175
1366,cover,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1367,-9.338266372680664,8.799184900839124e-05,0.004678219721484547,10,0.7719758503278087,1,0.002,0.007121428745735101
539,x,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,540,-9.525766372680664,7.294780499048951e-05,0.0038783803703564923,13,0.7841273917855959,1,0.002,0.005911068856243797
814,medical,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,815,-9.650766372680664,6.437621195445209e-05,0.0034226586638845006,15,0.7914284308198368,1,0.002,0.005220125693558398
15,on,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,16,-9.775766372680664,5.681180764993338e-05,0.003020485669482401,16,0.7944489164893193,1,0.002,0.004609572179374208
4,in,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5,-9.869516372680664,5.1727739513993825e-05,0.002750183498463635,18,0.8001266550829048,1,0.002,0.0041987952714718675
51,other,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,52,-9.869516372680664,5.1727739513993825e-05,0.002750183498463635,19,0.8028768385813685,1,0.002,0.0041987952714718675
207,hand,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,208,-9.963266372680664,4.709864279825878e-05,0.0025040705710475315,20,0.805380909152416,1,0.002,0.0038244836446372113
274,best,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,275,-10.244516372680664,3.555192078406009e-05,0.0018901716332019051,25,0.816195479021345,1,0.002,0.0028895810177736276
20493,homemade,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,20494,-10.400766372680664,3.040916931944944e-05,0.001616749474268289,27,0.8194289779698816,1,0.002,0.0024726231566347748
488,non,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,489,-10.744516372680664,2.156332996720725e-05,0.0011464470476560571,37,0.8331963077029736,1,0.002,0.0017546144100994867
1832,un,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1833,-10.775766372680664,2.089989605019696e-05,0.0011111745801555357,38,0.8343074822831291,1,0.002,0.001700722411435288
1153,inside,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1154,-10.807016372680664,2.025687384895177e-05,0.0010769873323920435,39,0.8353844696155212,1,0.002,0.0016484829418512883
1158,car,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1159,-10.869516372680664,1.9029571905469983e-05,0.0010117359685337245,41,0.8374400574997193,1,0.002,0.00154876109428798
193,second,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,194,-10.900766372680664,1.844409352863884e-05,0.0009806081252179985,42,0.8384206656249373,1,0.002,0.0015011822567369915
