trigger,query,human_yes,human_total,human_rate,trigger_array_weight,query_array_weight,theoretical_ordering_probability,saved_authoritative_ordering_probability,saved_authoritative_set_p06,diagnostic_ordering_probability,diagnostic_set_p06
bandana,candy,0.0,4.0,0.0,0.0004615568427261223,1.8343229795794278e-05,0.03822301942860523,0.04,0.0,0.052,0.0
bandana,gloves,1.0,2.0,0.5,0.0004615568427261223,0.00010231032105679591,0.18144401310834993,0.168,0.0,0.204,0.0
bandana,handkerchief,8.0,13.0,0.6153846153846154,0.0004615568427261223,0.00026271317556103417,0.3627282214198661,0.358,0.0,0.38,0.0
bandana,napkins,2.0,12.0,0.1666666666666666,0.0004615568427261223,1.1296469327302571e-06,0.002441495392621399,0.004,0.0,0.002,0.0
bandana,wallet,2.0,5.0,0.4,0.0004615568427261223,8.093412546792363e-05,0.14918981183659807,0.154,0.0,0.156,0.002
candy,bandana,4.0,5.0,0.8,1.8343229795794278e-05,0.0004615568427261223,0.9617769805713947,0.96,0.0,0.948,0.0
candy,gloves,1.0,16.0,0.0625,1.8343229795794278e-05,0.00010231032105679591,0.8479677583778258,0.842,0.0,0.83,0.0
candy,handkerchief,4.0,6.0,0.6666666666666666,1.8343229795794278e-05,0.00026271317556103417,0.9347347029059673,0.938,0.0,0.926,0.0
candy,napkins,2.0,4.0,0.5,1.8343229795794278e-05,1.1296469327302571e-06,0.05801130200118361,0.074,0.0,0.06,0.0
candy,wallet,4.0,20.0,0.2,1.8343229795794278e-05,8.093412546792363e-05,0.815232489352,0.802,0.0,0.814,0.002
gloves,bandana,3.0,6.0,0.5,0.00010231032105679591,0.0004615568427261223,0.81855598689165,0.832,0.0,0.796,0.0
gloves,candy,1.0,5.0,0.2,0.00010231032105679591,1.8343229795794278e-05,0.15203224162217424,0.158,0.0,0.17,0.0
gloves,handkerchief,2.0,5.0,0.4,0.00010231032105679591,0.00026271317556103417,0.7197157936276302,0.722,0.0,0.674,0.0
gloves,napkins,2.0,4.0,0.5,0.00010231032105679591,1.1296469327302571e-06,0.0109207973927896,0.014,0.0,0.01,0.0
gloves,wallet,0.0,3.0,0.0,0.00010231032105679591,8.093412546792363e-05,0.4416730056646256,0.448,0.0,0.392,0.002
handkerchief,bandana,3.0,3.0,1.0,0.00026271317556103417,0.0004615568427261223,0.6372717785801338,0.642,0.0,0.62,0.0
handkerchief,candy,0.0,6.0,0.0,0.00026271317556103417,1.8343229795794278e-05,0.06526529709403264,0.062,0.0,0.074,0.0
handkerchief,gloves,2.0,5.0,0.4,0.00026271317556103417,0.00010231032105679591,0.2802842063723698,0.278,0.0,0.326,0.0
handkerchief,napkins,6.0,20.0,0.3,0.00026271317556103417,1.1296469327302571e-06,0.0042815147368920935,0.006,0.0,0.004,0.0
handkerchief,wallet,0.0,5.0,0.0,0.00026271317556103417,8.093412546792363e-05,0.23551509127407239,0.214,0.0,0.224,0.002
napkins,bandana,5.0,5.0,1.0,1.1296469327302571e-06,0.0004615568427261223,0.9975585046073786,0.996,0.0,0.998,0.0
napkins,candy,1.0,5.0,0.2,1.1296469327302571e-06,1.8343229795794278e-05,0.9419886979988163,0.926,0.0,0.94,0.0
napkins,gloves,1.0,5.0,0.2,1.1296469327302571e-06,0.00010231032105679591,0.9890792026072104,0.986,0.0,0.99,0.0
napkins,handkerchief,3.0,5.0,0.6,1.1296469327302571e-06,0.00026271317556103417,0.9957184852631079,0.994,0.0,0.996,0.0
napkins,wallet,0.0,4.0,0.0,1.1296469327302571e-06,8.093412546792363e-05,0.9862345234726103,0.988,0.0,0.982,0.002
wallet,bandana,4.0,5.0,0.8,8.093412546792363e-05,0.0004615568427261223,0.8508101881634018,0.846,0.0,0.844,0.0
wallet,candy,1.0,5.0,0.2,8.093412546792363e-05,1.8343229795794278e-05,0.184767510648,0.198,0.0,0.186,0.0
wallet,gloves,12.0,19.0,0.631578947368421,8.093412546792363e-05,0.00010231032105679591,0.5583269943353745,0.552,0.0,0.608,0.0
wallet,handkerchief,3.0,5.0,0.6,8.093412546792363e-05,0.00026271317556103417,0.7644849087259276,0.786,0.0,0.776,0.0
wallet,napkins,3.0,6.0,0.5,8.093412546792363e-05,1.1296469327302571e-06,0.013765476527389766,0.012,0.0,0.018,0.0
