boundary,prefix_length,count
0.6,1,339
0.6,2,112
0.6,3,37
0.6,4,9
0.6,5,1
0.6,6,1
0.6,7,1
0.7,3,16
0.7,4,26
0.7,5,51
0.7,6,49
0.7,7,41
0.7,8,51
0.7,9,40
0.7,10,50
0.7,11,35
0.7,12,34
0.7,13,25
0.7,14,20
0.7,15,14
0.7,16,10
0.7,17,12
0.7,18,7
0.7,19,4
0.7,20,4
0.7,21,3
0.7,22,2
0.7,23,2
0.7,24,1
0.7,25,1
0.7,26,2
0.8,36,3
0.8,37,1
0.8,38,2
0.8,39,4
0.8,40,3
0.8,41,6
0.8,42,8
0.8,43,7
0.8,44,10
0.8,45,13
0.8,46,11
0.8,47,15
0.8,48,22
0.8,49,20
0.8,50,16
0.8,51,15
0.8,52,16
0.8,53,27
0.8,54,16
0.8,55,17
0.8,56,20
0.8,57,20
0.8,58,20
0.8,59,24
0.8,60,19
0.8,61,18
0.8,62,11
0.8,63,16
0.8,64,15
0.8,65,13
0.8,66,12
0.8,67,10
0.8,68,12
0.8,69,10
0.8,70,5
0.8,71,7
0.8,72,5
0.8,73,2
0.8,74,4
0.8,75,5
0.8,76,5
0.8,77,4
0.8,78,2
0.8,79,1
0.8,80,1
0.8,81,2
0.8,82,1
0.8,83,1
0.8,85,1
0.8,88,1
0.8,93,1
0.9,379,1
0.9,380,1
0.9,381,3
0.9,383,1
0.9,384,2
0.9,385,2
0.9,387,2
0.9,388,1
0.9,390,1
0.9,391,1
0.9,392,1
0.9,393,4
0.9,394,3
0.9,396,1
0.9,397,5
0.9,398,1
0.9,399,3
0.9,400,2
0.9,401,4
0.9,402,4
0.9,403,5
0.9,404,5
0.9,405,7
0.9,406,11
0.9,407,6
0.9,408,8
0.9,409,2
0.9,410,8
0.9,411,8
0.9,412,13
0.9,413,12
0.9,414,8
0.9,415,6
0.9,416,7
0.9,417,15
0.9,418,10
0.9,419,5
0.9,420,10
0.9,421,6
0.9,422,3
0.9,423,6
0.9,424,9
0.9,425,12
0.9,426,13
0.9,427,12
0.9,428,7
0.9,429,5
0.9,430,7
0.9,431,5
0.9,432,8
0.9,433,7
0.9,434,8
0.9,435,12
0.9,436,6
0.9,437,11
0.9,438,11
0.9,439,9
0.9,440,7
0.9,441,6
0.9,442,6
0.9,443,8
0.9,444,10
0.9,445,6
0.9,446,4
0.9,447,7
0.9,448,9
0.9,449,1
0.9,450,4
0.9,451,8
0.9,452,1
0.9,453,6
0.9,454,5
0.9,455,6
0.9,456,4
0.9,457,6
0.9,458,3
0.9,459,4
0.9,460,2
0.9,462,2
0.9,463,4
0.9,464,5
0.9,465,1
0.9,466,2
0.9,467,3
0.9,468,1
0.9,469,2
0.9,470,4
0.9,471,3
0.9,473,1
0.9,474,1
0.9,475,2
0.9,477,1
0.9,478,1
0.9,482,1
0.9,485,2
0.9,486,2
0.9,488,1
0.9,498,1
0.9,505,1
0.95,1460,1
0.95,1473,1
0.95,1475,1
0.95,1478,1
0.95,1479,1
0.95,1481,1
0.95,1484,1
0.95,1485,1
0.95,1488,2
0.95,1489,1
0.95,1492,2
0.95,1493,4
0.95,1494,1
0.95,1495,2
0.95,1497,2
0.95,1499,3
0.95,1500,2
0.95,1501,5
0.95,1502,4
0.95,1503,2
0.95,1504,1
0.95,1506,2
0.95,1507,2
0.95,1508,5
0.95,1509,2
0.95,1510,2
0.95,1511,2
0.95,1512,5
0.95,1513,2
0.95,1514,1
0.95,1515,2
0.95,1516,3
0.95,1518,2
0.95,1519,2
0.95,1520,4
0.95,1521,3
0.95,1522,1
0.95,1523,4
0.95,1524,2
0.95,1525,5
0.95,1526,3
0.95,1528,1
0.95,1529,7
0.95,1530,7
0.95,1531,5
0.95,1532,3
0.95,1533,2
0.95,1534,4
0.95,1535,6
0.95,1536,4
0.95,1537,2
0.95,1538,4
0.95,1539,9
0.95,1540,8
0.95,1541,7
0.95,1542,9
0.95,1543,8
0.95,1544,5
0.95,1545,7
0.95,1546,5
0.95,1547,6
0.95,1548,8
0.95,1549,7
0.95,1550,4
0.95,1551,6
0.95,1552,8
0.95,1553,7
0.95,1554,5
0.95,1555,7
0.95,1556,10
0.95,1557,6
0.95,1558,5
0.95,1559,6
0.95,1560,10
0.95,1561,9
0.95,1562,10
0.95,1563,7
0.95,1564,4
0.95,1565,7
0.95,1566,2
0.95,1567,5
0.95,1568,4
0.95,1569,10
0.95,1570,5
0.95,1571,3
0.95,1572,5
0.95,1573,2
0.95,1574,8
0.95,1575,7
0.95,1576,5
0.95,1577,5
0.95,1578,6
0.95,1579,2
0.95,1580,9
0.95,1581,5
0.95,1582,5
0.95,1583,2
0.95,1585,4
0.95,1586,5
0.95,1587,2
0.95,1588,4
0.95,1589,3
0.95,1590,3
0.95,1591,4
0.95,1592,5
0.95,1594,5
0.95,1595,2
0.95,1596,3
0.95,1598,1
0.95,1599,4
0.95,1601,2
0.95,1602,4
0.95,1603,3
0.95,1604,4
0.95,1605,2
0.95,1606,1
0.95,1608,1
0.95,1609,2
0.95,1610,1
0.95,1613,1
0.95,1614,1
0.95,1616,2
0.95,1617,3
0.95,1618,1
0.95,1620,1
0.95,1622,1
0.95,1624,2
0.95,1630,1
0.95,1632,1
0.95,1634,2
0.95,1635,1
