vocab_index_zero_based,candidate,vocabulary_source,vocabulary_path,source_line_one_based,saved_log_score,unnormalized_continuation_probability,normalized_sampling_probability,rank_one_based,descending_cumulative_probability
5908,mask,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5909,-4.400766372680664,0.012267934489661783,0.6522432897840695,1,0.6522432897840695
11044,masks,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,11045,-7.275766372680664,0.0006921095035919608,0.03679704842686075,2,0.6890403382109302
82753,bandana,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,82754,-12.081671714782715,5.662349109819195e-06,0.0003010473535220344,134,0.8873058086332447
12192,handkerchief,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,12193,-12.645214080810547,3.2229480273537823e-06,0.00017135290589754876,220,0.9069631247575053
9948,gloves,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,9949,-13.588266372680664,1.2551363163410367e-06,6.673122038494893e-05,486,0.9341334299842291
19646,wallet,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,19647,-13.822641372680664,9.928945492185545e-07,5.2788740250995155e-05,594,0.9404895572635975
107555,handkerchief mask,2gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_2gram.txt,9047,-14.26223087310791,6.397228040369767e-07,3.401183032128099e-05,841,0.9505933131042921
98883,bandana in,2gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_2gram.txt,375,-14.573702812194824,4.6851261362955015e-07,2.4909181629278097e-05,1067,0.9571136136528864
98929,bandana with,2gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_2gram.txt,421,-14.823702812194824,3.648779903735242e-07,1.9399290158549638e-05,1294,0.9620625624232352
10717,candy,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,10718,-15.307016372680664,2.2503354146361631e-07,1.1964248547274026e-05,1862,0.9706752423624904
