ordering_zero_based,boundary,position_one_based,vocab_index_zero_based,candidate,normalized_sampling_probability,cumulative_mass
0,0.6,1,5908,mask,0.6522432897840695,0.6522432897840695
7,0.6,1,1125,blue,0.007713080363820402,0.007713080363820402
7,0.6,2,5908,mask,0.6522432897840695,0.65995637014789
16,0.6,1,2317,clean,0.002352356604648851,0.002352356604648851
16,0.6,2,36152,tablecloth,4.015488360052158e-05,0.0023925114882493723
16,0.6,3,5908,mask,0.6522432897840695,0.6546358012723189
90,0.6,1,11044,masks,0.03679704842686075,0.03679704842686075
90,0.6,2,12362,colorful,6.46781165742578e-05,0.036861726543435
90,0.6,3,380,face,0.02865757012955555,0.06551929667299056
90,0.6,4,5908,mask,0.6522432897840695,0.71776258645706
482,0.6,1,2,and,0.004979938971120553,0.004979938971120553
482,0.6,2,11044,masks,0.03679704842686075,0.0417769873979813
482,0.6,3,1366,cover,0.004678219721484547,0.04645520711946585
482,0.6,4,66,new,0.001426776403297038,0.04788198352276289
482,0.6,5,5908,mask,0.6522432897840695,0.7001252733068324
