variant,boundary,analysis_dataset_id,analysis_unit_id,cv_group_id,human_rate,dataset_family,dataset,set_probability,ordering_probability,conjunction_probability,disjunction_probability,analysis_label,cv_fold,item_id,trigger,query,human_yes,human_total
top_k,1.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,2.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,3.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,5.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,10.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,20.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,30.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,50.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,75.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.002,0.04,0.002,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_k,100.0,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.004,0.04,0.004,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_p,0.25,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_p,0.5,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_p,0.6,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_p,0.7,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_p,0.8,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.0,0.04,0.0,0.04,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
top_p,0.9,novel_focus,mask::bandana::candy,novel_focus::focus_alternative_study::mask,0.0,novel_focus,focus_alternative_study,0.034,0.04,0.02,0.054,Novel focus alternatives,9,mask::bandana::candy,bandana,candy,0.0,4.0
