candidate,boundary,diagnostic_count,diagnostic_n,diagnostic_inclusion_frequency,saved_authoritative_inclusion_probability
bandana,0.6,0,500,0.0,0.0
handkerchief,0.6,0,500,0.0,0.0
napkins,0.6,0,500,0.0,0.0
gloves,0.6,0,500,0.0,0.0
wallet,0.6,1,500,0.002,0.0
candy,0.6,0,500,0.0,0.0
bandana,0.7,2,500,0.004,0.004
handkerchief,0.7,3,500,0.006,0.006
napkins,0.7,0,500,0.0,0.0
gloves,0.7,1,500,0.002,0.002
wallet,0.7,2,500,0.004,0.002
candy,0.7,1,500,0.002,0.0
bandana,0.8,30,500,0.06,0.06
handkerchief,0.8,13,500,0.026,0.046
napkins,0.8,0,500,0.0,0.0
gloves,0.8,6,500,0.012,0.008
wallet,0.8,4,500,0.008,0.012
candy,0.8,2,500,0.004,0.0
bandana,0.9,293,500,0.586,0.628
handkerchief,0.9,216,500,0.432,0.412
napkins,0.9,0,500,0.0,0.004
gloves,0.9,100,500,0.2,0.19
wallet,0.9,74,500,0.148,0.138
candy,0.9,26,500,0.052,0.034
bandana,0.95,498,500,0.996,0.996
handkerchief,0.95,480,500,0.96,0.972
napkins,0.95,5,500,0.01,0.014
gloves,0.95,381,500,0.762,0.74
wallet,0.95,333,500,0.666,0.652
candy,0.95,120,500,0.24,0.238
