vocab_index_zero_based,candidate,vocabulary_source,vocabulary_path,source_line_one_based,saved_log_score,unnormalized_continuation_probability,normalized_sampling_probability,rank_one_based,descending_cumulative_probability
5908,mask,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5909,-4.400766372680664,0.012267934489661783,0.6522432897840695,1,0.6522432897840695
11044,masks,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,11045,-7.275766372680664,0.0006921095035919608,0.03679704842686075,2,0.6890403382109302
380,face,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,381,-7.525766372680664,0.0005390154233685803,0.02865757012955555,3,0.7176979083404857
4514,surgical,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4515,-8.400766372680664,0.00022469505802329268,0.01194625256328502,4,0.7296441609037707
16529,disposable,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,16530,-8.400766372680664,0.00022469505802329268,0.01194625256328502,5,0.7415904134670557
1125,blue,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1126,-8.838266372680664,0.0001450740331083686,0.007713080363820402,6,0.7493034938308761
1370,double,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1371,-8.838266372680664,0.0001450740331083686,0.007713080363820402,7,0.7570165741946966
2952,cloth,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2953,-9.213266372680664,9.970782758634829e-05,0.005301117440506933,8,0.7623176916352036
2,and,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,3,-9.275766372680664,9.366683569936941e-05,0.004979938971120553,9,0.7672976306063242
1366,cover,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1367,-9.338266372680664,8.799184900839124e-05,0.004678219721484547,10,0.7719758503278087
2411,cotton,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2412,-9.400766372680664,8.26606923795937e-05,0.004394780717074204,11,0.7763706310448829
