id,story,trigger,trigger_relevance,query,query_relevance,response,neg,set,scale,region,set_model,ordering_model,conjunction_model,disjunction_model,cleaned_trigger,cleaned_query
A2XS49LRNX8PD4,bag,chalk,2,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,chalk,pen
A2DBEOMKCBQSPJ,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A2QIX7DNN0DZY6,bag,a pen,0,makeup,3,-1,1,outside,below,C,0,0,0,0,pen,makeup
A195MOXRMNHRVT,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A27F8Z101YG8OB,bag,chalk,2,crayons,1,-1,1,inside,above,B,-1,-1,-1,-1,chalk,crayons
A2ML0070M8FDK1,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A2JWAD9JQNA5ON,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
AR8O1107OAW4V,bag,headphones,5,makeup,3,-1,1,outside,above,D,0,-1,0,-1,headphones,makeup
A17PAE30BGBO1T,bag,crayons,1,chalk,2,-1,1,inside,below,A,-1,0,0,-1,crayons,chalk
A1CPJ9Q4UQ0FZ3,bag,headphones,5,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,headphones,pen
A11F3MA5FWH6SJ,bag,headphones,5,chalk,2,-1,1,inside,above,B,-1,-1,-1,-1,headphones,chalk
A2T675UCHNTSSW,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
AERUGBNS48Z4N,bag,crayons,1,headphones,5,-1,1,outside,below,C,0,0,0,0,crayons,headphones
ANVAFB99K5RKP,bag,crayons,1,makeup,3,0,0,outside,below,C,0,0,0,0,crayons,makeup
ALDQRWYZ8KQ9A,bag,a pen,0,chalk,2,0,0,inside,below,A,-1,0,0,-1,pen,chalk
A1E3JQKS4PASBU,bag,crayons,1,a pen,0,-1,1,inside,above,B,-1,-1,-1,-1,crayons,pen
A18JMMVN3ZOV8R,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
AHG23QXFY30HE,bag,headphones,5,makeup,3,0,0,outside,above,D,0,-1,0,-1,headphones,makeup
A277V4SHQB8JRS,bag,a pen,0,crayons,1,-1,1,inside,below,A,-1,0,0,-1,pen,crayons
