set_boundary,context,trigger,query,reason
3,bag,cash,headphones,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,headphones,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,headphones,trigger_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,cash,crayons,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,makeup,trigger_not_in_context
3,bag,pen,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
