set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,makeup,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,chalk,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,headphones,makeup,1,-3.170085660698769,0.042,0.042
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,headphones,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,crayons,headphones,1,-5.115995809754082,0.006,0.006
3,500,bag,crayons,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,chalk,0,-0.04290750101127655,0.042,0.958
3,500,bag,crayons,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,headphones,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,headphones,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,makeup,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,headphones,1,-5.115995809754082,0.006,0.006
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,makeup,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,makeup,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,crayons,0,-0.3092462503676215,0.266,0.734
3,500,bag,pen,chalk,0,-0.04290750101127655,0.042,0.958
3,500,bag,chalk,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,crayons,chalk,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,chalk,makeup,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,chalk,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,headphones,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,makeup,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,crayons,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,makeup,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,headphones,chalk,0,-0.04290750101127655,0.042,0.958
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
3,500,bag,chalk,pen,1,-0.9996723408132061,0.368,0.368
3,500,bag,chalk,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,makeup,0,-0.04290750101127655,0.042,0.958
3,500,bag,pen,crayons,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,makeup,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,crayons,chalk,1,-3.170085660698769,0.042,0.042
