NextWordPredictionModelRaw,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood
frequency,set,bag,7029,33,-9.885264712902144
frequency,set,bakery,7029,33,-13.427957182490795
frequency,set,beach,7029,33,-10.347475744730591
frequency,set,cold,7029,33,-7.257921720824399
frequency,set,cut,7029,33,-7.739445815774296
frequency,set,fridge,7029,33,-8.88406984512888
frequency,set,gym,7029,33,-17.38539432747857
frequency,set,hot,7029,33,-5.066573716592096
frequency,set,mall,7029,33,-14.918156940524803
frequency,set,mask,7029,33,-8.648206922043364
frequency,set,meat,7029,33,-12.78165725725547
frequency,set,restaurant,7029,33,-12.323694863911795
frequency,set,salad,7029,33,-10.161643133400954
frequency,set,science,7029,33,-11.60369984864019
frequency,set,throw,7029,33,-10.630519064481177
frequency,set,transport,7029,33,-10.136459973102653
frequency,ordering,bag,7029,33,-1.4371566998053424
frequency,ordering,bakery,7029,33,-1.966718359149662
frequency,ordering,beach,7029,33,-1.095021038764087
frequency,ordering,cold,7029,33,-1.1597454411351875
frequency,ordering,cut,7029,33,-2.0679989001159305
frequency,ordering,fridge,7029,33,-1.1958146022150222
frequency,ordering,gym,7029,33,-1.3853046360410541
frequency,ordering,hot,7029,33,-0.7461201751913908
frequency,ordering,mall,7029,33,-1.8897514326608345
frequency,ordering,mask,7029,33,-1.128356928545964
frequency,ordering,meat,7029,33,-0.9675273053114792
frequency,ordering,restaurant,7029,33,-1.21146275495139
frequency,ordering,salad,7029,33,-0.902356488634636
frequency,ordering,science,7029,33,-1.4367457901102971
frequency,ordering,throw,7029,33,-1.7767214170765842
frequency,ordering,transport,7029,33,-1.9634821815916366
frequency,conjunction,bag,7029,33,-9.885264712902144
frequency,conjunction,bakery,7029,33,-13.427957182490795
frequency,conjunction,beach,7029,33,-10.347475744730591
frequency,conjunction,cold,7029,33,-7.257921720824399
frequency,conjunction,cut,7029,33,-7.739445815774296
frequency,conjunction,fridge,7029,33,-8.88406984512888
frequency,conjunction,gym,7029,33,-17.38539432747857
frequency,conjunction,hot,7029,33,-5.066573716592096
frequency,conjunction,mall,7029,33,-14.918156940524803
frequency,conjunction,mask,7029,33,-8.648206922043364
frequency,conjunction,meat,7029,33,-12.78165725725547
frequency,conjunction,restaurant,7029,33,-12.323694863911795
frequency,conjunction,salad,7029,33,-10.161643133400954
frequency,conjunction,science,7029,33,-11.60369984864019
frequency,conjunction,throw,7029,33,-10.630519064481177
frequency,conjunction,transport,7029,33,-10.136459973102653
frequency,disjunction,bag,7029,33,-1.4371566998053424
frequency,disjunction,bakery,7029,33,-1.9667183591496613
frequency,disjunction,beach,7029,33,-1.095021038764087
frequency,disjunction,cold,7029,33,-1.1597454411351875
frequency,disjunction,cut,7029,33,-2.0679989001159265
frequency,disjunction,fridge,7029,33,-1.1958146022150222
frequency,disjunction,gym,7029,33,-1.3853046360410541
frequency,disjunction,hot,7029,33,-0.7461201751913908
frequency,disjunction,mall,7029,33,-1.8897514326608345
frequency,disjunction,mask,7029,33,-1.128356928545964
frequency,disjunction,meat,7029,33,-0.9675273053114792
frequency,disjunction,restaurant,7029,33,-1.21146275495139
frequency,disjunction,salad,7029,33,-0.902356488634636
frequency,disjunction,science,7029,33,-1.4367457901102971
frequency,disjunction,throw,7029,33,-1.7767214170765842
frequency,disjunction,transport,7029,33,-1.9634821815916366
