NextWordPredictionModelRaw,AlternativeStructure,context,trigger,query,model_negation_probability,observed_rows,observed_boundaries,human_negation_probability,human_trial_count
frequency,set,bag,cash,chalk,0.0,165,33,1.0,5
frequency,set,bag,cash,crayons,0.0,66,33,1.0,2
frequency,set,bag,cash,headphones,0.0,99,33,0.0,3
frequency,set,bag,cash,makeup,0.0,627,33,0.10526315789473684,19
frequency,set,bag,cash,pen,0.0016969696969696972,165,33,1.0,5
frequency,set,bag,chalk,cash,0.0008484848484848485,198,33,0.0,6
frequency,set,bag,chalk,crayons,0.0,198,33,1.0,6
frequency,set,bag,chalk,headphones,0.0,165,33,0.2,5
frequency,set,bag,chalk,makeup,0.0,165,33,0.2,5
frequency,set,bag,chalk,pen,0.0016969696969696972,165,33,1.0,5
frequency,set,bag,crayons,cash,0.0008484848484848486,165,33,0.0,5
frequency,set,bag,crayons,chalk,0.0,594,33,0.8888888888888888,18
frequency,set,bag,crayons,headphones,0.0,132,33,0.25,4
frequency,set,bag,crayons,makeup,0.0,165,33,0.0,5
frequency,set,bag,crayons,pen,0.001696969696969697,132,33,1.0,4
frequency,set,bag,headphones,cash,0.0008484848484848485,462,33,0.14285714285714285,14
frequency,set,bag,headphones,chalk,0.0,165,33,0.4,5
frequency,set,bag,headphones,crayons,0.0,99,33,1.0,3
frequency,set,bag,headphones,makeup,0.0,627,33,0.21052631578947367,19
frequency,set,bag,headphones,pen,0.0016969696969696972,165,33,1.0,5
frequency,set,bag,makeup,cash,0.0008484848484848486,165,33,0.2,5
frequency,set,bag,makeup,chalk,0.0,66,33,1.0,2
frequency,set,bag,makeup,crayons,0.0,66,33,1.0,2
frequency,set,bag,makeup,headphones,0.0,132,33,0.0,4
frequency,set,bag,makeup,pen,0.001696969696969697,99,33,1.0,3
frequency,set,bag,pen,cash,0.0008484848484848486,165,33,0.0,5
frequency,set,bag,pen,chalk,0.0,693,33,0.8571428571428571,21
frequency,set,bag,pen,crayons,0.0,561,33,0.8823529411764706,17
frequency,set,bag,pen,headphones,0.0,165,33,0.0,5
frequency,set,bag,pen,makeup,0.0,198,33,0.16666666666666666,6
frequency,set,bakery,cakes,ice cream,0.0,627,33,0.8421052631578947,19
frequency,set,bakery,cakes,muffins,0.0,594,33,0.8888888888888888,18
frequency,set,bakery,cakes,pretzels,0.0,198,33,0.5,6
frequency,set,bakery,cakes,sandwiches,0.0,165,33,0.4,5
frequency,set,bakery,cakes,water,0.011939393939393939,165,33,0.0,5
frequency,set,bakery,ice cream,cakes,0.0,165,33,1.0,5
frequency,set,bakery,ice cream,muffins,0.0,561,33,0.5882352941176471,17
frequency,set,bakery,ice cream,pretzels,0.0,66,33,0.5,2
frequency,set,bakery,ice cream,sandwiches,0.0,132,33,0.25,4
frequency,set,bakery,ice cream,water,0.011939393939393939,198,33,0.16666666666666666,6
frequency,set,bakery,muffins,cakes,0.0,165,33,1.0,5
frequency,set,bakery,muffins,ice cream,0.0,66,33,1.0,2
frequency,set,bakery,muffins,pretzels,0.0,165,33,0.4,5
frequency,set,bakery,muffins,sandwiches,0.0,66,33,0.0,2
frequency,set,bakery,muffins,water,0.011939393939393939,165,33,0.0,5
frequency,set,bakery,pretzels,cakes,0.0,165,33,1.0,5
frequency,set,bakery,pretzels,ice cream,0.0,165,33,1.0,5
frequency,set,bakery,pretzels,muffins,0.0,99,33,1.0,3
frequency,set,bakery,pretzels,sandwiches,0.0,165,33,0.4,5
frequency,set,bakery,pretzels,water,0.01193939393939394,132,33,0.0,4
frequency,set,bakery,sandwiches,cakes,0.0,99,33,1.0,3
frequency,set,bakery,sandwiches,ice cream,0.0,165,33,1.0,5
frequency,set,bakery,sandwiches,muffins,0.0,99,33,0.6666666666666666,3
frequency,set,bakery,sandwiches,pretzels,0.0,660,33,0.55,20
frequency,set,bakery,sandwiches,water,0.011939393939393939,165,33,0.0,5
frequency,set,bakery,water,cakes,0.0,99,33,0.6666666666666666,3
frequency,set,bakery,water,ice cream,0.0,198,33,0.6666666666666666,6
frequency,set,bakery,water,muffins,0.0,198,33,0.5,6
frequency,set,bakery,water,pretzels,0.0,429,33,0.5384615384615384,13
frequency,set,bakery,water,sandwiches,0.0,693,33,0.42857142857142855,21
frequency,set,beach,bikini,coat,0.0009696969696969697,99,33,0.3333333333333333,3
frequency,set,beach,bikini,jacket,0.002,132,33,0.25,4
frequency,set,beach,bikini,jeans,0.0,198,33,0.5,6
frequency,set,beach,bikini,shorts,0.0,660,33,0.7,20
frequency,set,beach,bikini,sunglasses,0.0,594,33,0.16666666666666666,18
frequency,set,beach,coat,bikini,0.0,198,33,1.0,6
frequency,set,beach,coat,jacket,0.002,363,33,0.5454545454545454,11
frequency,set,beach,coat,jeans,0.0,528,33,0.5,16
frequency,set,beach,coat,shorts,0.0,165,33,1.0,5
frequency,set,beach,coat,sunglasses,0.0,99,33,0.0,3
frequency,set,beach,jacket,bikini,0.0,66,33,1.0,2
frequency,set,beach,jacket,coat,0.0009696969696969697,99,33,1.0,3
frequency,set,beach,jacket,jeans,0.0,660,33,0.45,20
frequency,set,beach,jacket,shorts,0.0,165,33,0.6,5
frequency,set,beach,jacket,sunglasses,0.0,132,33,0.5,4
frequency,set,beach,jeans,bikini,0.0,165,33,1.0,5
frequency,set,beach,jeans,coat,0.0009696969696969697,165,33,0.6,5
frequency,set,beach,jeans,jacket,0.002,198,33,0.0,6
frequency,set,beach,jeans,shorts,0.0,165,33,1.0,5
frequency,set,beach,jeans,sunglasses,0.0,132,33,0.25,4
frequency,set,beach,shorts,bikini,0.0,132,33,0.75,4
frequency,set,beach,shorts,coat,0.0009696969696969697,132,33,0.75,4
frequency,set,beach,shorts,jacket,0.002,132,33,0.25,4
frequency,set,beach,shorts,jeans,0.0,165,33,0.6,5
frequency,set,beach,shorts,sunglasses,0.0,660,33,0.15,20
frequency,set,beach,sunglasses,bikini,0.0,165,33,1.0,5
frequency,set,beach,sunglasses,coat,0.0009696969696969697,165,33,0.0,5
frequency,set,beach,sunglasses,jacket,0.002,165,33,0.8,5
frequency,set,beach,sunglasses,jeans,0.0,198,33,0.5,6
frequency,set,beach,sunglasses,shorts,0.0,132,33,0.5,4
frequency,set,cold,blankets,fridge,0.0,132,33,0.0,4
frequency,set,cold,blankets,heater,0.0,66,33,1.0,2
frequency,set,cold,blankets,microwave,0.0014545454545454545,165,33,0.0,5
frequency,set,cold,blankets,sink,0.00042424242424242425,132,33,0.0,4
frequency,set,cold,blankets,tea,0.0,660,33,0.2,20
frequency,set,cold,fridge,blankets,0.0,99,33,0.3333333333333333,3
frequency,set,cold,fridge,heater,0.0,165,33,0.8,5
frequency,set,cold,fridge,microwave,0.0014545454545454545,429,33,0.6923076923076923,13
frequency,set,cold,fridge,sink,0.0004242424242424242,693,33,0.23809523809523808,21
frequency,set,cold,fridge,tea,0.0,198,33,0.5,6
frequency,set,cold,heater,blankets,0.0,594,33,0.8333333333333334,18
frequency,set,cold,heater,fridge,0.0,132,33,0.0,4
frequency,set,cold,heater,microwave,0.0014545454545454545,165,33,0.2,5
frequency,set,cold,heater,sink,0.0004242424242424243,165,33,0.0,5
frequency,set,cold,heater,tea,0.0,528,33,0.125,16
frequency,set,cold,microwave,blankets,0.0,165,33,0.6,5
frequency,set,cold,microwave,fridge,0.0,132,33,0.5,4
frequency,set,cold,microwave,heater,0.0,165,33,1.0,5
frequency,set,cold,microwave,sink,0.00042424242424242425,132,33,0.0,4
frequency,set,cold,microwave,tea,0.0,165,33,0.2,5
frequency,set,cold,sink,blankets,0.0,99,33,0.3333333333333333,3
frequency,set,cold,sink,fridge,0.0,132,33,0.25,4
frequency,set,cold,sink,heater,0.0,132,33,1.0,4
frequency,set,cold,sink,microwave,0.0014545454545454547,561,33,0.5294117647058824,17
frequency,set,cold,sink,tea,0.0,165,33,0.0,5
frequency,set,cold,tea,blankets,0.0,165,33,0.6,5
frequency,set,cold,tea,fridge,0.0,198,33,0.0,6
frequency,set,cold,tea,heater,0.0,198,33,0.5,6
frequency,set,cold,tea,microwave,0.0014545454545454545,165,33,0.0,5
frequency,set,cold,tea,sink,0.00042424242424242425,132,33,0.0,4
frequency,set,cut,batteries,keys,0.001696969696969697,198,33,0.16666666666666666,6
frequency,set,cut,batteries,nail clippers,0.0,165,33,0.8,5
frequency,set,cut,batteries,scissors,0.0,165,33,0.8,5
frequency,set,cut,batteries,stapler,0.0,594,33,0.4444444444444444,18
frequency,set,cut,batteries,thumb tacks,0.0,693,33,0.38095238095238093,21
frequency,set,cut,keys,batteries,0.0034545454545454545,132,33,0.25,4
frequency,set,cut,keys,nail clippers,0.0,165,33,0.8,5
frequency,set,cut,keys,scissors,0.0,165,33,1.0,5
frequency,set,cut,keys,stapler,0.0,165,33,0.2,5
frequency,set,cut,keys,thumb tacks,0.0,165,33,0.2,5
frequency,set,cut,nail clippers,batteries,0.003454545454545455,165,33,0.0,5
frequency,set,cut,nail clippers,keys,0.001696969696969697,528,33,0.3125,16
frequency,set,cut,nail clippers,scissors,0.0,132,33,1.0,4
frequency,set,cut,nail clippers,stapler,0.0,66,33,0.5,2
frequency,set,cut,nail clippers,thumb tacks,0.0,99,33,0.6666666666666666,3
frequency,set,cut,scissors,batteries,0.0034545454545454545,132,33,0.0,4
frequency,set,cut,scissors,keys,0.0016969696969696972,660,33,0.15,20
frequency,set,cut,scissors,nail clippers,0.0,363,33,0.6363636363636364,11
frequency,set,cut,scissors,stapler,0.0,198,33,0.16666666666666666,6
frequency,set,cut,scissors,thumb tacks,0.0,132,33,0.0,4
frequency,set,cut,stapler,batteries,0.003454545454545455,165,33,0.0,5
frequency,set,cut,stapler,keys,0.0016969696969696972,165,33,0.2,5
frequency,set,cut,stapler,nail clippers,0.0,198,33,0.6666666666666666,6
frequency,set,cut,stapler,scissors,0.0,132,33,1.0,4
frequency,set,cut,stapler,thumb tacks,0.0,561,33,0.11764705882352941,17
frequency,set,cut,thumb tacks,batteries,0.0034545454545454545,132,33,0.0,4
frequency,set,cut,thumb tacks,keys,0.001696969696969697,99,33,0.3333333333333333,3
frequency,set,cut,thumb tacks,nail clippers,0.0,165,33,0.6,5
frequency,set,cut,thumb tacks,scissors,0.0,165,33,0.8,5
frequency,set,cut,thumb tacks,stapler,0.0,165,33,0.0,5
frequency,set,fridge,juice,ketchup,0.0,198,33,0.3333333333333333,6
frequency,set,fridge,juice,meat,0.0,99,33,0.0,3
frequency,set,fridge,juice,milk,0.002181818181818182,495,33,1.0,15
frequency,set,fridge,juice,water,0.011939393939393939,198,33,1.0,6
frequency,set,fridge,juice,yogurt,0.0,165,33,0.0,5
frequency,set,fridge,ketchup,juice,0.00024242424242424242,165,33,1.0,5
frequency,set,fridge,ketchup,meat,0.0,132,33,0.0,4
frequency,set,fridge,ketchup,milk,0.002181818181818182,165,33,1.0,5
frequency,set,fridge,ketchup,water,0.01193939393939394,66,33,1.0,2
frequency,set,fridge,ketchup,yogurt,0.0,594,33,0.2222222222222222,18
frequency,set,fridge,meat,juice,0.00024242424242424242,165,33,1.0,5
frequency,set,fridge,meat,ketchup,0.0,594,33,0.16666666666666666,18
frequency,set,fridge,meat,milk,0.002181818181818182,99,33,0.6666666666666666,3
frequency,set,fridge,meat,water,0.01193939393939394,66,33,1.0,2
frequency,set,fridge,meat,yogurt,0.0,528,33,0.625,16
frequency,set,fridge,milk,juice,0.00024242424242424242,165,33,1.0,5
frequency,set,fridge,milk,ketchup,0.0,165,33,0.0,5
frequency,set,fridge,milk,meat,0.0,198,33,0.0,6
frequency,set,fridge,milk,water,0.011939393939393939,198,33,0.8333333333333334,6
frequency,set,fridge,milk,yogurt,0.0,165,33,0.2,5
frequency,set,fridge,water,juice,0.00024242424242424242,726,33,1.0,22
frequency,set,fridge,water,ketchup,0.0,132,33,0.0,4
frequency,set,fridge,water,meat,0.0,99,33,0.0,3
frequency,set,fridge,water,milk,0.002181818181818182,594,33,0.9444444444444444,18
frequency,set,fridge,water,yogurt,0.0,165,33,0.0,5
frequency,set,fridge,yogurt,juice,0.00024242424242424242,165,33,1.0,5
frequency,set,fridge,yogurt,ketchup,0.0,165,33,0.2,5
frequency,set,fridge,yogurt,meat,0.0,165,33,0.4,5
frequency,set,fridge,yogurt,milk,0.002181818181818182,132,33,0.75,4
frequency,set,fridge,yogurt,water,0.01193939393939394,66,33,1.0,2
frequency,set,gym,basketball,lacrosse,0.0,495,33,0.9333333333333333,15
frequency,set,gym,basketball,meditation,0.0,66,33,0.0,2
frequency,set,gym,basketball,softball,0.0,660,33,0.9,20
frequency,set,gym,basketball,swimming,0.0003636363636363636,165,33,0.4,5
frequency,set,gym,basketball,weightlifting,0.0,165,33,0.8,5
frequency,set,gym,lacrosse,basketball,0.0,132,33,1.0,4
frequency,set,gym,lacrosse,meditation,0.0,66,33,0.0,2
frequency,set,gym,lacrosse,softball,0.0,99,33,1.0,3
frequency,set,gym,lacrosse,swimming,0.00036363636363636367,99,33,0.3333333333333333,3
frequency,set,gym,lacrosse,weightlifting,0.0,99,33,0.6666666666666666,3
frequency,set,gym,meditation,basketball,0.0,132,33,0.75,4
frequency,set,gym,meditation,lacrosse,0.0,132,33,1.0,4
frequency,set,gym,meditation,softball,0.0,132,33,1.0,4
frequency,set,gym,meditation,swimming,0.00036363636363636367,627,33,0.7894736842105263,19
