NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
frequency,Frequency,set,bag,7029,33,-9.885264712902144,-0.002002002670673,10.960482072919483,-23.025850929940457,0.0
frequency,Frequency,set,bakery,7029,33,-13.427957182490795,-23.025850929940457,11.334372365135847,-23.025850929940457,0.0
frequency,Frequency,set,beach,7029,33,-10.347475744730591,-5.521460917862246,11.122258452003027,-23.025850929940457,0.0
frequency,Frequency,set,cold,7029,33,-7.257921720824399,0.0,10.351525154544477,-23.025850929940457,0.0
frequency,Frequency,set,cut,7029,33,-7.739445815774296,-0.002002002670673,10.647720218673477,-23.025850929940457,0.0
frequency,Frequency,set,fridge,7029,33,-8.88406984512888,-5.521460917862246,10.030078733329399,-23.025850929940457,0.0
frequency,Frequency,set,gym,7029,33,-17.38539432747857,-23.025850929940457,9.72607105974314,-23.025850929940457,0.0
frequency,Frequency,set,hot,7029,33,-5.066573716592096,0.0,9.357004381110658,-23.025850929940457,0.0
frequency,Frequency,set,mall,7029,33,-14.918156940524803,-23.025850929940457,10.998593608083581,-23.025850929940457,0.0
frequency,Frequency,set,mask,7029,33,-8.648206922043364,0.0,11.151615696397648,-23.025850929940457,0.0
frequency,Frequency,set,meat,7029,33,-12.78165725725547,-23.025850929940457,11.361929896682799,-23.025850929940457,0.0
frequency,Frequency,set,restaurant,7029,33,-12.323694863911795,-23.025850929940457,11.485158776519567,-23.025850929940457,0.0
frequency,Frequency,set,salad,7029,33,-10.161643133400954,0.0,11.43416323656262,-23.025850929940457,0.0
frequency,Frequency,set,science,7029,33,-11.60369984864019,-6.214608098422191,10.07644374803232,-23.025850929940457,0.0
frequency,Frequency,set,throw,7029,33,-10.630519064481177,-0.002002002670673,11.460321550118433,-23.025850929940457,0.0
frequency,Frequency,set,transport,7029,33,-10.136459973102653,-0.002002002670673,11.280912566807388,-23.025850929940457,0.0
frequency,Frequency,ordering,bag,7029,33,-1.4371566998053424,-1.2498064739854993,1.4111604858048776,-4.627108510383873,-0.0098311737144025
frequency,Frequency,ordering,bakery,7029,33,-1.966718359149662,-0.7493966411205938,2.2572354844044455,-7.624702367671919,-0.0004883597662892
frequency,Frequency,ordering,beach,7029,33,-1.095021038764087,-1.032829857728757,0.9781469948236362,-3.771601113809772,-0.0232841683521639
