NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
qwen,Qwen,set,bag,21087,99,-0.6408414381462124,-0.0576291128366364,2.1199818458811674,-23.025850929940457,0.0
qwen,Qwen,set,bakery,21087,99,-1.187202972574019,-0.2357223335210698,2.349062182560101,-23.025850929940457,0.0
qwen,Qwen,set,beach,21087,99,-1.741457021862601,-0.53785429615391,4.212777607790999,-23.025850929940457,0.0
qwen,Qwen,set,cold,21087,99,-3.988926673696939,-0.0222456089473197,8.133016871832044,-23.025850929940457,0.0
qwen,Qwen,set,cut,21087,99,-1.6724550558165263,-0.2357223335210698,4.814226871947799,-23.025850929940457,0.0
qwen,Qwen,set,fridge,21087,99,-0.8409595188564052,-0.0387408283164305,2.691226854335253,-23.025850929940457,0.0
qwen,Qwen,set,gym,21087,99,-1.3301115498215692,-0.4155154439616658,3.3773564759994463,-23.025850929940457,0.0
qwen,Qwen,set,hot,21087,99,-2.2308937783090483,-0.0449973659307358,5.657711215712931,-23.025850929940457,0.0
qwen,Qwen,set,mall,21087,99,-4.863681360255358,-0.5008752929128226,8.45107446879833,-23.025850929940457,0.0
qwen,Qwen,set,mask,21087,99,-2.5855141469266165,-0.0877389143080067,6.075682848626077,-23.025850929940457,0.0
qwen,Qwen,set,meat,21087,99,-1.3016396286038114,-0.8675005677047231,1.79469593611702,-23.025850929940457,0.0
qwen,Qwen,set,restaurant,21087,99,-1.7758048615629796,-0.7635696448564913,3.284523080394402,-23.025850929940457,0.0
qwen,Qwen,set,salad,21087,99,-1.4567499930382892,-0.059750004405774,3.0655945780341147,-23.025850929940457,0.0
qwen,Qwen,set,science,21087,99,-1.7370307312314142,-0.794073099149906,3.3571723217756917,-23.025850929940457,0.0
qwen,Qwen,set,throw,21087,99,-1.5444084531872648,-0.0161293819298836,3.587325646828703,-23.025850929940457,0.0
qwen,Qwen,set,transport,21087,99,-2.1179971365108803,-0.0263439753396019,5.509326774186762,-23.025850929940457,0.0
qwen,Qwen,ordering,bag,21087,99,-1.1213675158451861,-0.3369276627313132,1.2873193560848477,-5.574747290450772,-0.0006464121700566
qwen,Qwen,ordering,bakery,21087,99,-1.0263835667859391,-0.4642250614821017,1.223694721941235,-5.006715348489118,-0.0067153484891179
qwen,Qwen,ordering,beach,21087,99,-0.9341573186956961,-0.4740769841801066,1.1629753566831893,-5.224149489001343,-0.0053994890013431
qwen,Qwen,ordering,cold,21087,99,-1.77401667439513,-0.3951240379623654,2.567407786388869,-8.734535467015322,-0.0001609438524794
qwen,Qwen,ordering,cut,21087,99,-1.2693725921809917,-0.1231682131906096,2.069646259492856,-10.993829366250214,-1.6805220703681584e-05
