NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,trigger,query,model_negation_probability,observed_rows,observed_boundaries,human_negation_probability,human_trial_count
cloze,Cloze Probability,set,bag,chalk,crayons,0.73425,48,8,1.0,6
cloze,Cloze Probability,set,bag,chalk,headphones,0.05375,40,8,0.2,5
cloze,Cloze Probability,set,bag,chalk,makeup,0.24975,40,8,0.2,5
cloze,Cloze Probability,set,bag,chalk,pen,0.8445,40,8,1.0,5
cloze,Cloze Probability,set,bag,crayons,chalk,0.27325,144,8,0.8888888888888888,18
cloze,Cloze Probability,set,bag,crayons,headphones,0.05375,32,8,0.25,4
cloze,Cloze Probability,set,bag,crayons,makeup,0.24975,40,8,0.0,5
cloze,Cloze Probability,set,bag,crayons,pen,0.8445,32,8,1.0,4
cloze,Cloze Probability,set,bag,headphones,chalk,0.27325,40,8,0.4,5
cloze,Cloze Probability,set,bag,headphones,crayons,0.73425,24,8,1.0,3
cloze,Cloze Probability,set,bag,headphones,makeup,0.24974999999999997,152,8,0.21052631578947367,19
cloze,Cloze Probability,set,bag,headphones,pen,0.8445,40,8,1.0,5
cloze,Cloze Probability,set,bag,makeup,chalk,0.27325,16,8,1.0,2
cloze,Cloze Probability,set,bag,makeup,crayons,0.73425,16,8,1.0,2
cloze,Cloze Probability,set,bag,makeup,headphones,0.05375,32,8,0.0,4
cloze,Cloze Probability,set,bag,makeup,pen,0.8445,24,8,1.0,3
cloze,Cloze Probability,set,bag,pen,chalk,0.27325,168,8,0.8571428571428571,21
cloze,Cloze Probability,set,bag,pen,crayons,0.7342500000000001,136,8,0.8823529411764706,17
cloze,Cloze Probability,set,bag,pen,headphones,0.05375,40,8,0.0,5
cloze,Cloze Probability,set,bag,pen,makeup,0.24975,48,8,0.16666666666666666,6
cloze,Cloze Probability,set,bakery,cakes,ice cream,0.3705,152,8,0.8421052631578947,19
cloze,Cloze Probability,set,bakery,cakes,muffins,0.4155,144,8,0.8888888888888888,18
cloze,Cloze Probability,set,bakery,cakes,pretzels,0.09225,48,8,0.5,6
cloze,Cloze Probability,set,bakery,cakes,sandwiches,0.08875,40,8,0.4,5
cloze,Cloze Probability,set,bakery,cakes,water,0.04,40,8,0.0,5
cloze,Cloze Probability,set,bakery,ice cream,cakes,0.7787499999999999,40,8,1.0,5
cloze,Cloze Probability,set,bakery,ice cream,muffins,0.41550000000000004,136,8,0.5882352941176471,17
cloze,Cloze Probability,set,bakery,ice cream,pretzels,0.09225,16,8,0.5,2
cloze,Cloze Probability,set,bakery,ice cream,sandwiches,0.08875,32,8,0.25,4
cloze,Cloze Probability,set,bakery,ice cream,water,0.04,48,8,0.16666666666666666,6
cloze,Cloze Probability,set,bakery,muffins,cakes,0.7787499999999999,40,8,1.0,5
cloze,Cloze Probability,set,bakery,muffins,ice cream,0.3705,16,8,1.0,2
