NextWordPredictionModelRaw,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood
qwen,set,bag,21087,99,-0.6408414381462124
qwen,set,bakery,21087,99,-1.187202972574019
qwen,set,beach,21087,99,-1.741457021862601
qwen,set,cold,21087,99,-3.988926673696939
qwen,set,cut,21087,99,-1.6724550558165263
qwen,set,fridge,21087,99,-0.8409595188564052
qwen,set,gym,21087,99,-1.3301115498215692
qwen,set,hot,21087,99,-2.2308937783090483
qwen,set,mall,21087,99,-4.863681360255358
qwen,set,mask,21087,99,-2.5855141469266165
qwen,set,meat,21087,99,-1.3016396286038114
qwen,set,restaurant,21087,99,-1.7758048615629796
qwen,set,salad,21087,99,-1.4567499930382892
qwen,set,science,21087,99,-1.7370307312314142
qwen,set,throw,21087,99,-1.5444084531872648
qwen,set,transport,21087,99,-2.1179971365108803
qwen,ordering,bag,21087,99,-1.1213675158451861
qwen,ordering,bakery,21087,99,-1.0263835667859391
qwen,ordering,beach,21087,99,-0.9341573186956961
qwen,ordering,cold,21087,99,-1.77401667439513
qwen,ordering,cut,21087,99,-1.2693725921809917
qwen,ordering,fridge,21087,99,-1.1163016964305188
qwen,ordering,gym,21087,99,-1.6937152839197487
qwen,ordering,hot,21087,99,-1.4318519789411952
qwen,ordering,mall,21087,99,-2.1238415528757684
qwen,ordering,mask,21087,99,-1.2129342321552898
qwen,ordering,meat,21087,99,-1.552676077269399
qwen,ordering,restaurant,21087,99,-0.6355611600186748
qwen,ordering,salad,21087,99,-1.3766837430070578
qwen,ordering,science,21087,99,-1.490772949738284
qwen,ordering,throw,21087,99,-1.4998209736211026
qwen,ordering,transport,21087,99,-1.9330402357914707
qwen,conjunction,bag,21087,99,-0.9383792549192697
qwen,conjunction,bakery,21087,99,-1.3727801716273207
qwen,conjunction,beach,21087,99,-0.9213495758653539
qwen,conjunction,cold,21087,99,-4.117471346070357
qwen,conjunction,cut,21087,99,-1.8712638112763353
qwen,conjunction,fridge,21087,99,-1.2693491898116953
qwen,conjunction,gym,21087,99,-2.073810395230309
qwen,conjunction,hot,21087,99,-1.8827371981896728
qwen,conjunction,mall,21087,99,-4.826711052625558
qwen,conjunction,mask,21087,99,-2.5964014713848087
qwen,conjunction,meat,21087,99,-1.7111487517970745
qwen,conjunction,restaurant,21087,99,-1.7879148150960806
qwen,conjunction,salad,21087,99,-2.474657715925676
qwen,conjunction,science,21087,99,-2.2642847075835513
qwen,conjunction,throw,21087,99,-3.0830778450353002
qwen,conjunction,transport,21087,99,-3.0546421252943285
qwen,disjunction,bag,21087,99,-0.866601179871683
qwen,disjunction,bakery,21087,99,-0.8698455527946755
qwen,disjunction,beach,21087,99,-2.275541787254533
qwen,disjunction,cold,21087,99,-1.754112941318713
qwen,disjunction,cut,21087,99,-1.2446267204469539
qwen,disjunction,fridge,21087,99,-0.6251915522146182
qwen,disjunction,gym,21087,99,-1.0251782726246395
qwen,disjunction,hot,21087,99,-2.038872346222089
qwen,disjunction,mall,21087,99,-2.190034792581053
qwen,disjunction,mask,21087,99,-1.2144202897394096
qwen,disjunction,meat,21087,99,-1.1382197952319286
qwen,disjunction,restaurant,21087,99,-0.6492076096018333
qwen,disjunction,salad,21087,99,-1.0783638475858581
qwen,disjunction,science,21087,99,-1.2245732157022393
qwen,disjunction,throw,21087,99,-0.9364879873806503
qwen,disjunction,transport,21087,99,-2.0319667815044493
