NextWordPredictionModelRaw,AlternativeStructure,context,trigger,query,model_negation_probability,observed_rows,observed_boundaries,human_negation_probability,human_trial_count
qwen,set,bag,cash,chalk,0.6662222222222222,495,99,1.0,5
qwen,set,bag,cash,crayons,0.817030303030303,198,99,1.0,2
qwen,set,bag,cash,headphones,0.014606060606060607,297,99,0.0,3
qwen,set,bag,cash,makeup,0.18105050505050505,1881,99,0.10526315789473684,19
qwen,set,bag,cash,pen,0.9502626262626263,495,99,1.0,5
qwen,set,bag,chalk,cash,0.02301010101010101,594,99,0.0,6
qwen,set,bag,chalk,crayons,0.817030303030303,594,99,1.0,6
qwen,set,bag,chalk,headphones,0.014606060606060605,495,99,0.2,5
qwen,set,bag,chalk,makeup,0.18105050505050507,495,99,0.2,5
qwen,set,bag,chalk,pen,0.9502626262626263,495,99,1.0,5
qwen,set,bag,crayons,cash,0.023010101010101012,495,99,0.0,5
qwen,set,bag,crayons,chalk,0.6662222222222223,1782,99,0.8888888888888888,18
qwen,set,bag,crayons,headphones,0.014606060606060605,396,99,0.25,4
qwen,set,bag,crayons,makeup,0.18105050505050507,495,99,0.0,5
qwen,set,bag,crayons,pen,0.9502626262626261,396,99,1.0,4
qwen,set,bag,headphones,cash,0.02301010101010101,1386,99,0.14285714285714285,14
qwen,set,bag,headphones,chalk,0.6662222222222222,495,99,0.4,5
qwen,set,bag,headphones,crayons,0.817030303030303,297,99,1.0,3
qwen,set,bag,headphones,makeup,0.18105050505050505,1881,99,0.21052631578947367,19
qwen,set,bag,headphones,pen,0.9502626262626263,495,99,1.0,5
qwen,set,bag,makeup,cash,0.023010101010101012,495,99,0.2,5
qwen,set,bag,makeup,chalk,0.6662222222222223,198,99,1.0,2
qwen,set,bag,makeup,crayons,0.817030303030303,198,99,1.0,2
qwen,set,bag,makeup,headphones,0.014606060606060605,396,99,0.0,4
qwen,set,bag,makeup,pen,0.9502626262626263,297,99,1.0,3
qwen,set,bag,pen,cash,0.023010101010101012,495,99,0.0,5
qwen,set,bag,pen,chalk,0.6662222222222223,2079,99,0.8571428571428571,21
qwen,set,bag,pen,crayons,0.817030303030303,1683,99,0.8823529411764706,17
qwen,set,bag,pen,headphones,0.014606060606060605,495,99,0.0,5
qwen,set,bag,pen,makeup,0.18105050505050505,594,99,0.16666666666666666,6
qwen,set,bakery,cakes,ice cream,0.8283636363636364,1881,99,0.8421052631578947,19
qwen,set,bakery,cakes,muffins,0.17541414141414144,1782,99,0.8888888888888888,18
qwen,set,bakery,cakes,pretzels,0.17672727272727273,594,99,0.5,6
qwen,set,bakery,cakes,sandwiches,0.03480808080808081,495,99,0.4,5
qwen,set,bakery,cakes,water,0.1055959595959596,495,99,0.0,5
qwen,set,bakery,ice cream,cakes,0.874969696969697,495,99,1.0,5
qwen,set,bakery,ice cream,muffins,0.1754141414141414,1683,99,0.5882352941176471,17
qwen,set,bakery,ice cream,pretzels,0.1767272727272727,198,99,0.5,2
qwen,set,bakery,ice cream,sandwiches,0.03480808080808081,396,99,0.25,4
qwen,set,bakery,ice cream,water,0.10559595959595959,594,99,0.16666666666666666,6
qwen,set,bakery,muffins,cakes,0.874969696969697,495,99,1.0,5
qwen,set,bakery,muffins,ice cream,0.8283636363636363,198,99,1.0,2
qwen,set,bakery,muffins,pretzels,0.17672727272727273,495,99,0.4,5
qwen,set,bakery,muffins,sandwiches,0.03480808080808081,198,99,0.0,2
qwen,set,bakery,muffins,water,0.1055959595959596,495,99,0.0,5
qwen,set,bakery,pretzels,cakes,0.874969696969697,495,99,1.0,5
qwen,set,bakery,pretzels,ice cream,0.8283636363636364,495,99,1.0,5
qwen,set,bakery,pretzels,muffins,0.1754141414141414,297,99,1.0,3
qwen,set,bakery,pretzels,sandwiches,0.03480808080808081,495,99,0.4,5
qwen,set,bakery,pretzels,water,0.1055959595959596,396,99,0.0,4
qwen,set,bakery,sandwiches,cakes,0.874969696969697,297,99,1.0,3
qwen,set,bakery,sandwiches,ice cream,0.8283636363636364,495,99,1.0,5
qwen,set,bakery,sandwiches,muffins,0.1754141414141414,297,99,0.6666666666666666,3
qwen,set,bakery,sandwiches,pretzels,0.17672727272727273,1980,99,0.55,20
qwen,set,bakery,sandwiches,water,0.1055959595959596,495,99,0.0,5
qwen,set,bakery,water,cakes,0.874969696969697,297,99,0.6666666666666666,3
qwen,set,bakery,water,ice cream,0.8283636363636364,594,99,0.6666666666666666,6
qwen,set,bakery,water,muffins,0.1754141414141414,594,99,0.5,6
qwen,set,bakery,water,pretzels,0.17672727272727273,1287,99,0.5384615384615384,13
qwen,set,bakery,water,sandwiches,0.03480808080808081,2079,99,0.42857142857142855,21
qwen,set,beach,bikini,coat,0.10355555555555555,297,99,0.3333333333333333,3
qwen,set,beach,bikini,jacket,0.25286868686868685,396,99,0.25,4
qwen,set,beach,bikini,jeans,0.7154343434343434,594,99,0.5,6
qwen,set,beach,bikini,shorts,0.9618383838383838,1980,99,0.7,20
qwen,set,beach,bikini,sunglasses,0.5983030303030302,1782,99,0.16666666666666666,18
qwen,set,beach,coat,bikini,0.6691717171717172,594,99,1.0,6
qwen,set,beach,coat,jacket,0.2528686868686869,1089,99,0.5454545454545454,11
qwen,set,beach,coat,jeans,0.7154343434343434,1584,99,0.5,16
qwen,set,beach,coat,shorts,0.9618383838383838,495,99,1.0,5
qwen,set,beach,coat,sunglasses,0.5983030303030303,297,99,0.0,3
qwen,set,beach,jacket,bikini,0.6691717171717172,198,99,1.0,2
qwen,set,beach,jacket,coat,0.10355555555555555,297,99,1.0,3
qwen,set,beach,jacket,jeans,0.7154343434343434,1980,99,0.45,20
qwen,set,beach,jacket,shorts,0.9618383838383838,495,99,0.6,5
qwen,set,beach,jacket,sunglasses,0.5983030303030303,396,99,0.5,4
qwen,set,beach,jeans,bikini,0.6691717171717172,495,99,1.0,5
qwen,set,beach,jeans,coat,0.10355555555555555,495,99,0.6,5
qwen,set,beach,jeans,jacket,0.2528686868686869,594,99,0.0,6
qwen,set,beach,jeans,shorts,0.9618383838383838,495,99,1.0,5
qwen,set,beach,jeans,sunglasses,0.5983030303030303,396,99,0.25,4
qwen,set,beach,shorts,bikini,0.6691717171717172,396,99,0.75,4
qwen,set,beach,shorts,coat,0.10355555555555557,396,99,0.75,4
qwen,set,beach,shorts,jacket,0.25286868686868685,396,99,0.25,4
qwen,set,beach,shorts,jeans,0.7154343434343434,495,99,0.6,5
qwen,set,beach,shorts,sunglasses,0.5983030303030303,1980,99,0.15,20
qwen,set,beach,sunglasses,bikini,0.6691717171717172,495,99,1.0,5
qwen,set,beach,sunglasses,coat,0.10355555555555555,495,99,0.0,5
qwen,set,beach,sunglasses,jacket,0.25286868686868685,495,99,0.8,5
qwen,set,beach,sunglasses,jeans,0.7154343434343434,594,99,0.5,6
qwen,set,beach,sunglasses,shorts,0.9618383838383838,396,99,0.5,4
qwen,set,cold,blankets,fridge,0.019818181818181818,396,99,0.0,4
qwen,set,cold,blankets,heater,0.929959595959596,198,99,1.0,2
qwen,set,cold,blankets,microwave,0.18307070707070708,495,99,0.0,5
qwen,set,cold,blankets,sink,0.013030303030303031,396,99,0.0,4
qwen,set,cold,blankets,tea,0.0013333333333333333,1980,99,0.2,20
qwen,set,cold,fridge,blankets,0.00012121212121212122,297,99,0.3333333333333333,3
qwen,set,cold,fridge,heater,0.9299595959595959,495,99,0.8,5
