variant,analysis_dataset_id,dataset,N,set_pearson_r,ordering_pearson_r,conjunction_pearson_r,disjunction_pearson_r
top_k,hu_g18,Hu: Gotzner et al. (2018),67,0.277559865285248,0.099497478319283,0.2656322445357829,0.1057851725766069
top_k,hu_pvt21,Hu: Pankratz & van Tiel (2021),50,-0.161850221339289,-0.0462420059685119,-0.1615182804244579,-0.0713555302697987
top_k,hu_rx22,Hu: Ronai & Xiang (2022),57,0.1825555887892419,0.1629936022366386,0.1504341772806218,0.2072853844018117
top_k,hu_vt16,Hu: van Tiel et al. (2016),39,0.2756676052588619,-0.0068766090371589,0.2767606673674522,0.0192611800134374
top_k,novel_focus,Novel focus alternatives,480,0.5935335831726641,0.4619909862945532,0.5595756964200549,0.523653786413545
top_k,rnx_eonly,Ronai & Xiang (2024): Eonly,60,0.2074360608055571,0.0812895775266498,0.1148323343167891,0.1726868011562559
top_k,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,60,-0.0668072159526139,-0.0661176753241778,-0.0815504984907514,-0.0679802660780014
top_k,rnx_esi,Ronai & Xiang (2024): ESI,60,0.195949418833522,0.1542533262353834,0.1438594429045167,0.213023900534448
top_k,rnx_estrong,Ronai & Xiang (2024): Estrong,60,-0.0737435612235434,0.1090383754062628,0.0281445393921679,0.0003050076231218
top_k,rnx_eweak,Ronai & Xiang (2024): Eweak,60,-0.0464673562255475,0.2004784176882781,0.2033460508730092,-0.0464848472353786
top_p,hu_g18,Hu: Gotzner et al. (2018),67,0.296683028447398,0.099497478319283,0.2782815680856123,0.1119263257737935
top_p,hu_pvt21,Hu: Pankratz & van Tiel (2021),50,-0.1530834051684886,-0.0462420059685119,-0.1219953149548073,-0.0920688844618338
top_p,hu_rx22,Hu: Ronai & Xiang (2022),57,0.1686713139309093,0.1629936022366386,0.1550100109219536,0.1952905134172894
top_p,hu_vt16,Hu: van Tiel et al. (2016),39,0.258750877786396,-0.0068766090371589,0.2502864901470745,0.0282981897781804
top_p,novel_focus,Novel focus alternatives,480,0.4992619508037758,0.4619909862945532,0.4976188629959389,0.4868931696561006
top_p,rnx_eonly,Ronai & Xiang (2024): Eonly,60,0.1326039994808619,0.0812895775266498,0.1055637629952366,0.120511853542627
top_p,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,60,-0.1598160963934459,-0.0661176753241778,-0.1806732503292732,-0.0011010365816808
top_p,rnx_esi,Ronai & Xiang (2024): ESI,60,0.137276310792833,0.1542533262353834,0.114325357352829,0.1853575855750371
top_p,rnx_estrong,Ronai & Xiang (2024): Estrong,60,-0.2348762137408925,0.1090383754062628,-0.0269787507637644,-0.1921541048030853
top_p,rnx_eweak,Ronai & Xiang (2024): Eweak,60,-0.0097391066417468,0.2004784176882781,0.1748009309835064,0.011681553545077
