variant,analysis_dataset_id,dataset,N,set_pearson_r,ordering_pearson_r,conjunction_pearson_r,disjunction_pearson_r
top_k,hu_g18,Hu: Gotzner et al. (2018),67,0.277559865285248,0.09949747831928309,0.26563224453578294,0.10578517257660695
top_k,hu_pvt21,Hu: Pankratz & van Tiel (2021),50,-0.16185022133928909,-0.04624200596851194,-0.1615182804244579,-0.07135553026979871
top_k,hu_rx22,Hu: Ronai & Xiang (2022),57,0.18255558878924197,0.16299360223663867,0.15043417728062186,0.20728538440181177
top_k,hu_vt16,Hu: van Tiel et al. (2016),39,0.27566760525886197,-0.006876609037158949,0.27676066736745225,0.019261180013437434
top_k,novel_focus,Novel focus alternatives,480,0.5935335831726641,0.46199098629455326,0.5595756964200549,0.523653786413545
top_k,rnx_eonly,Ronai & Xiang (2024): Eonly,60,0.20743606080555713,0.0812895775266498,0.11483233431678913,0.17268680115625593
top_k,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,60,-0.06680721595261398,-0.06611767532417782,-0.08155049849075145,-0.06798026607800142
top_k,rnx_esi,Ronai & Xiang (2024): ESI,60,0.19594941883352204,0.15425332623538343,0.14385944290451672,0.213023900534448
top_k,rnx_estrong,Ronai & Xiang (2024): Estrong,60,-0.07374356122354345,0.10903837540626288,0.0281445393921679,0.0003050076231218748
top_k,rnx_eweak,Ronai & Xiang (2024): Eweak,60,-0.046467356225547575,0.2004784176882781,0.20334605087300922,-0.046484847235378664
top_p,hu_g18,Hu: Gotzner et al. (2018),67,0.296683028447398,0.09949747831928309,0.2782815680856123,0.11192632577379355
top_p,hu_pvt21,Hu: Pankratz & van Tiel (2021),50,-0.15308340516848867,-0.04624200596851194,-0.12199531495480734,-0.09206888446183387
top_p,hu_rx22,Hu: Ronai & Xiang (2022),57,0.1686713139309093,0.16299360223663867,0.15501001092195363,0.19529051341728942
top_p,hu_vt16,Hu: van Tiel et al. (2016),39,0.25875087778639605,-0.006876609037158949,0.2502864901470745,0.028298189778180438
top_p,novel_focus,Novel focus alternatives,480,0.49926195080377583,0.46199098629455326,0.4976188629959389,0.4868931696561006
top_p,rnx_eonly,Ronai & Xiang (2024): Eonly,60,0.13260399948086193,0.0812895775266498,0.10556376299523665,0.12051185354262701
top_p,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,60,-0.15981609639344593,-0.06611767532417782,-0.18067325032927323,-0.001101036581680811
top_p,rnx_esi,Ronai & Xiang (2024): ESI,60,0.13727631079283303,0.15425332623538343,0.11432535735282907,0.1853575855750371
top_p,rnx_estrong,Ronai & Xiang (2024): Estrong,60,-0.23487621374089254,0.10903837540626288,-0.02697875076376442,-0.1921541048030853
top_p,rnx_eweak,Ronai & Xiang (2024): Eweak,60,-0.009739106641746853,0.2004784176882781,0.17480093098350644,0.011681553545077045
