variant,heldout_fold,selected_boundary,balanced_training_set_log_score,training_unit_count,heldout_unit_count
top_k,0,100.0,-3.338216741330883,881,112
top_k,1,100.0,-3.4108193387538783,881,112
top_k,2,100.0,-3.3886481134292383,881,112
top_k,3,100.0,-3.289814973865983,881,112
top_k,4,100.0,-3.3564065164987973,881,112
top_k,5,100.0,-3.3273656048385147,881,112
top_k,6,100.0,-3.274989275267535,911,82
top_k,7,100.0,-3.336258881168395,913,80
top_k,8,100.0,-3.258600291936623,913,80
top_k,9,100.0,-3.2476021715630354,914,79
top_p,0,0.6,-3.1380133114446687,881,112
top_p,1,0.6,-3.2810065091156178,881,112
top_p,2,0.6,-3.225413141374105,881,112
top_p,3,0.6,-3.1737075196944153,881,112
top_p,4,0.6,-3.103612331573774,881,112
top_p,5,0.6,-3.2048723020595227,881,112
top_p,6,0.6,-3.1702705692003565,911,82
top_p,7,0.6,-3.153358033728508,913,80
top_p,8,0.6,-3.0567550724897963,913,80
top_p,9,0.6,-3.048336930462325,914,79
