Dataset,No linking structure,X but not Y,Set Top-K,Set Top-p,Ordering,Conjunction Top-K,Conjunction Top-p,Disjunction Top-K,Disjunction Top-p
van Tiel et al. (2016),0.16217957636128197,0.1334051527560158,0.2756676052588619,0.258750877786396,-0.0068766090371589,0.2767606673674522,0.2502864901470745,0.0192611800134374,0.0282981897781804
Gotzner et al. (2018),0.15881347492658357,0.2484403427387715,0.277559865285248,0.296683028447398,0.099497478319283,0.2656322445357829,0.2782815680856123,0.1057851725766069,0.1119263257737935
Pankratz & van Tiel (2021),-0.10973680470339808,0.128793310565909,-0.161850221339289,-0.1530834051684886,-0.0462420059685119,-0.1615182804244579,-0.1219953149548073,-0.0713555302697987,-0.0920688844618338
Ronai & Xiang (2022),0.0869091697443034,0.3710448013974291,0.1825555887892419,0.1686713139309093,0.1629936022366386,0.1504341772806218,0.1550100109219536,0.2072853844018117,0.1952905134172894
R&X ESI,0.02589777988379245,,0.195949418833522,0.137276310792833,0.1542533262353834,0.1438594429045167,0.114325357352829,0.213023900534448,0.1853575855750371
R&X Eweak,0.09626773042037341,,-0.0464673562255475,-0.0097391066417468,0.2004784176882781,0.2033460508730092,0.1748009309835064,-0.0464848472353786,0.011681553545077
R&X Estrong,-0.2085580980122078,,-0.0737435612235434,-0.2348762137408925,0.1090383754062628,0.0281445393921679,-0.0269787507637644,0.0003050076231218,-0.1921541048030853
R&X Eonly,0.06426330138125616,,0.2074360608055571,0.1326039994808619,0.0812895775266498,0.1148323343167891,0.1055637629952366,0.1726868011562559,0.120511853542627
R&X Eonlystrong,-0.21064889436830608,,-0.0668072159526139,-0.1598160963934459,-0.0661176753241778,-0.0815504984907514,-0.1806732503292732,-0.0679802660780014,-0.0011010365816808
Novel Focus Alternative Study,0.3633395930765156,0.26285166803126453,0.5935335831726641,0.4992619508037758,0.4619909862945532,0.5595756964200549,0.4976188629959389,0.523653786413545,0.4868931696561006
