Dataset,No linking structure,X but not Y,Set Top-K,Set Top-p,Ordering,Conjunction Top-K,Conjunction Top-p,Disjunction Top-K,Disjunction Top-p
van Tiel et al. (2016),-2.901676772557505,-1.6137337951253743,-1.575424151144239,-1.35699063427913,-1.4898498125146538,-1.6484438779590642,-1.4593487875580795,-1.4784921080274067,-1.4706194909041364
Gotzner et al. (2018),-4.621345431939401,-2.013562916815416,-3.8795382684711512,-3.791827009158622,-2.747908007506675,-3.893100895622487,-3.8178212739377497,-2.745424078894152,-2.734495784386505
Pankratz & van Tiel (2021),-2.7429780105481725,-1.303922379697925,-2.701954615622763,-2.9291341417969807,-1.385927602800532,-2.373210271392736,-2.1017655320459423,-1.7623485933274283,-2.4183469724286666
Ronai & Xiang (2022),-3.056312997838556,-1.3278551169990387,-2.209247844443354,-2.4871248331661877,-1.067748034407149,-2.266107915041426,-2.2410326584102087,-1.288285361192361,-1.356314257601665
R&X ESI,-3.054270255263404,,-2.409096222110664,-2.6940124575732143,-1.3237688009812478,-2.4684762586856945,-2.4623214225967724,-1.5289031442062002,-1.597218399826508
R&X Eweak,-1.785009979063034,,-4.548538798343986,-2.740930221424109,-2.2059695896792784,-2.2244267511662925,-2.4601925439085983,-4.5318918647497,-2.489668507860753
R&X Estrong,-1.3614635867175944,,-7.618212120559055,-7.077469586148316,-1.9768338846167373,-2.0063127894270965,-1.944814494167104,-7.596433765401903,-7.449360247546332
R&X Eonly,-5.551779963741283,,-4.363586707676469,-3.916406102745725,-1.6961295597193575,-4.663359045098906,-3.964427804682397,-1.656946791490692,-1.6880433399291772
R&X Eonlystrong,-1.7963605951875024,,-2.351968395442868,-2.226442253047993,-0.7617216595834134,-0.8358344139553873,-0.8796795525325787,-2.283420290068305,-2.1933930522853733
Novel Focus Alternative Study,-3.219058355994513,-3.848413539890036,-1.568945946365799,-2.3297693784756643,-1.5641454693604688,-1.7445142836955716,-2.4346130678389595,-1.5277538852234591,-1.4771448031598575
