analysis_dataset_id,analysis_unit_id,human_rate,cv_fold,model_probability,human_rank,model_rank,model,group_type
hu_vt16,vt16::adequate/good,0.32,0,0.04967568680495738,18.5,0.0,No linking structure,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,2.7364833500264373e-05,5.0,37.0,No linking structure,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,8.837410149278227e-05,26.5,33.0,No linking structure,within_dataset
hu_vt16,vt16::believe/know,0.61,3,0.0008361618962055402,10.5,18.0,No linking structure,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.0006611638394514295,26.5,19.0,No linking structure,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.0065835950402493145,1.5,8.0,No linking structure,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.00216322931134449,38.0,12.0,No linking structure,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.02412382697513411,14.0,3.0,No linking structure,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.0038737226218659646,20.5,10.0,No linking structure,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,7.690617656089237e-05,0.0,34.0,No linking structure,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,1.7429239243371298e-07,30.0,38.0,No linking structure,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.004624158279421946,20.5,9.0,No linking structure,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.01428536986173639,18.5,5.0,No linking structure,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.002787942442687961,15.5,11.0,No linking structure,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.0008458751599415389,8.0,17.0,No linking structure,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,4.549848818627828e-05,23.0,35.0,No linking structure,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.000853543317476948,37.0,16.0,No linking structure,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.0005052637276474524,23.0,22.0,No linking structure,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.0001637500850574056,6.5,29.0,No linking structure,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.02054246450097024,3.0,4.0,No linking structure,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.00039256384872056005,13.0,25.0,No linking structure,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.00010734509019421842,17.0,31.0,No linking structure,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,0.02962137712930783,10.5,1.0,No linking structure,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.0003574083795746437,30.0,26.0,No linking structure,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.00058673781941095,1.5,21.0,No linking structure,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.0077629113253012486,36.0,7.0,No linking structure,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.0004919732463509492,6.5,23.0,No linking structure,within_dataset
hu_vt16,vt16::scarce/unavailable,0.57,7,0.00040243627669800055,12.0,24.0,No linking structure,within_dataset
hu_vt16,vt16::silly/ridiculous,0.14,8,0.0005962456718859155,33.5,20.0,No linking structure,within_dataset
hu_vt16,vt16::small/tiny,0.25,9,0.0003556602660002035,23.0,27.0,No linking structure,within_dataset
hu_vt16,vt16::snug/tight,0.21,0,0.0003320892504820644,26.5,28.0,No linking structure,within_dataset
hu_vt16,vt16::sometimes/always,0.86,1,0.01047140646555572,4.0,6.0,No linking structure,within_dataset
hu_vt16,vt16::special/unique,0.14,2,0.001378407659603173,33.5,14.0,No linking structure,within_dataset
hu_vt16,vt16::start/finish,0.21,3,0.0014078909791362323,26.5,13.0,No linking structure,within_dataset
hu_vt16,vt16::tired/exhausted,0.14,4,0.00013251247132485945,33.5,30.0,No linking structure,within_dataset
hu_vt16,vt16::try/succeed,0.3899999999999999,5,3.8532825795223526e-05,15.5,36.0,No linking structure,within_dataset
hu_vt16,vt16::ugly/hideous,0.18,6,9.846045515867677e-05,30.0,32.0,No linking structure,within_dataset
hu_vt16,vt16::warm/hot,0.64,7,0.029523399589765475,9.0,2.0,No linking structure,within_dataset
hu_vt16,vt16::wary/scared,0.14,8,0.001014879381002611,33.5,15.0,No linking structure,within_dataset
hu_vt16,vt16::adequate/good,0.32,0,0.022609260742316593,18.5,18.0,X but not Y,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,0.0010634785072475659,5.0,34.0,X but not Y,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,0.0007592704069236926,26.5,36.0,X but not Y,within_dataset
