context,trigger,query,item_id,human_rate,human_total,model_value,structure,variant,cv_fold,boundary,model,human_rank,model_rank
bag,cash,chalk,bag::cash::chalk,1.0,5,2.9608495538469066e-05,No linking structure,direct,,,Qwen2-7B,5.0,12.0
bag,cash,crayons,bag::cash::crayons,1.0,2,0.00019152510174891271,No linking structure,direct,,,Qwen2-7B,5.0,7.0
bag,cash,headphones,bag::cash::headphones,0.0,3,2.2831620166455813e-06,No linking structure,direct,,,Qwen2-7B,26.0,22.0
bag,cash,makeup,bag::cash::makeup,0.10526315789473684,19,2.034960154472012e-05,No linking structure,direct,,,Qwen2-7B,22.0,17.0
bag,cash,pen,bag::cash::pen,1.0,5,0.020963996823953848,No linking structure,direct,,,Qwen2-7B,5.0,2.0
bag,chalk,cash,bag::chalk::cash,0.0,6,1.3422017084107954e-06,No linking structure,direct,,,Qwen2-7B,26.0,27.0
bag,chalk,crayons,bag::chalk::crayons,1.0,6,0.00019152510174891271,No linking structure,direct,,,Qwen2-7B,5.0,7.0
bag,chalk,headphones,bag::chalk::headphones,0.2,5,2.2831620166455813e-06,No linking structure,direct,,,Qwen2-7B,18.0,22.0
bag,chalk,makeup,bag::chalk::makeup,0.2,5,2.034960154472012e-05,No linking structure,direct,,,Qwen2-7B,18.0,17.0
bag,chalk,pen,bag::chalk::pen,1.0,5,0.020963996823953848,No linking structure,direct,,,Qwen2-7B,5.0,2.0
bag,crayons,cash,bag::crayons::cash,0.0,5,1.3422017084107954e-06,No linking structure,direct,,,Qwen2-7B,26.0,27.0
bag,crayons,chalk,bag::crayons::chalk,0.8888888888888888,18,2.9608495538469066e-05,No linking structure,direct,,,Qwen2-7B,11.0,12.0
bag,crayons,headphones,bag::crayons::headphones,0.25,4,2.2831620166455813e-06,No linking structure,direct,,,Qwen2-7B,15.0,22.0
bag,crayons,makeup,bag::crayons::makeup,0.0,5,2.034960154472012e-05,No linking structure,direct,,,Qwen2-7B,26.0,17.0
bag,crayons,pen,bag::crayons::pen,1.0,4,0.020963996823953848,No linking structure,direct,,,Qwen2-7B,5.0,2.0
bag,headphones,cash,bag::headphones::cash,0.14285714285714285,14,1.3422017084107954e-06,No linking structure,direct,,,Qwen2-7B,21.0,27.0
bag,headphones,chalk,bag::headphones::chalk,0.4,5,2.9608495538469066e-05,No linking structure,direct,,,Qwen2-7B,14.0,12.0
bag,headphones,crayons,bag::headphones::crayons,1.0,3,0.00019152510174891271,No linking structure,direct,,,Qwen2-7B,5.0,7.0
bag,headphones,makeup,bag::headphones::makeup,0.21052631578947367,19,2.034960154472012e-05,No linking structure,direct,,,Qwen2-7B,16.0,17.0
bag,headphones,pen,bag::headphones::pen,1.0,5,0.020963996823953848,No linking structure,direct,,,Qwen2-7B,5.0,2.0
bag,makeup,cash,bag::makeup::cash,0.2,5,1.3422017084107954e-06,No linking structure,direct,,,Qwen2-7B,18.0,27.0
bag,makeup,chalk,bag::makeup::chalk,1.0,2,2.9608495538469066e-05,No linking structure,direct,,,Qwen2-7B,5.0,12.0
bag,makeup,crayons,bag::makeup::crayons,1.0,2,0.00019152510174891271,No linking structure,direct,,,Qwen2-7B,5.0,7.0
bag,makeup,headphones,bag::makeup::headphones,0.0,4,2.2831620166455813e-06,No linking structure,direct,,,Qwen2-7B,26.0,22.0
bag,makeup,pen,bag::makeup::pen,1.0,3,0.020963996823953848,No linking structure,direct,,,Qwen2-7B,5.0,2.0
