set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.07688104433595762,0.926,0.926
3,500,bag,crayons,chalk,1,-1.9805015938249322,0.138,0.138
3,500,bag,pen,chalk,1,-2.6036901857779675,0.074,0.074
3,500,bag,crayons,chalk,1,-1.9805015938249322,0.138,0.138
3,500,bag,pen,crayons,1,-0.9467499393588635,0.388,0.388
3,500,bag,crayons,chalk,1,-1.9805015938249322,0.138,0.138
3,500,bag,crayons,chalk,1,-1.9805015938249322,0.138,0.138
3,500,bag,crayons,chalk,0,-0.14850000831844395,0.138,0.862
3,500,bag,chalk,pen,1,-0.07688104433595762,0.926,0.926
3,500,bag,pen,crayons,1,-0.9467499393588635,0.388,0.388
3,500,bag,pen,crayons,1,-0.9467499393588635,0.388,0.388
3,500,bag,crayons,headphones,0,-0.028399474521698,0.028,0.972
3,500,bag,pen,chalk,1,-2.6036901857779675,0.074,0.074
3,500,bag,headphones,makeup,0,-1.7147984280919264,0.82,0.18000000000000005
3,500,bag,pen,makeup,0,-0.10314075891951337,0.098,0.902
3,500,bag,headphones,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,headphones,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,chalk,headphones,0,-0.1672359193759138,0.154,0.846
3,500,bag,crayons,makeup,0,-0.1438703704197019,0.134,0.866
3,500,bag,pen,crayons,1,-0.9467499393588635,0.388,0.388
3,500,bag,headphones,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,headphones,makeup,0,-1.7147984280919264,0.82,0.18000000000000005
3,500,bag,pen,crayons,1,-0.9467499393588635,0.388,0.388
3,500,bag,pen,makeup,0,-0.10314075891951337,0.098,0.902
3,500,bag,chalk,crayons,1,-0.14850000831844395,0.862,0.862
3,500,bag,chalk,makeup,0,-0.7052197617942145,0.506,0.494
3,500,bag,makeup,chalk,1,-0.7052197617942145,0.494,0.494
3,500,bag,pen,headphones,0,-0.01005033585350145,0.01,0.99
3,500,bag,pen,chalk,1,-2.6036901857779675,0.074,0.074
3,500,bag,chalk,headphones,0,-0.1672359193759138,0.154,0.846
3,500,bag,chalk,pen,1,-0.07688104433595762,0.926,0.926
