NextWordPredictionModelRaw,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood
cloze,set,bag,1440,10,-0.691537549838305
cloze,set,bakery,2130,10,-0.8872910350687521
cloze,set,beach,2130,10,-0.9829449147626689
cloze,set,cold,920,10,-0.5502024470381103
cloze,set,cut,2130,10,-0.7012705730906037
cloze,set,fridge,2130,10,-0.7788487780421555
cloze,set,gym,1380,10,-0.9513481360011656
cloze,set,hot,2130,10,-0.7505434372640971
cloze,set,mask,1430,10,-1.4698700822219384
cloze,set,meat,1460,10,-1.0127906620561489
cloze,set,restaurant,2130,10,-0.960132755686227
cloze,set,salad,1400,10,-0.8536553476057833
cloze,set,science,2130,10,-1.4533796607169185
cloze,set,throw,1380,10,-0.8036188270715389
cloze,set,transport,960,10,-0.6930074776250892
cloze,ordering,bag,1440,10,-0.9997994504624573
cloze,ordering,bakery,2130,10,-0.7903912696180502
cloze,ordering,beach,2130,10,-0.7919318036387332
cloze,ordering,cold,920,10,-0.6750122746740177
cloze,ordering,cut,2130,10,-0.6897390134927732
cloze,ordering,fridge,2130,10,-3.012065509804463
cloze,ordering,gym,1380,10,-0.7610355500652669
cloze,ordering,hot,2130,10,-2.2280875359483603
cloze,ordering,mask,1430,10,-2.935902079549279
cloze,ordering,meat,1460,10,-0.836865609822126
cloze,ordering,restaurant,2130,10,-0.5800244565993414
cloze,ordering,salad,1400,10,-0.7552087384375661
cloze,ordering,science,2130,10,-0.9206772330856885
cloze,ordering,throw,1380,10,-0.7809645547384623
cloze,ordering,transport,960,10,-0.7394811202320883
cloze,conjunction,bag,1440,10,-0.9883703779095178
cloze,conjunction,bakery,2130,10,-1.0407971914992984
cloze,conjunction,beach,2130,10,-0.987472465788734
cloze,conjunction,cold,920,10,-0.5957868787843482
cloze,conjunction,cut,2130,10,-0.7415053063531046
cloze,conjunction,fridge,2130,10,-0.8855286186105389
cloze,conjunction,gym,1380,10,-1.1765321747287358
cloze,conjunction,hot,2130,10,-0.7766755743852709
cloze,conjunction,mask,1430,10,-1.4928729569186834
cloze,conjunction,meat,1460,10,-1.2588548907141905
cloze,conjunction,restaurant,2130,10,-0.9274169624336109
cloze,conjunction,salad,1400,10,-0.9037147451783301
cloze,conjunction,science,2130,10,-1.5924070525255845
cloze,conjunction,throw,1380,10,-0.985043189554385
cloze,conjunction,transport,960,10,-0.7433878338622126
cloze,disjunction,bag,1440,10,-0.7312020856799019
cloze,disjunction,bakery,2130,10,-0.6909306097509309
cloze,disjunction,beach,2130,10,-0.8388968115791012
cloze,disjunction,cold,920,10,-0.7594662537860519
cloze,disjunction,cut,2130,10,-0.6965778605248173
cloze,disjunction,fridge,2130,10,-2.9212824281071748
cloze,disjunction,gym,1380,10,-0.5961577153362054
cloze,disjunction,hot,2130,10,-2.3043668947230915
cloze,disjunction,mask,1430,10,-2.9328743622872246
cloze,disjunction,meat,1460,10,-0.616481216872262
cloze,disjunction,restaurant,2130,10,-0.6544496719703273
cloze,disjunction,salad,1400,10,-0.7635094844669473
cloze,disjunction,science,2130,10,-0.8162651953928796
cloze,disjunction,throw,1380,10,-0.6292329151617944
cloze,disjunction,transport,960,10,-0.8491910778992232
