NextWordPredictionModelRaw,AlternativeStructure,context,trigger,query,model_negation_probability,observed_rows,observed_boundaries,human_negation_probability,human_trial_count
cloze,set,bag,chalk,crayons,0.7896,60,10,1.0,6
cloze,set,bag,chalk,headphones,0.0738,50,10,0.2,5
cloze,set,bag,chalk,makeup,0.3066,50,10,0.2,5
cloze,set,bag,chalk,pen,0.872,50,10,1.0,5
cloze,set,bag,crayons,chalk,0.33340000000000003,180,10,0.8888888888888888,18
cloze,set,bag,crayons,headphones,0.0738,40,10,0.25,4
cloze,set,bag,crayons,makeup,0.3066,50,10,0.0,5
cloze,set,bag,crayons,pen,0.8720000000000001,40,10,1.0,4
cloze,set,bag,headphones,chalk,0.33340000000000003,50,10,0.4,5
cloze,set,bag,headphones,crayons,0.7896,30,10,1.0,3
cloze,set,bag,headphones,makeup,0.3066,190,10,0.21052631578947367,19
cloze,set,bag,headphones,pen,0.872,50,10,1.0,5
cloze,set,bag,makeup,chalk,0.33340000000000003,20,10,1.0,2
cloze,set,bag,makeup,crayons,0.7896,20,10,1.0,2
cloze,set,bag,makeup,headphones,0.0738,40,10,0.0,4
cloze,set,bag,makeup,pen,0.872,30,10,1.0,3
cloze,set,bag,pen,chalk,0.3334,210,10,0.8571428571428571,21
cloze,set,bag,pen,crayons,0.7896,170,10,0.8823529411764706,17
cloze,set,bag,pen,headphones,0.0738,50,10,0.0,5
cloze,set,bag,pen,makeup,0.30660000000000004,60,10,0.16666666666666666,6
cloze,set,bakery,cakes,ice cream,0.44480000000000003,190,10,0.8421052631578947,19
cloze,set,bakery,cakes,muffins,0.4956,180,10,0.8888888888888888,18
cloze,set,bakery,cakes,pretzels,0.1198,60,10,0.5,6
cloze,set,bakery,cakes,sandwiches,0.10460000000000001,50,10,0.4,5
cloze,set,bakery,cakes,water,0.0502,50,10,0.0,5
cloze,set,bakery,ice cream,cakes,0.8268,50,10,1.0,5
cloze,set,bakery,ice cream,muffins,0.4956,170,10,0.5882352941176471,17
cloze,set,bakery,ice cream,pretzels,0.11979999999999999,20,10,0.5,2
cloze,set,bakery,ice cream,sandwiches,0.1046,40,10,0.25,4
cloze,set,bakery,ice cream,water,0.0502,60,10,0.16666666666666666,6
cloze,set,bakery,muffins,cakes,0.8268,50,10,1.0,5
cloze,set,bakery,muffins,ice cream,0.44480000000000003,20,10,1.0,2
cloze,set,bakery,muffins,pretzels,0.1198,50,10,0.4,5
cloze,set,bakery,muffins,sandwiches,0.1046,20,10,0.0,2
cloze,set,bakery,muffins,water,0.0502,50,10,0.0,5
cloze,set,bakery,pretzels,cakes,0.8268,50,10,1.0,5
cloze,set,bakery,pretzels,ice cream,0.4448,50,10,1.0,5
cloze,set,bakery,pretzels,muffins,0.4956,30,10,1.0,3
cloze,set,bakery,pretzels,sandwiches,0.10460000000000001,50,10,0.4,5
cloze,set,bakery,pretzels,water,0.0502,40,10,0.0,4
cloze,set,bakery,sandwiches,cakes,0.8268,30,10,1.0,3
cloze,set,bakery,sandwiches,ice cream,0.4448,50,10,1.0,5
