set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,0,-0.03252319170556006,0.032,0.968
3,500,bag,chalk,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,pen,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,headphones,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,headphones,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,crayons,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,headphones,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,pen,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,chalk,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,chalk,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,makeup,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,chalk,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,crayons,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,headphones,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,chalk,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,makeup,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,chalk,0,-0.03252319170556006,0.032,0.968
3,500,bag,makeup,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,chalk,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,headphones,chalk,0,-0.03252319170556006,0.032,0.968
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,makeup,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,chalk,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,chalk,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,makeup,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,pen,crayons,0,-0.34531118528841737,0.292,0.708
3,500,bag,headphones,makeup,1,-3.3813947543659757,0.034,0.034
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,chalk,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,headphones,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,makeup,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,1,-3.3813947543659757,0.034,0.034
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,crayons,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,headphones,makeup,1,-3.3813947543659757,0.034,0.034
3,500,bag,pen,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,chalk,headphones,1,-4.8283137373023015,0.008,0.008
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,makeup,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,chalk,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,pen,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,crayons,0,-0.34531118528841737,0.292,0.708
3,500,bag,pen,chalk,0,-0.03252319170556006,0.032,0.968
3,500,bag,chalk,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,makeup,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,crayons,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,makeup,1,-3.3813947543659757,0.034,0.034
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,chalk,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,pen,1,-0.9571127263944101,0.384,0.384
3,500,bag,headphones,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,crayons,headphones,1,-4.8283137373023015,0.008,0.008
3,500,bag,crayons,makeup,0,-0.03459144476961909,0.034,0.966
3,500,bag,pen,chalk,0,-0.03252319170556006,0.032,0.968
3,500,bag,headphones,makeup,1,-3.3813947543659757,0.034,0.034
3,500,bag,pen,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,headphones,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,pen,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,pen,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,makeup,crayons,1,-1.2310014767138553,0.292,0.292
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
3,500,bag,headphones,chalk,0,-0.03252319170556006,0.032,0.968
3,500,bag,crayons,chalk,1,-3.4420193761824103,0.032,0.032
