set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,pen,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,pen,crayons,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,chalk,0,0.0,0.0,1.0
3,500,bag,chalk,pen,1,-23.025850929940457,0.0,0.0
3,500,bag,pen,crayons,1,-23.025850929940457,0.0,0.0
3,500,bag,pen,crayons,1,-23.025850929940457,0.0,0.0
3,500,bag,crayons,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,headphones,makeup,0,0.0,0.0,1.0
3,500,bag,pen,makeup,0,0.0,0.0,1.0
3,500,bag,headphones,pen,1,-23.025850929940457,0.0,0.0
3,500,bag,headphones,pen,1,-23.025850929940457,0.0,0.0
3,500,bag,chalk,headphones,0,0.0,0.0,1.0
3,500,bag,crayons,makeup,0,0.0,0.0,1.0
3,500,bag,pen,crayons,1,-23.025850929940457,0.0,0.0
3,500,bag,headphones,pen,1,-23.025850929940457,0.0,0.0
3,500,bag,headphones,makeup,0,0.0,0.0,1.0
3,500,bag,pen,crayons,1,-23.025850929940457,0.0,0.0
3,500,bag,pen,makeup,0,0.0,0.0,1.0
3,500,bag,chalk,crayons,1,-23.025850929940457,0.0,0.0
3,500,bag,chalk,makeup,0,0.0,0.0,1.0
3,500,bag,makeup,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-23.025850929940457,0.0,0.0
3,500,bag,chalk,headphones,0,0.0,0.0,1.0
3,500,bag,chalk,pen,1,-23.025850929940457,0.0,0.0
3,500,bag,chalk,headphones,0,0.0,0.0,1.0
