context,n_tokens,positive_tokens,zero_count_tokens,context_count_sum,mass_in_global_distribution
mask,186,143,43,4106217324,0.34070548514485294
science,198,185,13,2547710339,0.21139136547502246
bag,114,102,12,1312554499,0.10890668517399066
mall,188,155,33,1252772540,0.10394639210207805
hot,169,133,36,1252647476,0.10393601515720835
cold,214,164,50,1157741962,0.09606141266081802
cut,206,136,70,1124464772,0.0933003018211796
transport,213,147,66,798571765,0.06625995634158659
salad,179,162,17,746764891,0.06196138060940542
gym,131,111,20,691720625,0.05739418850236332
throw,146,129,17,658633345,0.054648835079729036
restaurant,125,109,16,586461591,0.048660522596459956
meat,170,116,54,546509450,0.04534557053524738
beach,130,108,22,469261643,0.03893608231686126
fridge,62,54,8,455092452,0.037760420944641826
bakery,141,110,31,425948181,0.03534223111036015
