probability_rank,support_rank,token,ngram_order,count,probability,n_contexts,contexts
1,1167,on,1,2297245630,0.19060953795392524,1,mask
2,1226,two,1,517014191,0.042898258146706086,1,mask
3,97,work,1,310897825,0.025796149092742124,1,bag
4,1183,another,1,222346885,0.018448805152518476,1,mask
5,1666,government,1,195322093,0.016206475011957523,1,science
6,108,water,1,177669857,0.014741814679656162,8,"bag,bakery,fridge,hot,mask,meat,restaurant,salad"
7,1671,law,1,169132090,0.014033409883157204,1,science
8,1040,american,1,164701788,0.013665814095319598,1,mall
9,589,hand,1,148631718,0.012332430943955312,1,cut
10,1669,history,1,138885884,0.0115237891115555,1,science
11,1178,several,1,133437218,0.011071696529394288,1,mask
12,1628,nature,1,129303492,0.010728708564764608,1,science
13,1871,table,1,123932689,0.010283076515277783,1,throw
14,27,book,1,122339388,0.010150875429131184,7,"bag,beach,cold,cut,hot,mall,mask"
15,1025,court,1,117881404,0.009780982780583196,1,mall
16,846,business,1,114446729,0.009495997228223304,2,"gym,science"
17,628,something,1,111649315,0.009263887181721293,2,"cut,mask"
18,2005,light,1,111570700,0.009257364253293196,1,transport
19,856,economic,1,108353059,0.008990386679670994,1,gym
20,954,problem,1,103532596,0.00859041803323853,1,hot
21,858,english,1,97649189,0.008102253652721289,2,"gym,science"
22,113,money,1,91364563,0.007580798897326575,3,"bag,cut,mask"
23,733,short,1,88428932,0.007337220561076472,2,"cut,hot"
24,1668,health,1,86376330,0.007166909857809054,1,science
25,461,art,1,82862493,0.006875355990748087,3,"cold,hot,science"
26,526,saw,1,80675290,0.006693877028378078,3,"cold,cut,transport"
27,1783,french,1,77045989,0.006392742757984137,1,science
28,613,idea,1,72703481,0.0060324315084460435,1,cut
29,46,note,1,72578067,0.006022025522999483,1,bag
30,67,food,1,72068326,0.005979730743887782,5,"bag,cold,hot,mask,restaurant"
31,882,science,1,70624843,0.005859960518152563,1,gym
32,1765,story,1,68392000,0.005674694664560035,1,science
33,16,paper,1,67793123,0.00562500399727983,4,"bag,cut,mask,throw"
34,1601,union,1,65780415,0.00545800342193597,1,salad
35,1625,books,1,64342440,0.005338690211907447,1,science
36,1622,space,1,63969731,0.005307765399447898,1,science
37,1655,earth,1,60667404,0.005033761167848697,1,science
38,1158,department,1,60580069,0.0050265147141914076,1,mall
39,1723,design,1,58524670,0.0048559719352283415,1,science
40,1778,writing,1,56077483,0.004652921300474559,1,science
41,1060,german,1,55889405,0.004637315890147019,1,mall
42,1392,workers,1,53875814,0.004470242049576395,1,meat
43,485,door,1,53582692,0.004445920815375536,2,"cold,transport"
44,1154,music,1,51312270,0.004257536916532108,2,"mall,science"
45,1021,indian,1,49265865,0.004087740397421262,1,mall
46,1676,medical,1,48344167,0.004011264278534029,1,science
47,1784,religion,1,47668159,0.003955173814871613,1,science
48,1562,oil,1,47038521,0.003902930812777739,3,"salad,throw,transport"
49,1786,literature,1,46543309,0.0038618415494980265,1,science
50,889,strength,1,45020081,0.003735454635757992,1,gym
51,2053,weight,1,44465952,0.0036894768477158525,1,transport
52,1003,wall,1,43049512,0.0035719504628949758,1,hot
53,518,plant,1,41923696,0.0034785380455292555,2,"cold,hot"
54,421,heat,1,41458240,0.003439917729121087,1,cold
55,86,picture,1,40233206,0.003338272889027149,1,bag
56,502,island,1,39407246,0.003269740446561071,1,cold
57,639,bill,1,38945834,0.0032314556732752483,1,cut
58,1639,animals,1,38063502,0.003158245872527053,1,science
59,567,bed,1,37542526,0.0031150188908981515,3,"cold,hot,mall"
60,1010,chinese,1,37510073,0.0031123261656386333,1,mall
61,1756,politics,1,37158131,0.0030831244550637914,1,science
62,1702,technology,1,37067213,0.003075580708872534,1,science
63,471,box,1,36985895,0.003068833504218003,2,"cold,transport"
64,364,iron,1,36956412,0.0030663872089964094,1,beach
65,38,computer,1,36075201,0.002993270421067242,2,"bag,hot"
66,859,exercise,1,36033846,0.0029898390694785637,1,gym
67,1894,gas,1,35815401,0.00297171401572959,1,throw
68,1107,car,1,35783521,0.002969068834043045,3,"mall,throw,transport"
69,37,color,1,34665309,0.002876287343952874,1,bag
70,1790,philosophy,1,34465944,0.002859745416508143,1,science
71,1029,japanese,1,32600191,0.0027049381496569488,1,mall
72,458,wood,1,32265392,0.0026771588465367003,3,"cold,hot,transport"
73,981,floor,1,32249929,0.002675875833851034,1,hot
74,411,cover,1,30546553,0.002534541486282026,1,cold
75,801,running,1,30183885,0.002504449806486046,1,gym
76,1731,game,1,29719542,0.0024659218391122916,1,science
77,539,window,1,29552657,0.0024520748772001513,2,"cold,hot"
78,767,fish,1,29493516,0.0024471677664685346,5,"fridge,mall,meat,restaurant,salad"
79,1902,van,1,27107342,0.002249179568046031,1,transport
80,510,net,1,26847979,0.002227659421942915,1,cold
81,1486,sides,1,26473261,0.0021965679165721905,2,"restaurant,salad"
82,1789,spanish,1,25828720,0.0021430883667156253,1,science
83,1641,articles,1,25332983,0.002101955542570623,1,science
84,1054,fast,1,24980152,0.0020726800689305574,1,mall
85,1739,latin,1,23867341,0.001980346716427871,1,science
86,1776,poetry,1,23564741,0.001955239063405648,1,science
87,327,brief,1,23500003,0.0019498675523635044,1,beach
88,28,medicine,1,22647725,0.0018791514244637223,3,"bag,salad,science"
89,30,tissue,1,22435422,0.0018615359913521,1,bag
90,1613,psychology,1,22303761,0.0018506116730951307,1,science
91,1033,arts,1,21616686,0.0017936029463924083,1,mall
92,1235,cash,1,21314502,0.0017685298101701103,1,mask
93,369,safe,1,21160932,0.0017557876347747937,1,beach
94,214,milk,1,20968002,0.0017397796390789,5,"bakery,cold,fridge,restaurant,salad"
95,1598,salt,1,20804641,0.0017262250742891996,1,salad
