NextWordPredictionModelRaw,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood
frequency,set,bag,1440,10,-8.254628069552949
frequency,set,bakery,2130,10,-9.237686397625266
frequency,set,beach,2130,10,-4.631221585900379
frequency,set,cold,920,10,-3.696380257537625
frequency,set,cut,2130,10,-6.771691716652453
frequency,set,fridge,2130,10,-4.791845976553673
frequency,set,gym,1380,10,-12.859544095498531
frequency,set,hot,2130,10,-1.9153695485652402
frequency,set,mask,1430,10,-6.266084789536719
frequency,set,meat,1460,10,-6.568199219244631
frequency,set,restaurant,2130,10,-7.488026047773664
frequency,set,salad,1400,10,-3.693643284215467
frequency,set,science,2130,10,-5.421745329052071
frequency,set,throw,1380,10,-10.595324995859794
frequency,set,transport,960,10,-3.898176771288209
frequency,ordering,bag,1440,10,-1.181622766851822
frequency,ordering,bakery,2130,10,-2.5603431650220565
frequency,ordering,beach,2130,10,-1.0992572721152276
frequency,ordering,cold,920,10,-1.2850292352235198
frequency,ordering,cut,2130,10,-3.213598445650817
frequency,ordering,fridge,2130,10,-1.1706563203848945
frequency,ordering,gym,1380,10,-1.455784951628324
frequency,ordering,hot,2130,10,-0.723015379197285
frequency,ordering,mask,1430,10,-1.216022545762307
frequency,ordering,meat,1460,10,-0.7772183301313128
frequency,ordering,restaurant,2130,10,-1.1562516821084132
frequency,ordering,salad,1400,10,-0.9377961757409459
frequency,ordering,science,2130,10,-1.4196220884661173
frequency,ordering,throw,1380,10,-1.969053269823438
frequency,ordering,transport,960,10,-1.2196604093604972
frequency,conjunction,bag,1440,10,-8.254628069552949
frequency,conjunction,bakery,2130,10,-9.24263937007057
frequency,conjunction,beach,2130,10,-4.631846369304728
frequency,conjunction,cold,920,10,-3.696514130510647
frequency,conjunction,cut,2130,10,-6.771691716652453
frequency,conjunction,fridge,2130,10,-4.8037469444455585
frequency,conjunction,gym,1380,10,-12.859514728025328
frequency,conjunction,hot,2130,10,-1.9153598384154213
frequency,conjunction,mask,1430,10,-6.266084789536719
frequency,conjunction,meat,1460,10,-6.568199219244631
frequency,conjunction,restaurant,2130,10,-7.489957426166548
frequency,conjunction,salad,1400,10,-3.693643284215467
frequency,conjunction,science,2130,10,-5.458858852578482
frequency,conjunction,throw,1380,10,-10.595324995859794
frequency,conjunction,transport,960,10,-3.8983863532303915
frequency,disjunction,bag,1440,10,-1.181622766851822
frequency,disjunction,bakery,2130,10,-2.593729373528701
frequency,disjunction,beach,2130,10,-1.099233351183991
frequency,disjunction,cold,920,10,-1.2852931590327632
frequency,disjunction,cut,2130,10,-3.213598445650817
frequency,disjunction,fridge,2130,10,-1.16622369424491
frequency,disjunction,gym,1380,10,-1.4558357143899356
frequency,disjunction,hot,2130,10,-0.7230645402295257
frequency,disjunction,mask,1430,10,-1.216022545762307
frequency,disjunction,meat,1460,10,-0.7772183301313128
frequency,disjunction,restaurant,2130,10,-1.156259344042384
frequency,disjunction,salad,1400,10,-0.9377961757409459
frequency,disjunction,science,2130,10,-1.413734583750775
frequency,disjunction,throw,1380,10,-1.969053269823438
frequency,disjunction,transport,960,10,-1.2197157429537968
