NextWordPredictionModelRaw,AlternativeStructure,context,trigger,query,model_negation_probability,observed_rows,observed_boundaries,human_negation_probability,human_trial_count
frequency,set,bag,chalk,crayons,0.0,60,10,1.0,6
frequency,set,bag,chalk,headphones,0.0,50,10,0.2,5
frequency,set,bag,chalk,makeup,0.0032,50,10,0.2,5
frequency,set,bag,chalk,pen,0.009399999999999999,50,10,1.0,5
frequency,set,bag,crayons,chalk,0.004,180,10,0.8888888888888888,18
frequency,set,bag,crayons,headphones,0.0,40,10,0.25,4
frequency,set,bag,crayons,makeup,0.0032,50,10,0.0,5
frequency,set,bag,crayons,pen,0.0094,40,10,1.0,4
frequency,set,bag,headphones,chalk,0.004,50,10,0.4,5
frequency,set,bag,headphones,crayons,0.0,30,10,1.0,3
frequency,set,bag,headphones,makeup,0.0031999999999999997,190,10,0.21052631578947367,19
frequency,set,bag,headphones,pen,0.009399999999999999,50,10,1.0,5
frequency,set,bag,makeup,chalk,0.004,20,10,1.0,2
frequency,set,bag,makeup,crayons,0.0,20,10,1.0,2
frequency,set,bag,makeup,headphones,0.0,40,10,0.0,4
frequency,set,bag,makeup,pen,0.009399999999999999,30,10,1.0,3
frequency,set,bag,pen,chalk,0.004,210,10,0.8571428571428571,21
frequency,set,bag,pen,crayons,0.0,170,10,0.8823529411764706,17
frequency,set,bag,pen,headphones,0.0,50,10,0.0,5
frequency,set,bag,pen,makeup,0.0032,60,10,0.16666666666666666,6
frequency,set,bakery,cakes,ice cream,0.004,190,10,0.8421052631578947,19
frequency,set,bakery,cakes,muffins,0.0,180,10,0.8888888888888888,18
frequency,set,bakery,cakes,pretzels,0.0,60,10,0.5,6
frequency,set,bakery,cakes,sandwiches,0.0002,50,10,0.4,5
frequency,set,bakery,cakes,water,0.2354,50,10,0.0,5
frequency,set,bakery,ice cream,cakes,0.0046,50,10,1.0,5
frequency,set,bakery,ice cream,muffins,0.0,170,10,0.5882352941176471,17
frequency,set,bakery,ice cream,pretzels,0.0,20,10,0.5,2
frequency,set,bakery,ice cream,sandwiches,0.0002,40,10,0.25,4
frequency,set,bakery,ice cream,water,0.2354,60,10,0.16666666666666666,6
frequency,set,bakery,muffins,cakes,0.0046,50,10,1.0,5
frequency,set,bakery,muffins,ice cream,0.004,20,10,1.0,2
frequency,set,bakery,muffins,pretzels,0.0,50,10,0.4,5
frequency,set,bakery,muffins,sandwiches,0.0002,20,10,0.0,2
frequency,set,bakery,muffins,water,0.2354,50,10,0.0,5
frequency,set,bakery,pretzels,cakes,0.0046,50,10,1.0,5
frequency,set,bakery,pretzels,ice cream,0.004,50,10,1.0,5
frequency,set,bakery,pretzels,muffins,0.0,30,10,1.0,3
