NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
frequency,Frequency,set,bag,1440,10,-8.254628069552949,-5.115995809754082,9.549522593661647,-23.025850929940457,0.0
frequency,Frequency,set,bakery,2130,10,-9.237686397625266,-5.521460917862246,10.152603114305913,-23.025850929940457,0.0
frequency,Frequency,set,beach,2130,10,-4.631221585900379,-3.123565645063876,7.177806122358314,-23.025850929940457,0.0
frequency,Frequency,set,cold,920,10,-3.696380257537625,-0.0222456089473197,6.832688531320152,-23.025850929940457,0.0
frequency,Frequency,set,cut,2130,10,-6.771691716652453,-0.006018072325563,10.041713398314155,-23.025850929940457,0.0
frequency,Frequency,set,fridge,2130,10,-4.791845976553673,-2.7488721956224653,7.536819291553456,-23.025850929940457,0.0
frequency,Frequency,set,gym,1380,10,-12.859544095498531,-5.521460917862246,10.201760798181464,-23.025850929940457,0.0
frequency,Frequency,set,hot,2130,10,-1.9153695485652402,-0.0040080213975388,4.790199675437178,-23.025850929940457,0.0
frequency,Frequency,set,mask,1430,10,-6.266084789536719,-0.0040080213975388,9.491719730410145,-23.025850929940457,0.0
frequency,Frequency,set,meat,1460,10,-6.568199219244631,-4.268697949366879,7.988376993393606,-23.025850929940457,0.0
frequency,Frequency,set,restaurant,2130,10,-7.488026047773664,-4.422848629194137,9.531253856907135,-23.025850929940457,0.0
frequency,Frequency,set,salad,1400,10,-3.693643284215467,-0.03252319170556,6.291678522110679,-23.025850929940457,0.0
frequency,Frequency,set,science,2130,10,-5.421745329052071,-4.268697949366879,6.828831932096504,-23.025850929940457,0.0
frequency,Frequency,set,throw,1380,10,-10.595324995859794,-4.716741961645196,10.976932323950415,-23.025850929940457,0.0
frequency,Frequency,set,transport,960,10,-3.898176771288209,-0.0040080213975388,8.013954022237376,-23.025850929940457,0.0
frequency,Frequency,ordering,bag,1440,10,-1.181622766851822,-0.5586162876023392,1.1388797441532053,-3.324236340526028,-0.0140989243795016
frequency,Frequency,ordering,bakery,2130,10,-2.5603431650220565,-0.7550225842780328,4.487850765344323,-23.025850929940457,0.0
frequency,Frequency,ordering,beach,2130,10,-1.0992572721152276,-1.0216512475319814,0.989243397286429,-3.912023005428146,-0.0202027073175194
frequency,Frequency,ordering,cold,920,10,-1.2850292352235198,-1.1973282616072674,0.7860178805633803,-2.2256240518579173,-0.1142891464021276
frequency,Frequency,ordering,cut,2130,10,-3.213598445650817,-1.2106617924767324,5.796546632243557,-23.025850929940457,0.0
frequency,Frequency,ordering,fridge,2130,10,-1.1706563203848945,-0.2665731092415457,1.4247260983553838,-5.521460917862246,0.0
frequency,Frequency,ordering,gym,1380,10,-1.455784951628324,-0.9364934391916744,1.151555546583202,-3.912023005428146,-0.0202027073175194
frequency,Frequency,ordering,hot,2130,10,-0.723015379197285,-0.572701027484078,0.42012989936943873,-2.0402208285265546,-0.1392620673335076
frequency,Frequency,ordering,mask,1430,10,-1.216022545762307,-0.7765287894989964,1.0993877976904487,-3.4420193761824103,-0.03252319170556
frequency,Frequency,ordering,meat,1460,10,-0.7772183301313128,-0.6539264674066639,0.7759582374641386,-3.381394754365976,-0.034591444769619
frequency,Frequency,ordering,restaurant,2130,10,-1.1562516821084132,-0.867500567704723,0.7215366649215185,-2.6310891599660824,-0.0747235461959364
frequency,Frequency,ordering,salad,1400,10,-0.9377961757409459,-0.7550225842780328,0.7453047092582823,-2.5010360317178844,-0.0855578883616465
frequency,Frequency,ordering,science,2130,10,-1.4196220884661173,-1.2517634681622845,1.1350396998646868,-4.268697949366879,-0.0140989243795016
frequency,Frequency,ordering,throw,1380,10,-1.969053269823438,-2.0402208285265546,1.896802348725475,-5.115995809754082,-0.006018072325563
frequency,Frequency,ordering,transport,960,10,-1.2196604093604972,-0.1415635643217868,1.8416701178193868,-5.521460917862246,-0.0040080213975388
frequency,Frequency,conjunction,bag,1440,10,-8.254628069552949,-5.115995809754082,9.549522593661647,-23.025850929940457,0.0
frequency,Frequency,conjunction,bakery,2130,10,-9.24263937007057,-5.521460917862246,10.150784791587155,-23.025850929940457,0.0
frequency,Frequency,conjunction,beach,2130,10,-4.631846369304728,-3.123565645063876,7.177816029558343,-23.025850929940457,0.0
frequency,Frequency,conjunction,cold,920,10,-3.696514130510647,-0.0222456089473197,6.832690103379993,-23.025850929940457,0.0
frequency,Frequency,conjunction,cut,2130,10,-6.771691716652453,-0.006018072325563,10.041713398314155,-23.025850929940457,0.0
frequency,Frequency,conjunction,fridge,2130,10,-4.8037469444455585,-2.7806208939370456,7.534529149049313,-23.025850929940457,0.0
