set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bag,chalk,pen,1,-0.04290750101127655,0.958,0.958
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,chalk,0,-0.3092462503676215,0.266,0.734
3,500,bag,chalk,pen,1,-0.04290750101127655,0.958,0.958
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,crayons,headphones,0,-0.006018072325563021,0.006,0.994
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.05199999999999999,0.948
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,chalk,crayons,1,-0.3065251602532608,0.736,0.736
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,makeup,chalk,1,-0.13238918804574573,0.8759999999999999,0.8759999999999999
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,chalk,pen,1,-0.04290750101127655,0.958,0.958
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.05199999999999999,0.948
3,500,bag,headphones,crayons,1,-0.006018072325563133,0.9939999999999999,0.9939999999999999
3,500,bag,crayons,pen,1,-0.10536051565782616,0.9000000000000001,0.9000000000000001
3,500,bag,chalk,crayons,1,-0.3065251602532608,0.736,0.736
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,crayons,pen,1,-0.10536051565782616,0.9000000000000001,0.9000000000000001
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,chalk,0,-0.08121005542554317,0.07799999999999999,0.922
3,500,bag,makeup,chalk,1,-0.13238918804574573,0.8759999999999999,0.8759999999999999
3,500,bag,chalk,pen,1,-0.04290750101127655,0.958,0.958
3,500,bag,headphones,chalk,0,-4.828313737302301,0.992,0.008000000000000007
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,chalk,makeup,0,-0.13238918804574562,0.124,0.876
3,500,bag,makeup,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,pen,crayons,0,-0.20825493882045903,0.188,0.812
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,chalk,headphones,0,-0.008032171697264267,0.008,0.992
3,500,bag,chalk,crayons,1,-0.3065251602532608,0.736,0.736
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,headphones,chalk,1,-0.008032171697264267,0.992,0.992
3,500,bag,crayons,pen,1,-0.10536051565782616,0.9000000000000001,0.9000000000000001
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,makeup,headphones,0,-0.057629112836636416,0.056,0.944
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,makeup,0,-0.053400776727115296,0.05199999999999999,0.948
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,headphones,makeup,1,-0.057629112836636416,0.944,0.944
3,500,bag,pen,makeup,0,-0.01005033585350145,0.01,0.99
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,headphones,pen,1,0.0,1.0,1.0
3,500,bag,chalk,headphones,1,-4.8283137373023015,0.008,0.008
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,pen,crayons,1,-1.6713133161521878,0.188,0.188
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
3,500,bag,makeup,pen,1,-0.01005033585350145,0.99,0.99
3,500,bag,chalk,crayons,1,-0.3065251602532608,0.736,0.736
3,500,bag,pen,headphones,0,0.0,0.0,1.0
3,500,bag,pen,crayons,0,-0.20825493882045903,0.188,0.812
3,500,bag,pen,chalk,0,-0.08121005542554317,0.07799999999999999,0.922
3,500,bag,chalk,crayons,1,-0.3065251602532608,0.736,0.736
3,500,bag,makeup,crayons,1,-0.051293294387550696,0.9499999999999998,0.9499999999999998
3,500,bag,pen,chalk,1,-2.5510464522925456,0.07799999999999999,0.07799999999999999
3,500,bag,headphones,makeup,0,-2.8824035882469867,0.944,0.05600000000000005
3,500,bag,crayons,pen,1,-0.10536051565782616,0.9000000000000001,0.9000000000000001
3,500,bag,crayons,chalk,1,-1.324258970200438,0.266,0.266
